,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
328,Federico Bonini\Federico-Bonini,it ITA,DF,Bologna,it Serie A,17,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
329,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,Juventus,it Serie A,32,1987,34.2,0.09,0.67,0.23,34.8,0.67,0.23,0.13,0.38,13.6,0.00,0.00,0.00,0.09,0.09,0.13,0.00,0.00,Matches
330,Fabio Borini\Fabio-Borini,it ITA,FWMF,Hellas Verona,it Serie A,28,1991,9.0,0.33,4.22,1.56,36.8,4.23,1.56,0.05,0.14,17.4,0.00,0.11,0.11,0.31,0.23,0.05,0.02,-0.01,Matches
331,Fabio Borini\Fabio-Borini,it ITA,MFFW,Milan,it Serie A,28,1991,0.8,0.00,2.50,0.00,0.0,2.57,0.00,0.00,,18.8,0.00,0.00,0.00,0.13,0.13,0.04,-0.13,-0.13,Matches
332,Dennis Borkowski\Dennis-Borkowski,de GER,FW,RB Leipzig,de Bundesliga,17,2002,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
333,Robin Bormuth\Robin-Bormuth,de GER,DF,Düsseldorf,de Bundesliga,23,1995,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
334,Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,de Bundesliga,20,1999,27.2,0.22,0.66,0.26,38.9,0.66,0.26,0.33,0.86,7.1,0.00,0.00,0.00,0.10,0.10,0.15,0.12,0.12,Matches
335,Brandon Borrello\Brandon-Borrello,au AUS,MFFW,Freiburg,de Bundesliga,24,1995,3.3,0.00,1.82,0.30,16.7,1.81,0.30,0.00,0.00,18.8,0.00,0.00,0.00,0.06,0.06,0.04,-0.06,-0.06,Matches
336,Gabriel Boschilia\Gabriel-Boschilia,br BRA,MFFW,Monaco,fr Ligue 1,23,1996,1.4,0.00,3.57,0.00,0.0,3.46,0.00,0.00,,25.9,0.71,0.00,0.00,0.14,0.14,0.04,-0.14,-0.14,Matches
337,Denis Bouanga\Denis-Bouanga,ga GAB,FWDF,Saint-Étienne,fr Ligue 1,24,1994,22.7,0.44,3.35,1.50,44.7,3.35,1.50,0.09,0.21,18.3,0.09,0.13,0.13,0.40,0.30,0.09,0.04,0.00,Matches
338,Hicham Boudaoui\Hicham-Boudaoui,dz ALG,MFFW,Nice,fr Ligue 1,19,1999,5.4,0.19,0.74,0.74,100.0,0.73,0.73,0.25,0.25,12.7,0.00,0.00,0.00,0.20,0.20,0.27,-0.02,-0.02,Matches
339,Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MFFW,Saint-Étienne,fr Ligue 1,29,1990,17.7,0.06,1.36,0.28,20.8,1.35,0.28,0.00,0.00,24.6,0.28,0.06,0.06,0.10,0.06,0.04,-0.05,-0.06,Matches
340,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,eng Premier League,25,1993,8.5,0.00,2.47,0.82,33.3,2.47,0.82,0.00,0.00,20.0,0.00,0.00,0.00,0.12,0.12,0.05,-0.12,-0.12,Matches
341,Nassim Boujellab\Nassim-Boujellab,ma MAR,MFFW,Schalke 04,de Bundesliga,20,1999,4.7,0.00,1.28,0.00,0.0,1.29,0.00,0.00,,15.2,0.00,0.00,0.00,0.09,0.09,0.07,-0.09,-0.09,Matches
342,Farid Boulaya\Farid-Boulaya,dz ALG,FW,Metz,fr Ligue 1,26,1993,9.1,0.22,2.64,0.99,37.5,2.63,0.99,0.08,0.22,21.6,0.77,0.00,0.00,0.25,0.25,0.09,-0.03,-0.03,Matches
343,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,es La Liga,28,1991,5.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
344,Mehdi Bourabia\Mehdi-Bourabia,ma MAR,MF,Sassuolo,it Serie A,27,1991,10.3,0.10,0.97,0.49,50.0,0.97,0.49,0.10,0.20,31.6,0.19,0.00,0.00,0.03,0.03,0.03,0.07,0.07,Matches
345,Benjamin Bourigeaud\Benjamin-Bourigeaud,fr FRA,MF,Rennes,fr Ligue 1,25,1994,21.1,0.09,1.90,0.47,25.0,1.89,0.47,0.05,0.20,25.7,0.47,0.00,0.00,0.11,0.11,0.06,-0.02,-0.02,Matches
346,Bilal Boutobba\Bilal-Boutobba,fr FRA,MFDF,Montpellier,fr Ligue 1,20,1998,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
347,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,eng Premier League,22,1996,10.2,0.10,2.35,0.69,29.2,2.36,0.69,0.04,0.14,17.9,0.00,0.00,0.00,0.17,0.17,0.07,-0.07,-0.07,Matches
348,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,de Bundesliga,28,1990,27.1,0.15,0.66,0.15,22.2,0.67,0.15,0.22,1.00,7.5,0.00,0.00,0.00,0.06,0.06,0.08,0.09,0.09,Matches
349,John Boye\John-Boye,gh GHA,DF,Metz,fr Ligue 1,32,1987,23.5,0.09,0.21,0.09,40.0,0.21,0.09,0.40,1.00,4.9,0.00,0.00,0.00,0.06,0.06,0.27,0.03,0.03,Matches
350,Can Bozdogan\Can-Bozdogan,de GER,MF,Schalke 04,de Bundesliga,18,2001,2.6,0.00,1.54,0.77,50.0,1.53,0.77,0.00,0.00,28.0,0.00,0.00,0.00,0.04,0.04,0.03,-0.04,-0.04,Matches
351,Domagoj Bradarić\Domagoj-Bradaric,hr CRO,DF,Lille,fr Ligue 1,19,1999,15.8,0.00,0.32,0.00,0.0,0.32,0.00,0.00,,30.0,0.06,0.00,0.00,0.03,0.03,0.08,-0.03,-0.03,Matches
352,Filip Bradarić\Filip-Bradaric,hr CRO,MF,Celta Vigo,es La Liga,27,1992,7.8,0.00,0.64,0.51,80.0,0.64,0.51,0.00,0.00,19.6,0.00,0.00,0.00,0.06,0.06,0.10,-0.06,-0.06,Matches
353,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,eng Premier League,27,1992,5.0,0.20,2.40,0.20,8.3,2.38,0.20,0.08,1.00,15.2,0.40,0.00,0.00,0.24,0.24,0.10,-0.04,-0.04,Matches
354,Martin Braithwaite\Martin-Braithwaite,dk DEN,FWMF,Barcelona,es La Liga,28,1991,4.5,0.22,2.89,1.78,61.5,2.87,1.77,0.08,0.13,12.1,0.00,0.00,0.00,0.62,0.62,0.21,-0.40,-0.40,Matches
355,Martin Braithwaite\Martin-Braithwaite,dk DEN,FWMF,Leganés,es La Liga,28,1991,21.5,0.28,1.86,0.74,40.0,1.86,0.74,0.15,0.38,14.4,0.05,0.00,0.05,0.31,0.28,0.15,-0.03,0.00,Matches
356,Federico Brancolini\Federico-Brancolini,it ITA,GK,Fiorentina,it Serie A,18,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
357,Brandon\Brandon,es ESP,FW,Osasuna,es La Liga,24,1995,4.5,0.00,2.00,0.44,22.2,2.00,0.44,0.00,0.00,14.9,0.00,0.00,0.00,0.20,0.20,0.09,-0.20,-0.20,Matches
358,Julian Brandt\Julian-Brandt,de GER,MFFW,Dortmund,de Bundesliga,23,1996,24.5,0.12,1.35,0.61,45.5,1.35,0.61,0.09,0.20,16.5,0.00,0.00,0.00,0.16,0.16,0.12,-0.04,-0.04,Matches
359,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,eng Premier League,17,2002,3.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
360,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Osasuna,es La Liga,27,1992,24.9,0.00,0.84,0.28,33.3,0.84,0.28,0.00,0.00,11.2,0.00,0.00,0.00,0.07,0.07,0.09,-0.07,-0.07,Matches
361,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,eng Premier League,36,1983,3.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
362,Josip Brekalo\Josip-Brekalo,hr CRO,MFFW,Wolfsburg,de Bundesliga,21,1998,18.6,0.16,2.26,0.81,35.7,2.26,0.81,0.07,0.20,20.1,0.05,0.00,0.00,0.18,0.18,0.08,-0.02,-0.02,Matches
363,Gleison Bremer\Gleison-Bremer,br BRA,DF,Torino,it Serie A,22,1997,25.2,0.12,0.44,0.24,54.5,0.44,0.24,0.27,0.50,10.0,0.00,0.00,0.00,0.05,0.05,0.12,0.07,0.07,Matches
364,Marco Brescianini\Marco-Brescianini,it ITA,MF,Milan,it Serie A,19,2000,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
365,Anthony Briançon\Anthony-Briancon,fr FRA,DF,Nîmes,fr Ligue 1,24,1994,19.3,0.05,0.88,0.16,17.6,0.88,0.16,0.06,0.33,18.5,0.00,0.00,0.00,0.07,0.07,0.08,-0.02,-0.02,Matches
366,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Bordeaux,fr Ligue 1,33,1985,16.9,0.41,1.60,0.59,37.0,1.59,0.59,0.22,0.60,13.8,0.00,0.06,0.06,0.33,0.28,0.18,0.08,0.07,Matches
367,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,es La Liga,21,1997,16.7,0.00,0.42,0.00,0.0,0.42,0.00,0.00,,19.0,0.00,0.00,0.00,0.03,0.03,0.08,-0.03,-0.03,Matches
368,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,eng Premier League,17,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
369,Dylan Bronn\Dylan-Bronn,tn TUN,DF,Metz,fr Ligue 1,24,1995,9.0,0.00,0.22,0.11,50.0,0.22,0.11,0.00,0.00,11.9,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
370,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,eng Premier League,22,1997,5.6,0.18,1.07,0.36,33.3,1.07,0.36,0.17,0.50,21.7,0.18,0.00,0.00,0.14,0.14,0.13,0.04,0.04,Matches
371,John Brooks\John-Brooks,us USA,DF,Wolfsburg,de Bundesliga,26,1993,24.7,0.00,0.49,0.16,33.3,0.49,0.16,0.00,0.00,9.0,0.00,0.00,0.00,0.06,0.06,0.12,-0.06,-0.06,Matches
372,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,de Bundesliga,31,1988,19.0,0.11,1.16,0.37,31.8,1.16,0.37,0.05,0.14,27.9,0.26,0.05,0.05,0.08,0.05,0.04,0.02,0.01,Matches
373,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,eng Premier League,23,1995,8.9,0.00,0.56,0.00,0.0,0.56,0.00,0.00,,15.5,0.00,0.00,0.00,0.04,0.04,0.07,-0.04,-0.04,Matches
374,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,Inter,it Serie A,26,1992,30.0,0.10,1.87,0.53,28.6,1.87,0.53,0.05,0.19,21.1,0.07,0.00,0.00,0.11,0.11,0.06,-0.01,-0.01,Matches
375,Gastón Brugman\Gaston-Brugman,uy URU,MF,Parma,it Serie A,26,1992,16.2,0.00,0.62,0.06,10.0,0.62,0.06,0.00,0.00,27.8,0.06,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
376,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Wolfsburg,de Bundesliga,27,1991,9.0,0.00,1.00,0.22,22.2,1.00,0.22,0.00,0.00,9.9,0.00,0.00,0.00,0.13,0.13,0.14,-0.13,-0.13,Matches
377,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Mainz 05,de Bundesliga,27,1991,7.5,0.00,0.93,0.00,0.0,0.93,0.00,0.00,,13.8,0.13,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
378,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FWMF,Hoffenheim,de Bundesliga,20,1998,4.3,0.00,0.93,0.23,25.0,0.92,0.23,0.00,0.00,14.7,0.00,0.00,0.00,0.07,0.07,0.08,-0.07,-0.07,Matches
379,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,Dortmund,de Bundesliga,20,1998,0.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
380,Bryan\Bryan,es ESP,MFFW,Leganés,es La Liga,18,2001,6.2,0.16,2.26,0.65,28.6,2.26,0.65,0.07,0.25,18.0,0.00,0.00,0.00,0.16,0.16,0.07,0.00,0.00,Matches
381,Bryan\Bryan,es ESP,FW,Sevilla,es La Liga,18,2001,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
382,Lucas Buadés\Lucas-Buades,fr FRA,FW,Nîmes,fr Ligue 1,21,1997,1.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
383,Ante Budimir\Ante-Budimir,hr CRO,FW,Mallorca,es La Liga,28,1991,30.7,0.42,1.76,0.65,37.0,1.76,0.65,0.20,0.55,12.0,0.00,0.07,0.07,0.34,0.29,0.16,0.08,0.07,Matches
384,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,eng Premier League,22,1996,27.4,0.04,1.46,0.40,27.5,1.46,0.40,0.03,0.09,22.1,0.36,0.00,0.00,0.08,0.08,0.05,-0.04,-0.04,Matches
385,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,41,1978,9.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
386,Marius Bülter\Marius-Bulter,de GER,MFFW,Union Berlin,de Bundesliga,26,1993,25.8,0.27,1.55,0.58,37.5,1.55,0.58,0.18,0.47,18.8,0.00,0.00,0.00,0.10,0.10,0.07,0.17,0.17,Matches
387,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,es La Liga,27,1992,12.4,0.08,0.16,0.08,50.0,0.16,0.08,0.50,1.00,9.5,0.00,0.00,0.00,0.06,0.06,0.36,0.02,0.02,Matches
388,Guido Burgstaller\Guido-Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,30,1989,13.7,0.00,2.55,0.58,22.9,2.55,0.58,0.00,0.00,13.9,0.00,0.00,0.00,0.34,0.34,0.13,-0.34,-0.34,Matches
389,Burgui\Burgui,es ESP,MF,Alavés,es La Liga,25,1993,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
390,Jonathan Burkardt\Jonathan-Burkardt,de GER,FW,Mainz 05,de Bundesliga,19,2000,2.8,0.36,2.50,0.71,28.6,2.49,0.71,0.14,0.50,15.4,0.00,0.00,0.00,0.29,0.29,0.11,0.07,0.07,Matches
391,Oliver Burke\Oliver-Burke,sco SCO,MFFW,Alavés,es La Liga,22,1997,15.9,0.06,1.26,0.57,45.0,1.26,0.57,0.05,0.11,14.2,0.00,0.00,0.00,0.20,0.20,0.16,-0.14,-0.14,Matches
392,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,28,1990,30.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
393,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,eng Premier League,27,1992,32.0,0.00,0.41,0.00,0.0,0.41,0.00,0.00,,11.6,0.00,0.00,0.00,0.04,0.04,0.10,-0.04,-0.04,Matches
394,Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,fr Ligue 1,23,1996,15.9,0.06,0.44,0.06,14.3,0.44,0.06,0.14,1.00,24.1,0.00,0.00,0.00,0.01,0.01,0.03,0.05,0.05,Matches
395,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,es La Liga,31,1988,27.6,0.07,0.36,0.14,40.0,0.36,0.14,0.20,0.50,15.6,0.00,0.00,0.00,0.04,0.04,0.12,0.03,0.03,Matches
396,Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,es La Liga,27,1992,29.8,0.00,0.23,0.10,42.9,0.23,0.10,0.00,0.00,12.6,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches
397,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,fr Ligue 1,36,1983,26.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
398,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,19,1999,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
399,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,eng Premier League,25,1993,14.4,0.00,1.11,0.14,12.5,1.11,0.14,0.00,0.00,11.3,0.00,0.00,0.00,0.08,0.08,0.07,-0.08,-0.08,Matches
400,Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,es La Liga,24,1995,3.0,0.00,0.33,0.00,0.0,0.34,0.00,0.00,,6.0,0.00,0.00,0.00,0.03,0.03,0.13,-0.03,-0.03,Matches
401,Erick Cabaco\Erick-Cabaco,uy URU,DF,Levante,es La Liga,24,1995,9.0,0.00,0.44,0.00,0.0,0.44,0.00,0.00,,15.5,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
402,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,37,1981,5.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
403,Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Saint-Étienne,fr Ligue 1,33,1986,9.5,0.00,1.16,0.32,27.3,1.15,0.31,0.00,0.00,21.8,0.11,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
404,Manuel Cabit\Manuel-Cabit,mq MTQ,DF,Metz,fr Ligue 1,26,1993,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
405,Ariday Cabrera\Ariday-Cabrera,es ESP,MFFW,Mallorca,es La Liga,30,1988,0.4,0.00,2.50,2.50,100.0,2.43,2.43,0.00,0.00,20.2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
406,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Getafe,es La Liga,28,1991,17.0,0.12,0.53,0.18,33.3,0.53,0.18,0.22,0.67,12.7,0.00,0.00,0.00,0.05,0.05,0.10,0.06,0.06,Matches
407,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Espanyol,es La Liga,28,1991,17.0,0.00,0.06,0.00,0.0,0.06,0.00,0.00,,19.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
408,Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Cagliari,it Serie A,32,1986,12.8,0.00,0.31,0.00,0.0,0.31,0.00,0.00,,11.3,0.00,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches
409,Martín Cáceres\Martin-Caceres,uy URU,DF,Fiorentina,it Serie A,32,1987,26.2,0.04,0.46,0.11,25.0,0.46,0.11,0.08,0.33,11.0,0.00,0.00,0.00,0.07,0.07,0.16,-0.03,-0.03,Matches
410,Anthony Caci\Anthony-Caci,fr FRA,DF,Strasbourg,fr Ligue 1,22,1997,7.7,0.13,0.52,0.39,75.0,0.52,0.39,0.25,0.33,17.5,0.00,0.00,0.00,0.03,0.03,0.04,0.10,0.10,Matches
411,Jhonder Cádiz\Jhonder-Cadiz,ve VEN,FWMF,Dijon,fr Ligue 1,24,1995,8.9,0.22,3.37,1.35,40.0,3.38,1.35,0.07,0.17,14.4,0.00,0.00,0.00,0.28,0.28,0.08,-0.06,-0.06,Matches
412,Mathieu Cafaro\Mathieu-Cafaro,fr FRA,FWMF,Reims,fr Ligue 1,22,1997,10.3,0.10,3.69,1.36,36.8,3.70,1.36,0.00,0.00,24.2,0.58,0.10,0.10,0.27,0.20,0.06,-0.17,-0.20,Matches
413,Jonathan Cafu\Jonathan-Cafu,br BRA,DF,Bordeaux,fr Ligue 1,28,1991,2.2,0.00,0.45,0.00,0.0,0.45,0.00,0.00,,22.1,0.00,0.00,0.00,0.05,0.05,0.07,-0.05,-0.05,Matches
414,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,eng Premier League,33,1985,24.1,0.00,0.83,0.21,25.0,0.83,0.21,0.00,0.00,11.6,0.00,0.00,0.00,0.05,0.05,0.06,-0.05,-0.05,Matches
415,Felipe Caicedo\Felipe-Caicedo,ec ECU,FW,Lazio,it Serie A,30,1988,15.6,0.58,1.92,0.90,46.7,1.92,0.90,0.30,0.64,12.3,0.00,0.00,0.06,0.38,0.33,0.17,0.19,0.24,Matches
416,Arturo Calabresi\Arturo-Calabresi,it ITA,DF,Amiens,fr Ligue 1,23,1996,20.9,0.05,0.29,0.05,16.7,0.29,0.05,0.17,1.00,16.6,0.00,0.00,0.00,0.04,0.04,0.14,0.01,0.01,Matches
417,Davide Calabria\Davide-Calabria,it ITA,DF,Milan,it Serie A,22,1996,18.0,0.06,0.72,0.11,15.4,0.72,0.11,0.08,0.50,22.8,0.00,0.00,0.00,0.04,0.04,0.05,0.02,0.02,Matches
418,Riccardo Calafiori\Riccardo-Calafiori,it ITA,DF,Roma,it Serie A,17,2002,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
419,Mattia Caldara\Mattia-Caldara,it ITA,DF,Atalanta,it Serie A,25,1994,10.7,0.00,0.37,0.00,0.0,0.38,0.00,0.00,,9.0,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches
420,Marco Calderoni\Marco-Calderoni,it ITA,DF,Lecce,it Serie A,30,1989,22.9,0.13,1.00,0.22,21.7,1.00,0.22,0.13,0.60,24.6,0.00,0.00,0.00,0.03,0.03,0.03,0.10,0.10,Matches
421,Fernando Calero\Fernando-Calero,es ESP,DF,Espanyol,es La Liga,23,1995,11.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
422,Duje Ćaleta-Car\Duje-Caleta-Car,hr CRO,DF,Marseille,fr Ligue 1,22,1996,21.0,0.05,0.71,0.19,26.7,0.72,0.19,0.07,0.25,14.1,0.00,0.00,0.00,0.06,0.06,0.09,-0.01,-0.01,Matches
423,Hakan Çalhanoğlu\Hakan-Calhanoglu,tr TUR,MFFW,Milan,it Serie A,25,1994,30.0,0.30,3.40,1.07,31.4,3.39,1.07,0.08,0.25,21.8,0.40,0.03,0.03,0.27,0.24,0.07,0.03,0.02,Matches
424,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MFFW,Schalke 04,de Bundesliga,31,1988,25.5,0.08,1.69,0.43,25.6,1.69,0.43,0.02,0.09,21.6,0.31,0.04,0.04,0.13,0.10,0.06,-0.05,-0.06,Matches
425,José Callejón\Jose-Callejon,es ESP,FWMF,Napoli,it Serie A,32,1987,24.1,0.17,1.74,0.62,35.7,1.74,0.62,0.10,0.27,15.1,0.00,0.00,0.00,0.20,0.20,0.12,-0.04,-0.04,Matches
426,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Espanyol,es La Liga,25,1993,20.1,0.05,2.29,0.70,30.4,2.29,0.70,0.02,0.07,11.8,0.00,0.00,0.00,0.18,0.18,0.08,-0.13,-0.13,Matches
427,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,22,1997,29.2,0.45,2.84,1.27,44.6,2.84,1.27,0.16,0.35,12.2,0.00,0.00,0.00,0.49,0.49,0.17,-0.04,-0.04,Matches
428,Mahdi Camara\Mahdi-Camara,fr FRA,MF,Saint-Étienne,fr Ligue 1,21,1998,10.0,0.00,0.70,0.20,28.6,0.70,0.20,0.00,0.00,19.7,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
429,Souleymane Camara\Souleymane-Camara,sn SEN,FWMF,Montpellier,fr Ligue 1,36,1982,1.8,0.00,1.67,1.11,66.7,1.66,1.10,0.00,0.00,12.0,0.00,0.00,0.00,0.22,0.22,0.14,-0.22,-0.22,Matches
430,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,eng Premier League,25,1994,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
431,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Alavés,es La Liga,25,1994,14.4,0.00,0.56,0.14,25.0,0.56,0.14,0.00,0.00,24.0,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
432,Eduardo Camavinga\Eduardo-Camavinga,fr FRA,MF,Rennes,fr Ligue 1,16,2002,23.4,0.04,0.68,0.17,25.0,0.68,0.17,0.06,0.25,20.6,0.00,0.00,0.00,0.04,0.04,0.06,0.00,0.00,Matches
433,Sergio Camello\Sergio-Camello,es ESP,FW,Atlético Madrid,es La Liga,18,2001,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
434,José Campaña\Jose-Campana,es ESP,MF,Levante,es La Liga,26,1993,35.1,0.06,1.25,0.23,18.2,1.25,0.23,0.05,0.25,21.7,0.14,0.00,0.00,0.07,0.07,0.06,-0.01,-0.01,Matches
435,Xisco Campos\Xisco-Campos,es ESP,DF,Mallorca,es La Liga,37,1982,5.3,0.00,0.75,0.00,0.0,0.76,0.00,0.00,,13.0,0.00,0.00,0.00,0.02,0.02,0.02,-0.02,-0.02,Matches
436,Víctor Campuzano\Victor-Campuzano,es ESP,FW,Espanyol,es La Liga,22,1997,9.7,0.00,1.86,0.72,38.9,1.86,0.72,0.00,0.00,16.0,0.00,0.00,0.00,0.14,0.14,0.08,-0.14,-0.14,Matches
437,Emre Can\Emre-Can,de GER,MFDF,Dortmund,de Bundesliga,25,1994,10.6,0.19,1.51,0.38,25.0,1.51,0.38,0.13,0.50,17.3,0.00,0.00,0.00,0.08,0.08,0.06,0.10,0.10,Matches
438,Emre Can\Emre-Can,de GER,MF,Juventus,it Serie A,25,1994,3.2,0.00,2.19,0.63,28.6,2.22,0.63,0.00,0.00,15.0,0.00,0.00,0.00,0.41,0.41,0.19,-0.41,-0.41,Matches
439,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,es La Liga,28,1991,35.1,0.17,1.34,0.40,29.8,1.34,0.40,0.06,0.21,21.0,0.11,0.09,0.11,0.20,0.11,0.08,-0.03,-0.03,Matches
440,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,eng Premier League,25,1994,13.4,0.00,1.12,0.30,26.7,1.12,0.30,0.00,0.00,23.8,0.00,0.00,0.00,0.04,0.04,0.03,-0.04,-0.04,Matches
