,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
25,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,0.14,1.35,0.27,20.0,1.35,0.27,0.10,0.50,16.7,0.00,0.00,0.00,0.15,0.15,0.11,-0.01,-0.01,Matches
26,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,0.09,0.47,0.09,20.0,0.47,0.09,0.20,1.00,18.6,0.09,0.00,0.00,0.07,0.07,0.13,0.03,0.03,Matches
27,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,0.99,4.53,1.55,34.2,4.52,1.55,0.19,0.56,12.9,0.00,0.12,0.19,0.87,0.73,0.16,0.12,0.14,Matches
28,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,0.00,0.59,0.25,42.9,0.59,0.25,0.00,0.00,22.7,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
29,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,2.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
30,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,0.14,1.43,0.57,40.0,1.43,0.57,0.10,0.25,16.7,0.00,0.00,0.00,0.11,0.11,0.08,0.03,0.03,Matches
31,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,0.00,0.36,0.04,10.0,0.36,0.04,0.00,0.00,10.2,0.00,0.00,0.00,0.03,0.03,0.08,-0.03,-0.03,Matches
32,Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,0.00,0.52,0.09,16.7,0.52,0.09,0.00,0.00,23.3,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
33,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,0.00,0.33,0.00,0.0,0.34,0.00,0.00,,31.6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
34,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,0.00,0.28,0.00,0.0,0.28,0.00,0.00,,17.8,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
35,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,eng Premier League,22,1997,1.5,0.00,2.00,0.00,0.0,1.94,0.00,0.00,,14.2,0.00,0.00,0.00,0.07,0.07,0.04,-0.07,-0.07,Matches
36,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,0.35,1.92,0.79,40.9,1.92,0.79,0.16,0.39,13.0,0.00,0.04,0.04,0.27,0.24,0.12,0.08,0.07,Matches
37,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,0.00,0.39,0.08,20.0,0.39,0.08,0.00,0.00,19.4,0.00,0.00,0.00,0.03,0.03,0.08,-0.03,-0.03,Matches
38,Marley Aké\Marley-Ake,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,0.00,2.73,0.00,0.0,2.73,0.00,0.00,,21.5,0.00,0.00,0.00,0.18,0.18,0.07,-0.18,-0.18,Matches
39,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,0.07,0.86,0.25,29.2,0.86,0.25,0.08,0.29,9.7,0.00,0.00,0.00,0.09,0.09,0.10,-0.01,-0.01,Matches
40,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6.0,0.33,1.50,0.67,44.4,1.49,0.66,0.22,0.50,19.1,0.00,0.00,0.00,0.17,0.17,0.12,0.17,0.17,Matches
