,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
37,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,35,1983,1.0,1.00,0.00,0.00,0.00,0.00,0.90,0.46,-0.10,-0.08,2.00,4.00,50.0,24.0,4.00,16.7,28.1,4.00,0.0,17.5,3.00,0.00,0.0,1.00,1.00,18.8,Matches
38,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,32,1987,28.0,1.21,0.07,0.00,0.14,0.04,1.11,0.27,-0.06,-0.07,7.39,15.9,46.4,22.9,3.43,48.0,38.8,8.71,56.6,43.7,9.75,0.57,5.9,0.57,0.57,0.52,Matches
39,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,27,1992,34.0,0.59,0.00,0.00,0.12,0.00,0.67,0.24,0.08,+0.08,2.65,9.15,28.9,25.4,5.88,26.1,33.0,6.44,38.8,40.3,8.38,0.74,8.8,0.65,0.65,0.44,Matches
40,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,16.0,1.31,0.06,0.00,0.13,0.06,1.48,0.26,0.23,+0.23,5.44,15.7,34.7,19.9,4.19,51.6,40.7,9.81,55.4,43.0,11.0,0.88,8.0,0.31,0.31,0.72,Matches
41,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,es La Liga,35,1984,27.0,1.22,0.04,0.04,0.30,0.00,1.10,0.29,-0.13,-0.13,8.52,23.1,36.9,22.4,4.00,69.9,52.1,8.07,91.7,67.8,10.1,1.19,11.8,1.26,1.26,0.59,Matches
42,Paul Delecroix\Paul-Delecroix,fr FRA,GK,Metz,fr Ligue 1,30,1988,1.5,2.67,0.67,0.00,0.00,0.00,1.73,0.32,-0.93,-0.95,10.0,21.3,46.9,22.0,2.67,72.7,49.7,7.33,72.7,57.4,4.00,0.67,16.7,1.33,1.33,10.9,Matches
43,Lucas Dias\Lucas-Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,3.5,1.71,0.00,0.29,0.57,0.00,1.86,0.39,0.14,+0.15,7.71,20.6,37.5,16.6,1.43,62.1,45.9,11.1,92.3,62.9,10.6,0.57,5.4,0.86,0.85,4.00,Matches
44,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,27,1992,35.0,1.46,0.11,0.06,0.09,0.03,1.26,0.36,-0.17,-0.17,7.80,24.1,32.4,23.3,2.60,74.1,58.3,7.00,96.7,76.4,7.83,0.57,7.3,1.37,1.37,0.50,Matches
45,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,28,1990,14.7,1.56,0.07,0.07,0.27,0.00,1.54,0.28,-0.02,-0.02,7.21,17.3,41.6,22.1,4.15,48.3,38.8,8.98,74.2,53.9,12.1,0.48,3.9,0.41,0.41,0.87,Matches
46,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,20,1999,35.6,1.18,0.11,0.00,0.20,0.03,1.28,0.29,0.13,+0.13,6.24,13.2,47.3,24.8,4.83,38.4,34.4,7.30,50.0,39.0,8.54,0.81,9.5,0.56,0.56,0.41,Matches
47,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,21,1997,31.0,1.39,0.19,0.06,0.19,0.00,1.39,0.29,0.00,0.00,4.45,12.3,36.3,22.0,6.29,39.9,37.0,7.16,48.6,42.1,9.26,0.61,6.6,0.45,0.45,0.41,Matches
48,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,30,1989,38.0,1.53,0.05,0.05,0.29,0.05,1.74,0.34,0.26,+0.26,7.76,20.5,37.9,19.9,3.18,63.6,48.4,8.87,88.1,64.4,10.1,0.53,5.2,0.37,0.37,0.32,Matches
49,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,25,1993,34.1,0.82,0.09,0.03,0.12,0.03,0.87,0.30,0.07,+0.07,3.72,7.27,51.2,27.1,4.72,21.9,29.7,4.08,33.1,35.0,5.04,0.35,7.0,1.11,1.11,0.52,Matches
50,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,es La Liga,23,1995,3.0,1.00,0.00,0.00,0.00,0.00,0.87,0.20,-0.13,-0.14,10.0,27.0,37.0,34.3,7.00,64.1,48.8,8.33,60.0,50.6,10.0,0.67,6.7,1.00,1.00,4.53,Matches
51,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,34,1985,23.5,1.45,0.13,0.04,0.09,0.09,1.29,0.28,-0.07,-0.07,9.36,21.5,43.5,20.3,3.83,68.8,49.8,8.26,91.2,63.9,10.2,0.43,4.2,0.21,0.21,0.49,Matches
52,Fabricio\Fabricio,es ESP,GK,Mallorca,es La Liga,31,1987,1.0,3.00,2.00,0.00,1.00,0.00,1.70,0.15,-1.30,-1.31,8.00,17.0,47.1,24.0,6.00,50.0,41.0,9.00,55.6,47.3,5.00,0.00,0.0,1.00,1.00,15.3,Matches
53,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,eng Premier League,30,1988,0.2,5.00,5.00,0.00,0.00,0.00,5.50,0.08,0.50,+0.29,5.00,15.0,33.3,35.0,10.0,42.9,29.9,15.0,0.0,15.3,20.0,0.00,0.0,0.00,0.00,35.0,Matches
54,Wladimiro Falcone\Wladimiro-Falcone,it ITA,GK,Sampdoria,it Serie A,24,1995,2.0,2.50,0.50,0.00,0.00,0.00,2.75,0.36,0.25,+0.23,4.00,14.5,27.6,21.5,5.50,39.5,32.6,9.00,66.7,47.9,7.50,0.00,0.0,0.50,0.50,6.90,Matches
55,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,28,1991,36.0,1.42,0.08,0.03,0.22,0.06,1.59,0.27,0.23,+0.23,5.67,15.4,36.9,21.7,5.17,50.1,41.7,9.36,48.1,41.4,10.6,0.69,6.5,0.81,0.81,0.39,Matches
56,Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,es La Liga,32,1986,4.0,2.00,0.75,0.00,0.50,0.25,1.70,0.26,-0.05,-0.04,5.75,13.8,41.8,27.0,3.75,31.5,30.9,11.0,47.7,40.6,11.5,0.50,4.3,0.25,0.25,2.98,Matches
57,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,de Bundesliga,26,1993,10.0,1.40,0.00,0.00,0.10,0.00,1.64,0.23,0.24,+0.24,8.20,20.6,39.8,32.4,4.10,43.8,40.1,11.1,57.7,51.5,9.30,0.30,3.2,0.20,0.20,1.25,Matches
58,Ben Foster\Ben-Foster,eng ENG,GK,Watford,eng Premier League,36,1983,38.0,1.68,0.21,0.08,0.18,0.08,1.53,0.31,-0.07,-0.07,8.47,25.7,33.0,23.9,3.21,77.4,54.3,7.68,92.8,67.6,9.66,0.97,10.1,1.16,1.16,0.41,Matches
59,Daniel Fuzato\Daniel-Fuzato,br BRA,GK,Roma,it Serie A,22,1997,1.0,1.00,0.00,0.00,1.00,0.00,0.90,0.43,-0.10,-0.14,4.00,16.0,25.0,34.0,4.00,35.3,35.0,10.0,40.0,36.2,8.00,1.00,12.5,0.00,0.00,10.2,Matches
60,Gabriel\Gabriel,br BRA,GK,Lecce,it Serie A,26,1992,33.3,2.28,0.30,0.03,0.36,0.09,2.43,0.34,0.24,+0.24,4.41,10.6,41.5,19.6,5.83,36.1,34.9,9.79,36.2,31.8,11.5,0.63,5.5,0.36,0.36,0.41,Matches
61,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,27,1992,17.9,1.45,0.17,0.06,0.11,0.06,1.42,0.29,0.02,+0.02,4.53,15.3,29.7,21.0,3.24,45.7,38.9,7.82,72.1,58.0,9.39,0.50,5.4,0.67,0.67,0.79,Matches
62,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,eng Premier League,28,1990,38.0,0.95,0.08,0.03,0.21,0.03,0.98,0.28,0.06,+0.05,3.16,8.18,38.6,17.6,3.89,33.8,34.3,6.97,32.1,33.9,7.50,0.39,5.3,0.29,0.29,0.35,Matches
63,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Union Berlin,de Bundesliga,31,1987,33.0,1.64,0.09,0.00,0.27,0.03,1.55,0.30,-0.06,-0.06,12.5,27.0,46.3,32.9,3.76,61.5,47.4,8.15,82.2,60.7,8.94,0.85,9.5,0.70,0.70,0.46,Matches
64,Mauro Goicoechea\Mauro-Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,31,1988,2.0,2.50,0.00,0.00,0.00,0.00,2.20,0.34,-0.30,-0.32,10.5,24.0,43.8,22.0,2.00,70.5,46.4,10.0,85.0,51.8,7.00,0.00,0.0,0.50,0.50,8.70,Matches
65,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,it Serie A,24,1995,32.0,1.31,0.19,0.06,0.13,0.09,1.08,0.27,-0.14,-0.14,5.88,13.2,44.5,23.7,5.34,37.1,37.0,6.56,67.1,52.5,6.47,0.47,7.2,1.16,1.15,0.49,Matches
66,Alfred Gomis\Alfred-Gomis,sn SEN,GK,Dijon,fr Ligue 1,25,1993,18.0,1.11,0.06,0.11,0.11,0.06,1.24,0.26,0.19,+0.19,9.39,20.9,44.8,31.3,6.22,47.4,39.8,9.33,65.5,48.1,10.6,1.50,14.1,0.28,0.28,0.72,Matches
67,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,eng Premier League,32,1987,35.0,1.20,0.00,0.00,0.14,0.06,1.34,0.33,0.19,+0.19,6.43,19.3,33.4,22.3,4.66,57.4,44.3,7.80,82.8,61.9,9.46,0.86,9.1,0.46,0.46,0.37,Matches
68,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,de Bundesliga,29,1990,32.0,1.06,0.06,0.00,0.25,0.00,1.18,0.31,0.11,+0.11,5.16,12.4,41.5,32.6,5.72,30.5,33.1,7.06,35.4,35.2,7.59,0.59,7.8,1.50,1.50,0.54,Matches
69,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,eng Premier League,23,1996,10.0,2.50,0.20,0.10,0.10,0.00,1.81,0.31,-0.69,-0.69,4.60,19.0,24.2,17.7,2.40,68.9,50.4,7.90,86.1,60.4,8.10,0.60,7.4,0.80,0.80,1.64,Matches
70,Régis Gurtner\Regis-Gurtner,fr FRA,GK,Amiens,fr Ligue 1,32,1986,28.0,1.79,0.04,0.04,0.46,0.04,1.46,0.29,-0.29,-0.29,8.25,18.6,44.3,20.3,3.39,55.7,43.6,9.07,80.7,55.4,9.61,0.54,5.6,0.39,0.39,0.49,Matches
71,Samir Handanović\Samir-Handanovic,si SVN,GK,Inter,it Serie A,35,1984,35.0,0.91,0.06,0.00,0.11,0.03,0.93,0.28,0.04,+0.04,4.23,8.11,52.1,24.3,5.34,24.2,29.4,7.54,29.5,30.3,9.54,0.60,6.3,0.34,0.34,0.34,Matches
72,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,eng Premier League,33,1986,19.9,1.76,0.15,0.05,0.35,0.05,1.64,0.31,-0.07,-0.07,6.48,19.3,33.6,21.0,4.77,57.7,45.9,9.85,73.0,56.5,11.3,0.85,7.6,0.40,0.40,0.59,Matches
73,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,eng Premier League,22,1997,36.0,0.92,0.03,0.00,0.06,0.00,1.06,0.30,0.14,+0.14,7.00,23.7,29.5,21.6,2.75,77.7,58.7,7.17,96.5,75.7,8.08,0.64,7.9,0.47,0.47,0.38,Matches
74,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,eng Premier League,32,1987,3.0,2.67,0.00,0.33,0.67,0.00,2.93,0.40,0.27,+0.28,10.3,29.3,35.2,21.3,2.00,82.8,56.2,13.0,89.7,67.2,11.7,1.00,8.6,0.33,0.33,4.90,Matches
75,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,es La Liga,26,1993,18.4,1.47,0.05,0.11,0.22,0.00,1.50,0.34,0.03,+0.03,9.51,26.2,36.3,25.2,3.91,74.6,52.9,8.04,91.9,64.4,8.48,0.87,10.3,1.14,1.14,0.86,Matches
76,Iago Herrerín\Iago-Herrerin,es ESP,GK,Athletic Club,es La Liga,31,1988,4.7,1.91,0.00,0.21,0.21,0.00,1.34,0.36,-0.57,-0.57,9.36,23.4,40.0,29.6,5.96,61.9,46.4,6.38,80.0,58.3,8.72,1.28,14.6,0.00,0.00,2.23,Matches
77,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,de Bundesliga,31,1987,3.2,0.31,0.00,0.00,0.00,0.00,0.84,0.39,0.53,+0.53,2.81,7.50,37.5,23.4,4.38,20.0,31.0,7.81,36.0,39.9,6.56,0.63,9.5,1.25,1.24,5.47,Matches
78,Timo Horn\Timo-Horn,de GER,GK,Köln,de Bundesliga,26,1993,34.0,2.03,0.12,0.03,0.32,0.06,1.56,0.32,-0.41,-0.41,9.15,18.5,49.4,26.2,2.91,53.9,42.2,8.76,50.0,40.7,7.94,0.53,6.7,0.41,0.41,0.41,Matches
79,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Leverkusen,de Bundesliga,29,1989,34.0,1.29,0.06,0.03,0.18,0.00,1.43,0.35,0.14,+0.14,7.68,17.8,43.2,40.1,6.03,37.0,35.7,6.88,42.7,38.9,6.41,0.62,9.6,0.85,0.85,0.46,Matches
80,Jannik Huth\Jannik-Huth,de GER,GK,Paderborn 07,de Bundesliga,25,1994,6.0,2.83,0.17,0.00,0.17,0.00,1.95,0.34,-0.88,-0.88,5.67,13.8,41.0,34.2,6.17,33.7,34.0,8.17,28.6,33.4,7.17,0.67,9.3,0.67,0.67,2.65,Matches
81,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,34,1984,28.3,1.63,0.25,0.11,0.21,0.07,1.37,0.25,-0.18,-0.18,10.2,21.9,46.8,27.8,4.31,57.6,43.1,7.81,75.6,53.5,9.93,0.95,9.6,0.57,0.57,0.46,Matches
82,Jesse Joronen\Jesse-Joronen,fi FIN,GK,Brescia,it Serie A,26,1993,29.0,2.03,0.31,0.00,0.31,0.10,2.10,0.31,0.17,+0.17,5.55,14.6,38.2,19.8,5.52,49.7,41.6,9.52,49.6,42.0,12.3,0.93,7.6,0.34,0.34,0.45,Matches
83,Lovre Kalinić\Lovre-Kalinic,hr CRO,GK,Toulouse,fr Ligue 1,29,1990,3.4,1.18,0.00,0.00,0.29,0.00,0.85,0.21,-0.32,-0.31,7.35,25.3,29.1,23.8,3.82,64.2,48.3,11.2,89.5,61.1,13.5,2.35,17.4,0.59,0.59,4.94,Matches
84,Stefanos Kapino\Stefanos-Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,25,1994,1.0,2.00,0.00,0.00,0.00,0.00,1.40,0.29,-0.60,-0.57,9.00,18.0,50.0,25.0,8.00,48.0,40.0,9.00,66.7,45.6,19.0,0.00,0.0,1.00,1.00,13.4,Matches
85,Florian Kastenmeier\Florian-Kastenmeier,de GER,GK,Düsseldorf,de Bundesliga,22,1997,17.0,1.82,0.12,0.00,0.18,0.18,1.44,0.30,-0.21,-0.21,8.24,19.4,42.4,30.5,3.29,51.1,42.5,6.53,58.6,48.3,6.18,0.24,3.8,0.82,0.82,0.91,Matches
86,Tomáš Koubek\Tomas-Koubek,cz CZE,GK,Augsburg,de Bundesliga,26,1992,24.0,2.13,0.00,0.00,0.17,0.08,1.88,0.37,-0.17,-0.17,6.75,20.6,32.8,26.2,4.29,54.1,45.2,8.83,72.6,57.3,9.58,0.63,6.5,0.96,0.96,0.65,Matches
87,Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,de Bundesliga,31,1988,4.0,2.25,0.00,0.00,0.50,0.00,1.77,0.35,-0.47,-0.48,9.50,22.0,43.2,24.0,3.75,64.6,45.4,8.25,78.8,55.3,11.0,0.50,4.5,1.00,1.00,4.30,Matches
