,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,+0.04,3.33,10.0,33.3,16.7,3.33,40.0,44.0,3.33,100.0,67.0,6.67,0.00,0.0,3.33,3.60,49.0,Matches
2,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,1.03,0.00,0.10,0.10,0.00,0.93,0.32,-0.10,-0.11,6.19,14.6,42.3,25.4,5.05,44.3,38.3,7.01,48.5,40.2,9.38,0.82,8.8,0.72,0.72,1.34,Matches
3,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,1.70,0.00,0.00,0.30,0.10,1.30,0.28,-0.30,-0.30,6.10,14.5,42.1,24.6,5.40,37.8,35.9,8.10,64.2,49.2,9.00,0.80,8.9,0.50,0.50,1.41,Matches
4,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,1.29,0.00,0.00,0.00,0.00,0.65,0.18,-0.65,-0.66,3.55,10.3,34.4,16.5,2.58,45.1,37.0,7.74,37.5,32.8,12.3,0.65,5.3,1.29,1.29,5.26,Matches
5,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0.81,0.04,0.00,0.04,0.04,0.80,0.28,0.02,+0.02,4.88,9.01,54.1,26.7,4.66,24.9,31.7,6.01,39.4,38.8,6.96,0.57,8.1,1.31,1.31,0.62,Matches
6,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,0.50,0.00,0.00,0.00,0.00,0.55,0.28,0.05,+0.06,4.00,11.0,36.4,17.0,2.50,32.4,35.6,9.50,57.9,43.0,12.0,1.00,8.3,0.00,0.00,8.25,Matches
7,Lorenzo Andrenacci\Lorenzo-Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,2.71,0.00,0.17,0.17,0.00,2.20,0.29,-0.51,-0.50,5.59,11.2,50.0,16.4,7.63,33.0,35.4,11.2,51.5,43.5,9.49,0.17,1.8,0.34,0.34,2.12,Matches
8,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,1.23,0.00,0.00,0.08,0.08,1.01,0.26,-0.15,-0.15,7.69,14.5,53.2,27.5,4.46,32.7,32.9,7.69,71.0,48.6,7.85,1.00,12.7,0.92,0.92,1.22,Matches
9,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,1.25,0.50,0.00,0.25,0.00,1.20,0.27,-0.05,-0.06,4.00,9.00,44.4,26.5,6.50,18.9,28.5,7.25,55.2,42.5,9.75,0.25,2.6,1.25,1.25,3.55,Matches
10,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,0.67,0.00,0.00,0.00,0.00,0.60,0.46,-0.07,-0.05,1.00,1.33,75.0,16.0,3.00,4.2,20.0,3.33,20.0,24.5,5.00,0.00,0.0,2.00,2.00,7.93,Matches
11,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,1.42,0.06,0.06,0.24,0.06,1.08,0.35,-0.29,-0.29,4.30,10.1,42.6,26.9,4.39,28.2,31.8,6.03,41.7,39.1,7.21,0.55,7.6,0.64,0.64,0.48,Matches
12,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34.0,1.21,0.15,0.00,0.24,0.03,1.16,0.24,-0.01,-0.01,4.88,13.3,36.8,22.3,4.41,39.3,37.2,8.24,54.6,44.8,10.4,0.59,5.6,0.53,0.53,0.41,Matches
13,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36.0,1.67,0.19,0.00,0.31,0.11,1.47,0.29,-0.09,-0.09,5.64,15.5,36.4,20.8,3.61,50.1,41.5,8.03,63.3,46.8,11.1,0.89,8.0,0.53,0.53,0.39,Matches
14,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,2001,1.0,1.00,0.00,0.00,0.00,0.00,0.30,0.14,-0.70,-0.72,3.00,3.00,100.0,11.0,4.00,0.0,21.1,8.00,37.5,34.8,6.00,0.00,0.0,2.00,2.00,20.4,Matches
15,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,29,1990,30.0,1.63,0.17,0.00,0.13,0.07,1.41,0.26,-0.16,-0.16,5.43,14.5,37.4,34.6,6.03,32.0,32.7,8.83,39.2,36.7,10.3,0.53,5.2,1.10,1.10,0.51,Matches
16,Asmir Begović\Asmir-Begovic,ba BIH,GK,Milan,it Serie A,32,1987,1.4,2.14,0.71,0.00,0.00,0.00,2.29,0.41,0.14,+0.13,2.86,7.86,36.4,17.1,3.57,33.3,32.8,8.57,25.0,32.3,5.71,0.00,0.0,0.00,0.00,11.1,Matches
17,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,26,1993,26.0,1.38,0.15,0.00,0.27,0.08,1.72,0.32,0.41,+0.41,3.35,7.81,42.9,22.0,5.08,22.7,27.6,8.15,34.4,34.0,9.85,0.69,7.0,0.35,0.35,0.54,Matches
18,Etrit Berisha\Etrit-Berisha,al ALB,GK,SPAL,it Serie A,30,1989,26.0,1.58,0.23,0.04,0.08,0.08,1.70,0.28,0.08,+0.08,7.54,16.9,44.5,25.0,5.23,46.0,37.4,9.00,60.3,45.9,10.6,0.81,7.6,0.54,0.54,0.52,Matches
19,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,22,1997,24.5,1.55,0.16,0.00,0.12,0.04,1.36,0.31,-0.16,-0.16,5.47,16.6,32.9,21.6,3.14,51.2,42.4,7.18,77.3,55.4,6.78,0.57,8.4,0.57,0.57,0.62,Matches
20,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,21,1998,2.2,1.36,0.00,0.00,0.45,0.00,0.73,0.26,-0.64,-0.66,6.82,10.5,65.2,22.3,8.64,32.7,31.5,8.18,38.9,39.4,5.91,0.45,7.7,0.91,0.92,6.50,Matches
21,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,24,1995,32.9,1.31,0.15,0.09,0.09,0.00,1.23,0.29,-0.08,-0.08,6.47,17.4,37.2,21.2,3.68,53.9,42.5,8.94,67.3,52.9,10.2,0.64,6.3,0.33,0.33,0.43,Matches
22,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,es La Liga,28,1991,5.5,0.55,0.18,0.00,0.00,0.00,0.69,0.16,0.15,+0.15,7.64,15.3,50.0,22.7,4.36,41.6,36.4,8.18,71.1,51.2,7.27,0.55,7.5,0.36,0.36,2.82,Matches
23,Federico Brancolini\Federico-Brancolini,it ITA,GK,Fiorentina,it Serie A,18,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,10.0,10.0,100.0,20.0,0.00,0.0,27.5,10.0,100.0,67.0,0.00,0.00,,0.00,0.00,210.0,Matches
24,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,eng Premier League,36,1983,3.9,1.79,0.00,0.00,0.00,0.00,1.08,0.28,-0.72,-0.72,4.87,12.1,40.4,26.7,3.33,27.9,31.5,7.18,64.3,48.2,8.97,0.77,8.6,0.26,0.26,3.18,Matches
25,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,41,1978,9.0,1.11,0.11,0.00,0.22,0.00,0.84,0.21,-0.27,-0.26,2.44,4.22,57.9,17.4,4.44,17.8,27.4,6.11,18.2,22.9,8.44,0.11,1.3,0.78,0.78,1.82,Matches
26,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,28,1990,30.8,1.30,0.10,0.00,0.26,0.10,1.13,0.36,-0.07,-0.07,3.77,10.4,36.3,27.4,5.88,29.8,32.8,6.62,33.8,34.3,7.18,0.49,6.8,0.88,0.88,0.48,Matches
27,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,fr Ligue 1,36,1983,26.0,1.23,0.12,0.04,0.04,0.04,0.94,0.28,-0.25,-0.25,5.73,14.8,38.8,19.0,4.38,47.5,39.8,7.81,73.9,52.5,7.12,0.58,8.1,0.81,0.81,0.57,Matches
28,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,19,1999,1.0,0.00,0.00,0.00,0.00,0.00,0.20,0.10,0.20,+0.21,0.00,0.00,,12.0,3.00,0.0,18.6,6.00,0.0,23.5,5.00,0.00,0.0,0.00,0.00,6.50,Matches
29,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,37,1981,5.0,1.40,0.00,0.00,0.60,0.20,1.18,0.37,-0.02,-0.02,6.40,14.8,43.2,27.4,3.00,45.3,35.8,5.60,42.9,36.8,4.00,0.00,0.0,0.40,0.40,2.48,Matches
30,Matis Carvalho\Matis-Carvalho,pt POR,GK,Montpellier,fr Ligue 1,20,1999,0.8,5.00,0.00,0.00,1.25,1.25,2.37,0.24,-1.38,-1.43,2.50,20.0,12.5,22.5,3.75,55.6,49.2,11.3,66.7,50.0,3.75,1.25,33.3,0.00,0.00,19.4,Matches
31,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,27,1992,26.0,1.46,0.15,0.04,0.19,0.00,1.42,0.33,-0.05,-0.05,8.73,18.7,46.8,31.0,4.73,47.0,40.1,6.85,59.6,48.7,8.35,0.69,8.3,0.92,0.92,0.60,Matches
32,Churripi\Churripi,es ESP,GK,Valladolid,es La Liga,25,1994,2.7,1.11,0.00,0.00,0.74,0.00,1.15,0.24,0.04,+0.04,6.67,29.6,22.5,27.8,4.07,78.7,55.3,8.89,87.5,67.6,9.26,1.11,12.0,1.11,1.11,5.07,Matches
33,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,es La Liga,30,1989,23.3,1.29,0.26,0.09,0.13,0.04,1.20,0.22,-0.04,-0.04,6.01,17.7,33.9,23.7,5.71,48.5,39.4,8.84,70.4,56.3,11.3,0.90,8.0,0.52,0.52,0.55,Matches
34,Yannis Clementia\Yannis-Clementia,fr FRA,GK,Nice,fr Ligue 1,22,1997,2.0,1.00,0.50,0.00,0.00,0.00,0.95,0.19,-0.05,-0.03,1.50,11.5,13.0,23.5,8.00,29.8,33.3,7.00,64.3,50.6,14.0,0.00,0.0,0.00,0.00,5.40,Matches
35,Simone Colombi\Simone-Colombi,it ITA,GK,Parma,it Serie A,28,1991,4.0,1.00,0.25,0.00,0.00,0.00,1.00,0.19,0.00,0.00,2.75,6.00,45.8,14.8,4.00,27.1,31.1,9.75,20.5,24.6,8.25,0.50,6.1,0.00,0.00,2.92,Matches
36,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,32,1987,31.0,1.77,0.23,0.03,0.29,0.10,1.60,0.32,-0.08,-0.08,4.55,10.9,41.6,25.5,4.39,34.2,32.7,6.65,33.5,29.9,9.39,0.81,8.6,0.65,0.65,0.48,Matches
