,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
569,Giovanni Crociata\Giovanni-Crociata,it ITA,DFMF,Crotone,it Serie A,23-266,1997,0.3,0.00,0.00,0.00,6.67,3.33,0.00,6.67,0.00,3.33,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
570,Juan Cruz Armada\Juan-Cruz-Armada,es ESP,DF,Osasuna,es La Liga,28-280,1992,20.0,0.20,0.00,0.00,0.55,0.20,0.10,1.90,0.40,0.85,0.00,0.05,0.00,8.25,1.25,1.30,49.0,Matches
571,Juan Cuadrado\Juan-Cuadrado,co COL,DFMF,Juventus,it Serie A,32-343,1988,21.1,0.38,0.05,0.00,1.47,2.75,0.14,3.27,1.00,1.00,0.05,0.00,0.00,7.16,0.62,0.90,40.6,Matches
572,Adrián Cubas\Adrian-Cubas,py PAR,MF,Nîmes,fr Ligue 1,24-347,1996,22.0,0.27,0.05,0.05,1.27,0.68,0.00,0.18,2.05,2.45,0.00,0.00,0.00,12.0,0.27,1.00,21.4,Matches
573,Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,es ESP,MF,Eibar,es La Liga,21-241,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
574,Cucho\Cucho,co COL,FWMF,Getafe,es La Liga,22-014,1999,15.8,0.25,0.00,0.00,2.09,1.96,0.63,1.96,0.32,0.63,0.00,0.00,0.00,6.08,2.53,4.56,35.7,Matches
575,Marc Cucurella\Marc-Cucurella,es ESP,MF,Getafe,es La Liga,22-286,1998,32.3,0.25,0.00,0.00,1.92,1.64,0.22,2.51,1.42,1.42,0.00,0.00,0.00,8.17,2.04,2.85,41.8,Matches
576,Mickaël Cuisance\Mickael-Cuisance,fr FRA,FW,Bayern Munich,de Bundesliga,21-261,1999,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.0,0.00,0.00,,Matches
577,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,Marseille,fr Ligue 1,21-261,1999,11.4,0.26,0.00,0.00,2.98,0.96,0.09,0.79,0.61,1.49,0.00,0.00,0.00,6.58,0.79,2.37,25.0,Matches
578,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,Hertha BSC,de Bundesliga,21-342,1999,22.9,0.39,0.00,0.00,1.97,3.19,0.22,2.53,1.53,1.27,0.04,0.04,0.00,7.90,0.66,1.22,34.9,Matches
579,Giuseppe Cuomo\Giuseppe-Cuomo,it ITA,DF,Crotone,it Serie A,23-091,1998,7.7,0.52,0.00,0.00,1.95,0.65,0.00,0.00,1.69,1.69,0.00,0.00,0.00,12.6,2.34,1.04,69.2,Matches
580,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Fiorentina,it Serie A,23-121,1998,2.2,0.00,0.00,0.00,3.64,1.36,0.00,0.91,0.00,0.91,0.00,0.00,0.00,5.00,1.82,4.09,30.8,Matches
581,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,eng Premier League,23-121,1998,0.3,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,3.33,6.67,33.3,Matches
582,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Valencia,es La Liga,23-121,1998,1.2,0.00,0.00,0.00,1.67,0.83,0.83,0.83,0.83,0.00,0.00,0.00,0.00,3.33,0.00,7.50,0.0,Matches
583,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Parma,it Serie A,26-096,1995,4.6,0.43,0.00,0.00,1.30,1.52,0.00,0.65,0.65,1.30,0.00,0.00,0.00,7.83,0.87,0.43,66.7,Matches
584,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,de Bundesliga,30-355,1990,22.1,0.32,0.00,0.00,1.09,0.63,0.05,0.09,1.54,1.49,0.00,0.05,0.00,10.2,2.76,2.17,56.0,Matches
585,Lennart-Marten Czyborra\Lennart-Marten-Czyborra,de GER,DF,Genoa,it Serie A,22-001,1999,13.0,0.15,0.00,0.00,0.85,0.31,0.00,1.31,0.92,0.54,0.00,0.00,0.00,6.54,0.92,1.62,36.4,Matches
586,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,Inter,it Serie A,32-237,1988,4.8,0.42,0.00,0.00,1.88,2.29,0.00,0.83,0.83,1.88,0.00,0.00,0.00,7.29,2.08,1.25,62.5,Matches
587,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,fr Ligue 1,32-352,1988,27.6,0.25,0.00,0.00,1.01,0.72,0.00,0.25,1.34,0.65,0.00,0.04,0.00,9.78,2.90,1.01,74.1,Matches
588,Bryan Dabo\Bryan-Dabo,bf BFA,MF,Benevento,it Serie A,29-075,1992,10.0,0.50,0.00,0.00,1.70,1.60,0.10,1.10,1.30,0.80,0.00,0.00,0.00,10.5,4.70,2.00,70.1,Matches
589,Moanes Dabour\Moanes-Dabour,il ISR,FW,Hoffenheim,de Bundesliga,28-355,1992,11.1,0.18,0.00,0.00,1.71,2.25,0.45,0.72,0.54,0.72,0.00,0.00,0.00,6.85,1.98,2.07,48.9,Matches
590,Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,22-237,1998,12.3,0.24,0.00,0.00,1.46,0.73,0.16,1.79,0.73,0.89,0.00,0.08,0.00,6.83,0.24,1.06,18.8,Matches
591,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,de Bundesliga,23-038,1998,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,,Matches
592,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,de Bundesliga,25-123,1996,11.8,0.17,0.00,0.00,1.86,1.44,0.00,0.59,1.53,1.61,0.00,0.08,0.00,12.5,0.85,0.85,50.0,Matches
593,Leon Dajaku\Leon-Dajaku,de GER,FW,Union Berlin,de Bundesliga,20-022,2001,0.4,0.00,0.00,0.00,0.00,2.50,5.00,0.00,0.00,2.50,0.00,0.00,0.00,12.5,2.50,2.50,50.0,Matches
594,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,eng Premier League,30-015,1991,33.9,0.18,0.00,0.00,1.15,1.39,0.00,1.45,1.56,1.39,0.00,0.00,0.00,9.38,1.03,1.00,50.7,Matches
595,Diogo Dalot\Diogo-Dalot,pt POR,DF,Milan,it Serie A,22-047,1999,11.3,0.35,0.00,0.00,2.04,0.35,0.18,2.39,1.50,1.42,0.00,0.00,0.00,7.88,1.86,0.80,70.0,Matches
596,Mikkel Damsgaard\Mikkel-Damsgaard,dk DEN,MFFW,Sampdoria,it Serie A,20-305,2000,18.9,0.16,0.00,0.00,1.32,1.43,0.16,1.75,1.38,1.48,0.00,0.05,0.00,7.20,1.16,1.64,41.5,Matches
597,Flavius Daniliuc\Flavius-Daniliuc,at AUT,DF,Nice,fr Ligue 1,20-007,2001,15.3,0.00,0.00,0.00,0.72,0.59,0.00,0.13,1.11,0.78,0.00,0.00,0.00,8.63,1.31,1.50,46.5,Matches
598,Danilo\Danilo,br BRA,DF,Juventus,it Serie A,29-293,1991,29.7,0.17,0.00,0.00,0.81,0.61,0.07,0.88,1.35,1.14,0.00,0.00,0.00,8.69,1.04,0.61,63.3,Matches
599,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,eng Premier League,34-079,1987,14.0,0.07,0.00,0.00,0.29,0.43,0.00,0.00,0.50,0.50,0.00,0.00,0.00,10.2,3.29,2.43,57.5,Matches
600,Tiago Dantas\Tiago-Dantas,pt POR,MF,Bayern Munich,de Bundesliga,20-131,2000,0.8,0.00,0.00,0.00,0.00,1.25,0.00,1.25,1.25,0.00,0.00,0.00,0.00,8.75,0.00,1.25,0.0,Matches
601,Dante\Dante,br BRA,DF,Nice,fr Ligue 1,37-198,1983,8.6,0.23,0.00,0.00,0.70,0.47,0.00,0.00,0.23,0.81,0.00,0.12,0.00,9.07,2.56,0.93,73.3,Matches
602,Andrea Danzi\Andrea-Danzi,it ITA,MFDF,Hellas Verona,it Serie A,22-068,1999,1.2,0.83,0.00,0.00,0.83,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,10.0,1.67,0.00,100.0,Matches
603,Ebrima Darboe\Ebrima-Darboe,gm GAM,MF,Roma,it Serie A,19-332,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,20.0,0.00,10.0,0.0,Matches
604,Márton Dárdai\Marton-Dardai,de GER,DF,Hertha BSC,de Bundesliga,19-081,2002,7.1,0.00,0.00,0.00,1.41,0.28,0.00,0.99,1.69,1.27,0.00,0.00,0.00,6.62,0.99,1.27,43.8,Matches
605,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,de Bundesliga,30-269,1990,18.5,0.11,0.05,0.00,1.14,1.14,0.11,2.32,1.46,1.24,0.00,0.00,0.00,9.95,0.92,1.62,36.2,Matches
606,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30-208,1990,25.0,0.12,0.00,0.00,0.00,0.12,0.00,0.00,0.04,0.00,0.00,0.00,0.00,4.12,0.00,0.00,,Matches
607,Matteo Darmian\Matteo-Darmian,it ITA,DF,Inter,it Serie A,31-153,1989,11.5,0.26,0.00,0.00,1.74,1.39,0.17,2.35,1.39,1.13,0.09,0.00,0.00,6.09,1.48,0.96,60.7,Matches
608,Matteo Darmian\Matteo-Darmian,it ITA,DF,Parma,it Serie A,31-153,1989,2.3,0.43,0.00,0.00,1.30,1.30,0.00,0.00,1.30,1.30,0.00,0.00,0.00,4.78,0.87,0.87,50.0,Matches
609,Jonathan David\Jonathan-David,ca CAN,FW,Lille,fr Ligue 1,21-110,2000,23.6,0.00,0.00,0.00,1.36,1.53,0.25,0.30,0.55,0.47,0.04,0.00,0.00,4.28,0.93,2.71,25.6,Matches
610,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,de Bundesliga,20-183,2000,16.6,0.06,0.06,0.00,0.60,1.99,0.18,1.51,1.99,1.75,0.06,0.00,0.00,13.1,1.08,1.14,48.6,Matches
611,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,eng Premier League,28-010,1993,15.0,0.07,0.00,0.00,1.27,0.93,0.07,1.60,0.87,0.87,0.07,0.00,0.00,6.73,2.27,1.33,63.0,Matches
612,Tom Davies\Tom-Davies,eng ENG,MF,Everton,eng Premier League,22-308,1998,13.7,0.22,0.00,0.00,1.82,1.82,0.00,0.36,2.12,1.82,0.00,0.07,0.00,8.39,0.66,1.09,37.5,Matches
613,Keinan Davis\Keinan-Davis,eng ENG,FWMF,Aston Villa,eng Premier League,23-080,1998,1.9,0.00,0.00,0.00,1.05,1.05,0.00,2.11,0.00,1.58,0.00,0.00,0.00,5.26,6.32,4.74,57.1,Matches
614,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,eng Premier League,21-112,2000,0.4,0.00,0.00,0.00,2.50,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,2.50,0.0,Matches
615,Paweł Dawidowicz\Pawel-Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,25-349,1995,19.0,0.37,0.00,0.00,1.74,0.37,0.11,0.26,1.32,1.42,0.00,0.00,0.00,11.5,2.74,1.89,59.1,Matches
616,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,eng Premier League,30-363,1990,17.4,0.23,0.06,0.06,0.75,0.57,0.11,0.00,1.49,0.57,0.00,0.00,0.11,7.41,3.16,1.21,72.4,Matches
617,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,eng Premier League,29-310,1991,21.2,0.05,0.00,0.00,1.13,1.46,0.05,2.92,0.75,1.46,0.09,0.00,0.00,7.08,0.33,0.61,35.0,Matches
618,Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Udinese,it Serie A,34-060,1987,8.9,0.11,0.00,0.00,1.01,0.34,0.34,0.11,1.12,1.24,0.00,0.00,0.00,11.6,2.58,2.13,54.8,Matches
619,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,MF,Udinese,it Serie A,26-345,1994,31.8,0.16,0.06,0.03,1.04,3.68,0.03,3.24,0.53,0.88,0.00,0.03,0.00,7.92,0.19,0.38,33.3,Matches
620,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Lyon,fr Ligue 1,28-196,1992,15.1,0.26,0.07,0.00,1.46,0.66,0.00,1.52,2.05,1.52,0.00,0.00,0.00,8.94,1.19,0.86,58.1,Matches
621,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Juventus,it Serie A,28-196,1992,0.3,0.00,0.00,0.00,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches
622,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DF,Bologna,it Serie A,32-346,1988,22.1,0.18,0.00,0.00,1.86,0.81,0.05,1.40,1.09,0.63,0.00,0.00,0.00,7.78,2.13,1.54,58.0,Matches
623,Thibault De Smet\Thibault-De-Smet,be BEL,DF,Reims,fr Ligue 1,22-333,1998,5.5,0.55,0.00,0.00,2.00,1.09,0.00,1.64,0.91,1.45,0.00,0.18,0.00,9.45,2.00,2.36,45.8,Matches
624,Lucas Deaux\Lucas-Deaux,fr FRA,MFDF,Nîmes,fr Ligue 1,32-129,1988,19.2,0.21,0.05,0.00,1.82,1.04,0.16,1.09,0.73,1.98,0.00,0.05,0.00,11.4,1.93,1.61,54.4,Matches
625,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,35-280,1985,21.5,0.23,0.00,0.00,1.72,0.88,0.14,2.70,2.00,1.58,0.00,0.14,0.00,9.21,3.58,1.21,74.8,Matches
626,Grégoire Defrel\Gregoire-Defrel,mq MTQ,FWMF,Sassuolo,it Serie A,29-321,1991,12.8,0.08,0.00,0.00,0.94,1.41,0.31,0.55,0.55,0.94,0.00,0.00,0.00,5.23,0.55,1.95,21.9,Matches
627,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Spezia,it Serie A,25-276,1995,4.0,0.25,0.00,0.00,1.50,1.25,0.00,0.75,0.50,1.50,0.00,0.00,0.00,8.50,0.75,1.50,33.3,Matches
628,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Cagliari,it Serie A,25-276,1995,3.9,0.26,0.00,0.00,1.79,0.26,0.00,0.77,1.79,1.28,0.00,0.00,0.00,8.72,0.26,0.51,33.3,Matches
629,Romain Del Castillo\Romain-Del-Castillo,fr FRA,MFFW,Rennes,fr Ligue 1,25-036,1996,6.8,0.15,0.00,0.00,2.06,1.91,0.15,3.24,0.59,3.09,0.00,0.00,0.00,7.79,0.88,1.76,33.3,Matches
630,Lorenzo Del Pinto\Lorenzo-Del-Pinto,it ITA,MF,Benevento,it Serie A,30-321,1990,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,10.0,0.0,Matches
631,Thomas Delaine\Thomas-Delaine,fr FRA,DF,Metz,fr Ligue 1,29-041,1992,17.8,0.22,0.00,0.00,1.24,0.79,0.00,3.48,0.96,0.84,0.00,0.00,0.00,6.57,0.56,0.67,45.5,Matches
632,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,de Bundesliga,29-243,1991,12.9,0.47,0.00,0.00,2.79,1.86,0.08,0.54,1.71,2.48,0.00,0.00,0.00,11.4,2.33,1.01,69.8,Matches
633,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,eng Premier League,18-085,2003,0.4,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50,50.0,Matches
634,Jonathan Delaplace\Jonathan-Delaplace,fr FRA,DF,Lorient,fr Ligue 1,35-045,1986,10.1,0.10,0.10,0.00,1.58,0.69,0.10,2.67,1.98,1.19,0.00,0.00,0.00,9.50,0.59,1.09,35.3,Matches
635,Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Spezia,it Serie A,27-083,1994,2.9,0.00,0.00,0.00,0.69,0.69,0.00,0.00,1.38,0.34,0.00,0.00,0.00,12.8,1.72,1.38,55.6,Matches
636,Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,fr Ligue 1,29-207,1991,24.7,0.16,0.00,0.00,2.02,1.54,0.73,3.28,0.12,0.61,0.04,0.00,0.00,5.06,4.53,4.01,53.1,Matches
637,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,eng Premier League,31-164,1989,2.9,0.34,0.00,0.00,1.03,2.41,0.00,1.03,1.38,0.69,0.00,0.00,0.00,9.66,0.00,0.00,,Matches
638,Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,fr Ligue 1,24-296,1996,7.5,0.40,0.00,0.00,2.27,0.93,0.93,0.27,0.27,0.40,0.00,0.00,0.00,4.53,2.13,3.47,38.1,Matches
639,Moussa Dembélé\Moussa-Dembele,fr FRA,FWMF,Atlético Madrid,es La Liga,24-296,1996,1.0,0.00,0.00,0.00,3.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,8.00,6.00,4.00,60.0,Matches
640,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FW,Barcelona,es La Liga,23-354,1997,16.9,0.12,0.00,0.00,0.77,1.24,0.59,2.66,0.59,0.47,0.00,0.00,0.00,3.85,0.36,0.71,33.3,Matches
641,Merih Demiral\Merih-Demiral,tr TUR,DF,Juventus,it Serie A,23-060,1998,10.2,0.10,0.00,0.00,1.08,0.10,0.20,0.00,1.18,1.08,0.00,0.10,0.00,8.04,2.35,0.69,77.4,Matches
642,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,de Bundesliga,27-305,1993,16.6,0.12,0.00,0.00,2.23,1.39,0.00,1.51,0.72,1.99,0.00,0.00,0.00,10.2,0.78,1.27,38.2,Matches
643,Ermedin Demirović\Ermedin-Demirovic,ba BIH,FW,Freiburg,de Bundesliga,23-040,1998,14.2,0.35,0.00,0.00,2.82,1.06,0.49,0.70,0.35,0.77,0.07,0.00,0.00,4.44,3.10,6.34,32.8,Matches
644,Diego Demme\Diego-Demme,de GER,MF,Napoli,it Serie A,29-164,1991,16.6,0.36,0.00,0.00,1.81,1.63,0.06,0.42,0.96,2.11,0.00,0.00,0.00,9.52,0.36,0.96,27.3,Matches
645,Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,fr Ligue 1,25-310,1995,27.0,0.04,0.00,0.00,0.70,0.30,0.00,0.04,0.81,0.74,0.00,0.00,0.00,8.30,1.63,1.52,51.8,Matches
646,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,eng Premier League,26-019,1995,25.9,0.12,0.00,0.00,1.12,0.42,0.15,0.31,0.93,1.04,0.00,0.00,0.04,8.65,3.17,1.93,62.1,Matches
647,Kevin Denkey\Kevin-Denkey,tg TOG,FW,Nîmes,fr Ligue 1,20-155,2000,5.8,0.52,0.00,0.00,3.62,1.55,0.34,0.86,0.34,0.52,0.00,0.00,0.00,4.66,1.03,2.76,27.3,Matches
648,Emmanuel Dennis\Emmanuel-Dennis,ng NGA,FW,Köln,de Bundesliga,23-170,1997,5.3,0.00,0.00,0.00,2.83,0.94,1.32,1.51,0.57,1.32,0.00,0.00,0.00,5.09,1.70,3.40,33.3,Matches
649,Stefano Denswil\Stefano-Denswil,nl NED,DF,Bologna,it Serie A,27-362,1993,1.3,0.00,0.00,0.00,0.00,1.54,0.00,0.00,0.77,1.54,0.00,0.00,0.00,8.46,2.31,0.77,75.0,Matches
650,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Benevento,it Serie A,24-010,1997,11.1,0.18,0.00,0.00,1.26,0.54,0.09,1.35,1.17,1.08,0.00,0.00,0.09,5.68,1.17,0.72,61.9,Matches
651,Fabio Depaoli\Fabio-Depaoli,it ITA,MF,Sampdoria,it Serie A,24-010,1997,0.9,0.00,0.00,0.00,5.56,2.22,2.22,1.11,0.00,0.00,0.00,0.00,0.00,5.56,0.00,4.44,0.0,Matches
652,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Atalanta,it Serie A,24-010,1997,2.1,0.00,0.00,0.00,2.38,0.48,0.00,0.48,0.48,0.48,0.00,0.00,0.00,4.29,1.43,0.95,60.0,Matches
653,Memphis Depay\Memphis-Depay,nl NED,FW,Lyon,fr Ligue 1,27-080,1994,30.5,0.13,0.00,0.00,1.02,1.64,0.39,3.15,0.30,0.16,0.07,0.00,0.00,4.89,0.49,0.95,34.1,Matches
654,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Arminia,de Bundesliga,28-201,1992,15.0,0.20,0.00,0.00,0.73,0.60,0.00,0.00,0.53,0.47,0.00,0.13,0.00,10.3,3.67,2.40,60.4,Matches
655,Kastriot Dermaku\Kastriot-Dermaku,al ALB,DF,Parma,it Serie A,29-109,1992,1.1,0.00,0.00,0.00,1.82,1.82,0.00,0.00,0.91,0.00,0.00,0.00,0.00,6.36,0.00,0.91,0.0,Matches
656,Kiril Despodov\Kiril-Despodov,bg BUL,FW,Cagliari,it Serie A,24-174,1996,0.1,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,Matches
657,Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,es La Liga,20-182,2000,18.7,0.05,0.00,0.00,0.86,0.43,0.16,1.93,0.70,0.80,0.00,0.00,0.00,6.84,0.27,0.37,41.7,Matches
658,Mattia Destro\Mattia-Destro,it ITA,FW,Genoa,it Serie A,30-045,1991,16.6,0.30,0.00,0.00,2.23,2.17,1.39,0.24,0.12,0.42,0.00,0.00,0.00,3.55,1.87,4.28,30.4,Matches
659,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Udinese,it Serie A,27-052,1994,6.6,0.00,0.00,0.00,1.06,0.91,1.67,2.12,0.45,0.30,0.15,0.00,0.00,4.85,0.00,1.67,0.0,Matches
660,Deyverson\Deyverson,br BRA,FW,Alavés,es La Liga,29-361,1991,9.6,0.31,0.00,0.00,1.56,2.50,1.04,1.25,1.04,0.63,0.00,0.00,0.00,7.60,6.77,5.10,57.0,Matches
661,Jacopo Dezi\Jacopo-Dezi,it ITA,FWMF,Parma,it Serie A,29-083,1992,0.9,0.00,0.00,0.00,1.11,3.33,0.00,3.33,1.11,1.11,0.00,0.00,0.00,5.56,0.00,2.22,0.0,Matches
662,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Hellas Verona,it Serie A,32-226,1988,5.6,0.18,0.00,0.00,2.86,3.57,1.07,0.89,0.00,0.00,0.00,0.00,0.00,3.75,5.36,5.00,51.7,Matches
663,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Crotone,it Serie A,32-226,1988,5.3,0.19,0.00,0.00,0.94,2.83,0.00,0.57,0.19,0.38,0.19,0.00,0.00,2.08,2.26,3.02,42.9,Matches
664,Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,it ITA,DF,Napoli,it Serie A,27-273,1993,32.0,0.34,0.00,0.00,1.44,1.66,0.09,1.69,1.03,1.59,0.03,0.03,0.00,6.06,1.63,1.28,55.9,Matches
665,Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,Paris S-G,fr Ligue 1,33-079,1988,18.2,0.05,0.00,0.00,0.60,1.37,0.44,4.73,0.33,1.10,0.00,0.00,0.00,4.23,0.00,0.05,0.0,Matches
666,Alessandro Di Pardo\Alessandro-Di-Pardo,it ITA,MFDF,Juventus,it Serie A,21-290,1999,0.2,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,,Matches
667,Giuseppe Di Serio\Giuseppe-Di-Serio,it ITA,MFFW,Benevento,it Serie A,19-288,2001,2.1,0.48,0.00,0.00,5.24,7.14,0.95,0.95,0.48,0.95,0.00,0.00,0.00,6.19,3.81,4.76,44.4,Matches
668,Boulaye Dia\Boulaye-Dia,sn SEN,FWMF,Reims,fr Ligue 1,24-169,1996,29.8,0.07,0.00,0.00,0.97,1.14,0.47,0.44,0.50,0.47,0.03,0.00,0.00,3.89,0.94,3.15,23.0,Matches
669,Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,es La Liga,29-348,1991,0.2,0.00,0.00,0.00,5.00,0.00,0.00,10.0,0.00,5.00,0.00,0.00,0.00,5.00,0.00,5.00,0.0,Matches
670,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,21-301,1999,25.0,0.20,0.00,0.00,1.08,0.60,0.40,3.88,0.60,0.24,0.00,0.00,0.00,5.52,0.20,0.68,22.7,Matches
671,Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,eng Premier League,29-188,1991,12.6,0.16,0.00,0.00,1.19,1.75,1.35,0.40,0.16,0.32,0.00,0.00,0.00,3.57,3.73,7.46,33.3,Matches
672,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,es La Liga,24-136,1996,20.2,0.20,0.05,0.00,0.99,0.40,0.20,0.10,0.30,0.64,0.00,0.05,0.00,8.32,2.23,0.64,77.6,Matches
673,Abdou Diallo\Abdou-Diallo,sn SEN,DF,Paris S-G,fr Ligue 1,25-000,1996,15.2,0.20,0.13,0.07,1.12,0.59,0.00,0.39,0.86,0.92,0.00,0.00,0.00,8.36,1.51,0.92,62.2,Matches
674,Amad Diallo\Amad-Diallo,ci CIV,MF,Atalanta,it Serie A,18-297,2002,0.2,5.00,0.00,0.00,5.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.0,Matches
675,Habib Diallo\Habib-Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,25-320,1995,23.5,0.09,0.00,0.00,0.81,0.89,0.51,0.68,0.51,0.43,0.00,0.00,0.00,4.26,3.15,4.34,42.0,Matches
676,Habib Diallo\Habib-Diallo,sn SEN,FW,Metz,fr Ligue 1,25-320,1995,1.6,0.00,0.00,0.00,1.25,1.25,1.25,0.63,0.00,0.00,0.00,0.00,0.00,5.00,6.25,9.38,40.0,Matches
677,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,eng Premier League,22-057,1999,9.8,0.20,0.00,0.00,1.84,1.12,0.00,0.71,1.33,2.24,0.00,0.10,0.00,11.5,0.82,1.43,36.4,Matches
678,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Brest,fr Ligue 1,22-057,1999,4.9,0.20,0.00,0.00,1.63,1.63,0.00,0.61,0.61,1.63,0.00,0.00,0.00,8.98,0.41,0.61,40.0,Matches
679,Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,eng Premier League,23-015,1998,12.1,0.00,0.00,0.00,0.91,2.48,0.33,1.07,1.07,1.32,0.00,0.00,0.00,5.70,1.24,2.81,30.6,Matches
680,Stéphane Diarra\Stephane-Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,22-146,1998,2.0,0.50,0.00,0.00,2.00,2.00,1.50,5.50,0.00,0.50,0.00,0.00,0.00,9.00,1.00,1.00,50.0,Matches
681,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,eng Premier League,24-141,1996,23.0,0.13,0.00,0.00,0.57,1.04,0.57,3.04,1.26,0.74,0.00,0.00,0.00,6.17,0.48,1.52,23.9,Matches
