,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24-359,1996,15.3,0.07,0.00,0.00,1.50,1.31,0.07,1.31,2.03,0.85,0.00,0.00,0.00,6.93,0.98,1.31,42.9,Matches
27,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,it Serie A,19-084,2002,8.1,0.25,0.00,0.00,1.85,0.99,0.00,0.00,1.73,1.36,0.00,0.00,0.00,11.9,1.23,0.74,62.5,Matches
28,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,21-219,1999,7.7,0.00,0.00,0.00,0.65,3.25,0.13,1.30,2.60,2.08,0.00,0.00,0.00,8.44,1.56,1.82,46.2,Matches
29,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,22-171,1998,13.2,0.23,0.00,0.00,1.36,2.12,0.15,0.53,0.30,1.74,0.00,0.00,0.00,4.17,1.29,2.58,33.3,Matches
30,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25-035,1996,32.0,0.13,0.00,0.00,0.56,0.91,0.06,0.03,1.09,1.03,0.00,0.00,0.00,9.56,3.81,1.63,70.1,Matches
31,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,eng Premier League,32-336,1988,5.2,0.00,0.00,0.00,0.38,1.15,0.19,0.38,0.77,0.00,0.00,0.00,0.00,3.08,0.38,1.15,25.0,Matches
32,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFFW,Monaco,fr Ligue 1,28-008,1993,23.6,0.25,0.00,0.00,1.69,1.44,0.04,4.15,1.44,1.86,0.04,0.00,0.00,10.1,2.12,1.57,57.5,Matches
33,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19-036,2002,2.4,0.42,0.42,0.00,1.67,3.75,0.00,0.42,1.67,0.42,0.00,0.00,0.00,8.75,0.42,0.83,33.3,Matches
34,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21-306,1999,9.1,0.00,0.00,0.00,1.65,1.54,0.11,0.44,0.44,1.87,0.00,0.11,0.00,6.70,0.55,1.21,31.3,Matches
35,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,21-042,2000,1.3,0.00,0.00,0.00,1.54,0.77,2.31,0.00,0.77,1.54,0.00,0.00,0.00,3.08,0.77,3.85,16.7,Matches
36,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27-045,1994,22.1,0.36,0.00,0.00,2.13,1.27,0.00,0.23,2.26,1.40,0.00,0.00,0.00,9.91,1.81,1.27,58.8,Matches
37,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,27-045,1994,0.4,0.00,0.00,0.00,0.00,2.50,0.00,0.00,5.00,0.00,0.00,0.00,0.00,7.50,2.50,2.50,50.0,Matches
38,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25-217,1995,13.1,0.23,0.00,0.00,0.92,0.99,0.08,0.08,1.15,1.30,0.00,0.00,0.00,10.9,3.13,2.90,51.9,Matches
39,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,eng Premier League,24-208,1996,28.9,0.10,0.00,0.00,1.04,0.83,0.07,1.45,1.76,0.87,0.00,0.00,0.00,8.65,1.14,1.45,44.0,Matches
40,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,19-332,2001,2.1,0.00,0.00,0.00,0.95,1.43,0.00,1.90,0.48,0.95,0.00,0.00,0.00,5.71,0.95,1.90,33.3,Matches
41,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,eng Premier League,19-332,2001,12.7,0.00,0.00,0.00,0.79,1.42,0.00,1.89,0.87,1.18,0.00,0.08,0.00,7.17,0.79,1.10,41.7,Matches
42,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,eng Premier League,27-176,1993,26.9,0.11,0.04,0.00,1.00,0.11,0.00,0.19,1.30,1.49,0.00,0.07,0.00,8.85,2.64,1.34,66.4,Matches
43,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27-068,1994,30.0,0.17,0.00,0.00,1.13,1.47,0.40,1.03,0.33,0.53,0.03,0.00,0.00,3.63,5.10,4.17,55.0,Matches
44,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,25-289,1995,23.4,0.17,0.00,0.00,0.90,0.73,0.00,0.00,1.45,1.15,0.04,0.04,0.00,9.66,2.18,1.50,59.3,Matches
45,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,es La Liga,28-053,1993,7.4,0.41,0.14,0.14,1.22,0.27,0.00,1.89,0.95,1.22,0.00,0.00,0.00,8.92,2.03,0.68,75.0,Matches
46,Marley Aké\Marley-Ake,fr FRA,FW,Marseille,fr Ligue 1,20-119,2001,1.6,0.00,0.00,0.00,3.75,3.13,0.00,0.63,0.63,0.00,0.00,0.00,0.00,4.38,2.50,3.75,40.0,Matches
47,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,eng Premier League,26-075,1995,6.9,0.58,0.00,0.00,0.72,0.72,0.00,0.00,0.58,0.29,0.00,0.00,0.00,9.57,4.20,1.59,72.5,Matches
48,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,23-135,1997,4.2,1.19,0.24,0.24,2.62,0.48,0.00,0.48,1.43,1.90,0.00,0.00,0.00,8.81,1.90,1.90,50.0,Matches
49,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MFFW,Lazio,it Serie A,28-205,1992,9.6,0.83,0.00,0.00,2.92,1.04,0.00,0.10,1.56,2.81,0.00,0.00,0.00,8.02,0.73,0.63,53.8,Matches
50,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26-015,1995,11.4,0.09,0.00,0.00,1.23,1.14,0.00,0.53,0.79,0.96,0.00,0.00,0.00,8.33,1.49,1.58,48.6,Matches
51,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28-314,1992,27.3,0.11,0.00,0.00,0.66,0.37,0.00,0.81,1.25,1.03,0.00,0.00,0.00,10.8,0.84,0.88,48.9,Matches
52,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22-279,1998,16.2,0.25,0.00,0.00,1.54,1.60,0.06,0.93,2.04,1.98,0.06,0.06,0.00,7.84,0.62,0.93,40.0,Matches
53,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,es La Liga,19-221,2001,0.8,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,1.25,0.00,0.00,0.00,8.75,0.00,1.25,0.0,Matches
54,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,28-208,1992,13.8,0.14,0.00,0.00,1.30,1.23,0.87,0.00,0.22,0.43,0.00,0.00,0.00,3.62,2.46,5.51,30.9,Matches
55,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,32-044,1989,30.1,0.27,0.00,0.00,0.66,0.50,0.33,3.39,1.26,0.70,0.00,0.00,0.03,9.04,0.13,0.40,25.0,Matches
56,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,28-218,1992,25.3,0.16,0.00,0.00,0.71,1.30,0.08,1.15,0.71,1.23,0.00,0.00,0.00,9.05,0.28,0.55,33.3,Matches
57,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,35-242,1985,30.6,0.23,0.00,0.00,0.36,0.52,0.03,0.10,0.72,0.52,0.00,0.03,0.00,9.15,1.76,1.44,55.1,Matches
58,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31-167,1989,15.8,0.13,0.00,0.00,0.51,1.27,0.25,3.99,1.33,1.58,0.00,0.00,0.00,9.81,0.76,1.77,30.0,Matches
59,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,27-247,1993,16.1,0.00,0.00,0.00,0.43,0.50,1.12,0.31,0.37,0.25,0.00,0.00,0.00,2.61,0.56,2.73,17.0,Matches
60,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,es La Liga,32-046,1989,8.0,0.25,0.00,0.00,1.50,0.63,0.13,0.00,2.13,0.88,0.00,0.00,0.13,5.25,1.88,1.75,51.7,Matches
61,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,eng Premier League,30-023,1991,15.6,0.26,0.00,0.00,2.56,1.22,0.00,0.19,1.67,1.86,0.00,0.06,0.00,11.9,1.67,1.15,59.1,Matches
62,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,30-003,1991,22.4,0.40,0.00,0.00,1.92,1.74,0.00,0.22,1.16,1.61,0.00,0.00,0.00,12.1,2.37,2.41,49.5,Matches
63,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,de Bundesliga,24-129,1996,11.4,0.09,0.00,0.00,1.58,0.35,0.00,0.09,1.05,0.88,0.00,0.00,0.00,9.82,2.37,2.28,50.9,Matches
64,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,32-063,1989,20.9,0.10,0.00,0.00,0.77,0.14,0.00,0.05,0.29,0.72,0.00,0.00,0.05,8.42,2.44,1.63,60.0,Matches
65,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,es La Liga,26-083,1995,7.6,0.53,0.00,0.00,2.89,2.76,0.53,5.13,0.26,1.45,0.00,0.00,0.00,5.39,1.97,1.05,65.2,Matches
66,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,23-119,1998,0.5,2.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,4.00,0.00,100.0,Matches
67,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,es La Liga,23-119,1998,12.3,0.08,0.00,0.00,1.30,1.63,0.00,1.46,0.49,0.49,0.00,0.00,0.00,7.56,0.98,2.76,26.1,Matches
68,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,26-075,1995,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
69,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22-209,1998,28.7,0.03,0.00,0.00,0.52,0.31,0.10,5.26,1.11,1.18,0.00,0.03,0.00,10.5,0.28,0.91,23.5,Matches
70,Alfon\Alfon,es ESP,MF,Celta Vigo,es La Liga,22-000,1999,0.4,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,,Matches
71,Mohamed Ali Cho\Mohamed-Ali-Cho,fr FRA,FWMF,Angers,fr Ligue 1,17-105,2004,3.5,0.29,0.00,0.00,2.29,1.71,0.00,2.29,0.86,2.29,0.00,0.00,0.00,5.43,1.43,2.57,35.7,Matches
72,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,eng Premier League,29-081,1992,23.3,0.30,0.00,0.00,1.55,1.42,0.21,2.15,1.24,1.46,0.00,0.09,0.00,9.36,1.59,1.55,50.7,Matches
