,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
514,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,eng Premier League,30-029,1991,12.7,1.65,0.71,1.10,0.55,0.00,0.71,1.26,56.3,0.55,9.21,2.44,26.5,5.75,2.28,1.18,1.97,0.16,0.00,1.81,1.02,2.68,2.52,0.00,Matches
515,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,eng Premier League,28-068,1993,32.7,0.83,0.58,0.61,0.21,0.00,0.40,1.01,39.4,0.61,5.23,1.74,33.3,3.91,1.25,0.06,1.62,1.07,0.00,0.55,0.64,1.47,4.22,0.03,Matches
516,Marcus Coco\Marcus-Coco,fr FRA,MFFW,Nantes,fr Ligue 1,24-314,1996,15.8,2.53,1.84,1.08,0.82,0.63,0.82,1.96,41.9,1.14,19.4,5.32,27.5,5.38,9.30,4.68,1.14,0.13,0.00,1.01,0.95,3.48,0.95,0.00,Matches
517,Coke\Coke,es ESP,DF,Levante,es La Liga,34-008,1987,8.1,2.22,1.23,1.11,0.74,0.37,1.11,2.84,39.1,1.73,13.8,3.33,24.1,7.28,4.20,2.35,1.98,0.00,0.00,1.98,1.23,3.46,4.07,0.00,Matches
518,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,eng Premier League,32-205,1988,14.2,2.04,1.41,1.41,0.56,0.07,1.13,2.39,47.1,1.27,13.2,3.94,29.9,7.61,3.59,1.97,1.97,0.35,0.00,1.62,1.27,3.31,2.18,0.07,Matches
519,Ebrima Colley\Ebrima-Colley,gm GAM,FWMF,Hellas Verona,it Serie A,21-092,2000,7.5,0.93,0.53,0.00,0.93,0.00,0.53,1.20,44.4,0.67,15.7,4.67,29.7,3.47,6.27,6.00,1.07,0.00,0.00,1.07,0.27,1.20,0.13,0.00,Matches
520,Omar Colley\Omar-Colley,gm GAM,DF,Sampdoria,it Serie A,28-192,1992,25.8,1.28,0.78,0.78,0.43,0.08,0.27,0.62,43.8,0.35,8.14,2.95,36.2,4.84,3.10,0.19,1.74,1.09,0.08,0.66,1.86,3.14,6.24,0.08,Matches
521,Simone Colombi\Simone-Colombi,it ITA,GK,Parma,it Serie A,29-307,1991,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
522,Lorenzo Colombo\Lorenzo-Colombo,it ITA,FW,Milan,it Serie A,19-057,2002,1.0,2.00,2.00,1.00,1.00,0.00,0.00,2.00,0.0,2.00,32.0,6.00,18.8,5.00,20.0,7.00,0.00,0.00,0.00,0.00,1.00,3.00,2.00,0.00,Matches
523,Racine Coly\Racine-Coly,sn SEN,DF,Nice,fr Ligue 1,25-147,1995,0.2,5.00,5.00,5.00,0.00,0.00,0.00,5.00,0.0,5.00,20.0,15.0,75.0,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,Matches
524,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,24-325,1996,17.9,1.12,0.67,0.50,0.50,0.11,0.45,1.45,30.8,1.01,16.4,5.20,31.6,2.91,6.87,6.65,1.23,0.00,0.00,1.23,0.61,1.73,0.28,0.00,Matches
525,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,fr Ligue 1,36-029,1985,34.3,1.60,1.02,1.31,0.29,0.00,0.85,1.81,46.8,0.96,8.92,3.53,39.5,5.54,2.97,0.41,1.84,0.96,0.00,0.87,1.22,2.83,5.22,0.09,Matches
526,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,eng Premier League,21-096,2000,8.3,0.84,0.60,0.24,0.48,0.12,0.12,0.60,20.0,0.48,14.1,4.46,31.6,0.72,6.63,6.75,0.96,0.12,0.00,0.84,0.00,0.84,0.12,0.00,Matches
527,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,34-097,1987,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.27,0.03,11.1,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,Matches
528,Andrea Conti\Andrea-Conti,it ITA,DF,Milan,it Serie A,27-063,1994,0.3,3.33,3.33,3.33,0.00,0.00,0.00,0.00,,0.00,26.7,13.3,50.0,16.7,6.67,3.33,3.33,0.00,0.00,3.33,3.33,6.67,3.33,0.00,Matches
529,Andrea Conti\Andrea-Conti,it ITA,DF,Parma,it Serie A,27-063,1994,8.9,3.37,2.02,2.25,0.90,0.22,1.12,3.37,33.3,2.25,14.4,4.16,28.9,7.98,4.72,1.69,1.91,0.45,0.00,1.46,2.58,5.96,2.02,0.00,Matches
530,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,eng Premier League,29-247,1991,22.3,3.09,2.02,1.93,1.12,0.04,1.39,2.42,57.4,1.03,11.6,4.80,41.3,7.22,4.04,0.36,1.88,1.35,0.00,0.54,1.97,5.07,4.93,0.04,Matches
531,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Villarreal,es La Liga,29-356,1991,7.4,2.70,1.22,0.41,1.89,0.41,0.54,1.35,40.0,0.81,15.5,4.46,28.7,4.73,8.78,2.03,1.35,0.27,0.00,1.08,2.03,4.73,1.35,0.00,Matches
532,Sébastien Corchia\Sebastien-Corchia,fr FRA,DF,Nantes,fr Ligue 1,30-184,1990,20.0,2.15,1.05,1.15,0.60,0.40,0.95,2.05,46.3,1.10,11.4,3.95,34.5,4.25,5.05,2.15,2.00,0.40,0.00,1.60,1.00,3.15,3.35,0.00,Matches
533,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,38-123,1983,34.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.06,0.03,50.0,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,Matches
534,Iñigo Córdoba\Inigo-Cordoba,es ESP,FWMF,Athletic Club,es La Liga,24-052,1997,1.1,0.00,0.00,0.00,0.00,0.00,0.00,3.64,0.0,3.64,20.9,6.36,30.4,5.45,6.36,9.09,2.73,0.00,0.00,2.73,0.91,0.91,0.91,0.00,Matches
535,Iñigo Córdoba\Inigo-Cordoba,es ESP,MF,Alavés,es La Liga,24-052,1997,2.4,2.92,2.08,1.25,0.83,0.83,0.83,4.17,20.0,3.33,35.4,7.08,20.0,11.3,16.3,7.92,3.33,0.00,0.00,3.33,1.67,4.58,0.42,0.00,Matches
536,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Hertha BSC,de Bundesliga,27-358,1993,15.8,0.63,0.25,0.06,0.25,0.32,0.13,0.51,25.0,0.38,15.7,4.49,28.6,1.08,7.59,7.03,0.95,0.13,0.00,0.82,0.57,1.20,0.25,0.00,Matches
537,Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Arminia,de Bundesliga,23-268,1997,12.1,1.32,0.91,0.08,0.74,0.50,0.25,1.16,21.4,0.91,22.2,4.71,21.2,1.74,12.4,8.10,1.16,0.17,0.00,0.99,0.50,1.82,1.16,0.00,Matches
538,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,eng Premier League,31-313,1989,11.2,1.79,1.07,0.36,1.16,0.27,0.71,1.70,42.1,0.98,15.5,4.46,28.7,4.02,8.30,3.21,1.25,0.36,0.00,0.89,1.07,2.86,1.25,0.00,Matches
539,Andreas Cornelius\Andreas-Cornelius,dk DEN,FW,Parma,it Serie A,28-049,1993,18.2,0.38,0.22,0.05,0.11,0.22,0.05,0.55,10.0,0.49,13.5,3.35,24.8,1.10,5.11,7.31,0.55,0.11,0.00,0.44,0.05,0.44,1.48,0.05,Matches
540,Maxwel Cornet\Maxwel-Cornet,ci CIV,DFFW,Lyon,fr Ligue 1,24-219,1996,24.2,3.02,1.74,1.69,0.95,0.37,1.12,2.27,49.1,1.16,11.4,3.68,32.4,5.66,3.80,1.90,1.65,0.12,0.00,1.53,1.45,4.46,2.98,0.04,Matches
541,Ángel Correa\Angel-Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,26-056,1995,23.2,1.34,1.12,0.43,0.65,0.26,0.47,1.90,25.0,1.42,18.8,5.34,28.5,3.10,8.66,6.98,1.21,0.09,0.00,1.12,0.82,2.16,0.56,0.00,Matches
542,Joaquín Correa\Joaquin-Correa,ar ARG,FW,Lazio,it Serie A,26-264,1994,19.9,0.80,0.45,0.20,0.40,0.20,0.30,1.11,27.3,0.80,15.6,5.03,32.2,1.61,7.09,6.93,0.65,0.00,0.00,0.65,0.45,1.26,0.35,0.00,Matches
543,Rober Correa\Rober-Correa,es ESP,DF,Eibar,es La Liga,28-226,1992,9.0,1.56,1.11,1.00,0.56,0.00,0.89,1.44,61.5,0.56,10.4,3.67,35.1,4.44,4.11,1.89,2.00,0.00,0.00,2.00,1.67,3.22,5.22,0.00,Matches
544,Félix Correia\Felix-Correia,pt POR,MF,Juventus,it Serie A,20-102,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,70.0,0.00,0.0,20.0,30.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
545,Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,es La Liga,22-056,1999,20.2,2.57,1.44,1.93,0.40,0.25,1.09,1.88,57.9,0.79,14.7,4.31,29.3,8.17,4.36,2.18,1.93,0.25,0.00,1.68,1.39,3.96,3.76,0.05,Matches
546,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,37-173,1983,6.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.17,0.17,100.0,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,Matches
547,Danny da Costa\Danny-da-Costa,de GER,DF,Mainz 05,de Bundesliga,27-295,1993,11.0,1.82,0.73,0.64,0.55,0.64,0.73,2.00,36.4,1.27,14.8,3.64,24.5,6.00,5.45,3.36,1.45,0.09,0.00,1.36,1.18,3.00,3.09,0.00,Matches
548,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,de Bundesliga,27-295,1993,1.2,1.67,1.67,1.67,0.00,0.00,0.00,0.83,0.0,0.83,20.8,5.00,24.0,7.50,10.0,3.33,3.33,0.83,0.00,2.50,0.00,1.67,3.33,0.00,Matches
549,David Pereira da Costa\David-Pereira-da-Costa,pt POR,MFFW,Lens,fr Ligue 1,20-119,2001,1.6,3.75,3.13,1.25,2.50,0.00,2.50,2.50,100.0,0.00,18.1,7.50,41.4,6.25,10.0,1.88,1.25,0.00,0.00,1.25,0.00,3.75,1.25,0.00,Matches
550,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,es La Liga,32-209,1988,2.3,0.43,0.00,0.43,0.00,0.00,0.43,1.30,33.3,0.87,13.0,2.61,20.0,1.30,7.83,3.91,0.43,0.00,0.00,0.43,0.00,0.43,0.87,0.00,Matches
551,Douglas Costa\Douglas-Costa,br BRA,FWMF,Bayern Munich,de Bundesliga,30-232,1990,3.6,0.56,0.56,0.28,0.28,0.00,0.00,0.56,0.0,0.56,18.6,5.00,26.9,1.39,8.89,8.33,2.22,0.28,0.00,1.94,0.83,1.39,0.00,0.00,Matches
552,Douglas Costa\Douglas-Costa,br BRA,MFFW,Juventus,it Serie A,30-232,1990,0.5,2.00,0.00,2.00,0.00,0.00,2.00,6.00,33.3,4.00,16.0,2.00,12.5,2.00,8.00,6.00,0.00,0.00,0.00,0.00,2.00,4.00,0.00,0.00,Matches
553,Hélder Costa\Helder-Costa,pt POR,MFFW,Leeds United,eng Premier League,27-112,1994,12.8,2.34,1.17,1.09,0.55,0.70,0.70,2.58,27.3,1.88,20.7,5.63,27.2,7.27,7.97,5.47,1.48,0.00,0.00,1.48,0.47,2.81,0.63,0.00,Matches
554,Jaume Costa\Jaume-Costa,es ESP,DFMF,Villarreal,es La Liga,33-047,1988,3.8,2.89,0.79,1.58,1.32,0.00,1.32,2.11,62.5,0.79,10.3,3.95,38.5,2.37,5.79,2.11,2.37,0.26,0.00,2.11,2.11,5.00,3.16,0.00,Matches
555,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33-305,1987,35.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.0,0.06,0.17,0.03,16.7,0.17,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.06,0.00,Matches
556,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,eng Premier League,28-255,1992,29.9,2.47,1.34,1.87,0.54,0.07,1.47,2.84,51.8,1.37,13.2,3.61,27.4,7.26,3.91,2.01,2.27,0.17,0.00,2.11,1.17,3.65,3.85,0.03,Matches
557,Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,29-256,1991,8.6,0.47,0.35,0.00,0.12,0.35,0.12,0.47,25.0,0.35,6.51,1.51,23.2,0.00,2.79,3.72,0.47,0.23,0.00,0.23,0.35,0.81,1.05,0.00,Matches
558,Lassana Coulibaly\Lassana-Coulibaly,ml MLI,MFFW,Angers,fr Ligue 1,25-024,1996,18.7,4.33,2.99,1.87,1.87,0.59,1.28,3.58,35.8,2.30,25.0,8.40,33.5,8.93,13.3,2.83,1.50,0.32,0.00,1.18,1.93,6.26,2.19,0.05,Matches
559,Mamadou Coulibaly\Mamadou-Coulibaly,sn SEN,MF,Udinese,it Serie A,22-090,1999,2.0,5.00,3.50,2.00,3.00,0.00,0.00,1.00,0.0,1.00,18.0,3.00,16.7,4.00,12.0,2.00,1.50,0.50,0.00,1.00,0.50,5.50,0.00,0.00,Matches
560,Senou Coulibaly\Senou-Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,26-242,1994,19.5,1.44,1.03,1.13,0.26,0.05,0.36,1.18,30.4,0.82,9.79,2.92,29.8,6.00,3.28,0.51,1.59,0.56,0.00,1.03,1.95,3.38,4.92,0.05,Matches
561,Tanguy Coulibaly\Tanguy-Coulibaly,fr FRA,DFFW,Stuttgart,de Bundesliga,20-075,2001,16.3,2.33,1.23,1.10,0.49,0.74,0.80,1.72,46.4,0.92,21.2,5.58,26.4,5.46,8.04,7.67,1.53,0.00,0.00,1.53,0.43,2.76,0.74,0.00,Matches
562,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,28-358,1992,34.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.09,0.03,33.3,0.09,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.15,Matches
563,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Barcelona,es La Liga,28-326,1992,7.3,0.96,0.82,0.27,0.55,0.14,0.27,0.68,40.0,0.41,8.90,2.74,30.8,1.92,3.97,3.01,0.55,0.00,0.00,0.55,0.55,1.51,0.14,0.00,Matches
564,Nicolas Cozza\Nicolas-Cozza,fr FRA,DF,Montpellier,fr Ligue 1,22-116,1999,13.3,2.63,1.28,1.88,0.68,0.08,1.28,2.56,50.0,1.28,12.3,3.53,28.7,7.22,3.76,1.35,2.18,0.75,0.00,1.43,1.35,3.98,3.46,0.00,Matches
565,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,26-310,1994,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.0,0.10,0.20,0.03,16.7,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,Matches
566,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,eng Premier League,31-140,1989,31.6,0.92,0.38,0.47,0.38,0.06,0.44,0.98,45.2,0.54,6.33,1.87,29.5,3.54,2.31,0.47,1.39,0.38,0.00,1.01,0.95,1.87,2.82,0.00,Matches
567,Domenico Criscito\Domenico-Criscito,it ITA,DF,Genoa,it Serie A,34-125,1986,19.2,2.24,1.41,1.61,0.47,0.16,0.52,1.46,35.7,0.94,12.5,3.80,30.4,6.88,4.95,0.68,1.41,0.73,0.00,0.68,1.82,4.06,3.91,0.05,Matches
568,Bryan Cristante\Bryan-Cristante,it ITA,DFMF,Roma,it Serie A,26-062,1995,20.2,1.63,1.29,0.69,0.79,0.15,0.25,1.04,23.8,0.79,14.2,4.11,28.9,5.89,6.29,2.03,1.29,0.45,0.00,0.84,1.49,3.12,3.17,0.10,Matches
569,Giovanni Crociata\Giovanni-Crociata,it ITA,DFMF,Crotone,it Serie A,23-266,1997,0.3,6.67,3.33,3.33,3.33,0.00,3.33,3.33,100.0,0.00,40.0,3.33,8.3,10.0,23.3,6.67,3.33,0.00,0.00,3.33,0.00,6.67,0.00,0.00,Matches
570,Juan Cruz Armada\Juan-Cruz-Armada,es ESP,DF,Osasuna,es La Liga,28-280,1992,20.0,1.65,0.85,0.80,0.75,0.10,0.90,1.55,58.1,0.65,10.3,3.00,29.0,4.55,4.25,1.55,2.15,0.25,0.05,1.90,0.40,2.05,2.60,0.05,Matches
571,Juan Cuadrado\Juan-Cuadrado,co COL,DFMF,Juventus,it Serie A,32-343,1988,21.1,1.94,1.00,1.14,0.57,0.24,0.62,1.66,37.1,1.04,12.2,3.70,30.2,5.69,3.98,2.56,1.42,0.05,0.00,1.37,1.00,2.94,0.90,0.00,Matches
572,Adrián Cubas\Adrian-Cubas,py PAR,MF,Nîmes,fr Ligue 1,24-347,1996,22.0,3.27,2.45,1.32,1.55,0.41,1.36,3.41,40.0,2.05,23.5,8.82,37.5,10.1,11.4,2.00,1.73,0.41,0.00,1.32,2.05,5.32,1.27,0.05,Matches
573,Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,es ESP,MF,Eibar,es La Liga,21-241,1999,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,0,0,0,Matches
574,Cucho\Cucho,co COL,FWMF,Getafe,es La Liga,22-014,1999,15.8,1.20,0.63,0.06,0.95,0.19,0.06,1.20,5.3,1.14,19.4,4.62,23.9,1.84,10.4,7.09,1.14,0.06,0.00,1.08,0.32,1.52,0.44,0.00,Matches
575,Marc Cucurella\Marc-Cucurella,es ESP,MF,Getafe,es La Liga,22-286,1998,32.3,2.11,1.42,0.74,1.15,0.22,0.65,1.70,38.2,1.05,20.9,6.44,30.9,5.42,10.6,4.86,1.95,0.12,0.00,1.83,1.42,3.53,1.18,0.00,Matches
576,Mickaël Cuisance\Mickael-Cuisance,fr FRA,FW,Bayern Munich,de Bundesliga,21-261,1999,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20.0,5.00,25.0,0.00,5.00,15.0,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,Matches
577,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,Marseille,fr Ligue 1,21-261,1999,11.4,2.28,1.49,0.79,1.05,0.44,0.61,2.72,22.6,2.11,26.7,6.84,25.7,6.58,13.6,6.49,1.23,0.00,0.00,1.23,0.61,2.89,0.70,0.00,Matches
578,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,Hertha BSC,de Bundesliga,21-342,1999,22.9,1.66,1.27,0.44,0.92,0.31,0.52,2.18,24.0,1.66,20.2,5.59,27.7,5.11,8.47,6.59,1.53,0.13,0.00,1.40,1.53,3.19,0.26,0.00,Matches
579,Giuseppe Cuomo\Giuseppe-Cuomo,it ITA,DF,Crotone,it Serie A,23-091,1998,7.7,3.12,1.69,2.08,1.04,0.00,1.43,2.47,57.9,1.04,14.7,5.58,38.1,8.18,5.58,0.91,1.82,0.52,0.00,1.30,1.69,4.81,3.25,0.00,Matches
580,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Fiorentina,it Serie A,23-121,1998,2.2,1.36,0.91,0.91,0.45,0.00,0.00,1.82,0.0,1.82,28.6,5.00,17.5,5.00,13.6,10.0,1.36,0.00,0.00,1.36,0.00,1.36,0.00,0.00,Matches
581,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,eng Premier League,23-121,1998,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,23.3,6.67,28.6,6.67,3.33,13.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
582,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Valencia,es La Liga,23-121,1998,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,23.3,5.00,21.4,2.50,9.17,11.7,0.00,0.00,0.00,0.00,0.83,0.83,0.00,0.00,Matches
583,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Parma,it Serie A,26-096,1995,4.6,2.17,1.30,1.52,0.65,0.00,0.43,1.30,33.3,0.87,15.0,3.91,26.1,7.17,6.52,1.30,2.83,1.30,0.00,1.52,0.65,2.83,2.39,0.43,Matches
584,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,de Bundesliga,30-355,1990,22.1,2.44,1.49,1.58,0.81,0.05,0.77,1.58,48.6,0.81,10.6,4.30,40.6,6.43,3.94,0.23,1.81,0.45,0.00,1.36,1.54,3.98,5.66,0.00,Matches
585,Lennart-Marten Czyborra\Lennart-Marten-Czyborra,de GER,DF,Genoa,it Serie A,22-001,1999,13.0,1.15,0.54,0.46,0.38,0.31,0.54,1.46,36.8,0.92,12.4,3.00,24.2,5.38,4.54,2.46,1.92,0.23,0.00,1.69,0.92,2.08,2.54,0.00,Matches
586,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,Inter,it Serie A,32-237,1988,4.8,2.71,1.88,1.04,1.25,0.42,1.25,2.71,46.2,1.46,16.0,6.46,40.3,5.21,8.75,2.08,1.25,0.21,0.00,1.04,0.83,3.54,1.67,0.00,Matches
587,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,fr Ligue 1,32-352,1988,27.6,1.01,0.65,0.65,0.29,0.07,0.40,0.80,50.0,0.40,5.65,2.32,41.0,3.01,2.46,0.18,0.98,0.54,0.04,0.43,1.34,2.36,5.07,0.04,Matches
588,Bryan Dabo\Bryan-Dabo,bf BFA,MF,Benevento,it Serie A,29-075,1992,10.0,1.50,0.80,0.90,0.40,0.20,0.60,1.70,35.3,1.10,15.5,4.40,28.4,5.00,8.20,2.30,1.20,0.20,0.00,1.00,1.30,2.80,1.50,0.00,Matches
589,Moanes Dabour\Moanes-Dabour,il ISR,FW,Hoffenheim,de Bundesliga,28-355,1992,11.1,1.08,0.72,0.45,0.36,0.27,0.36,1.35,26.7,0.99,16.9,5.41,31.9,1.89,8.20,6.85,0.90,0.09,0.00,0.81,0.54,1.62,0.45,0.00,Matches
590,Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,22-237,1998,12.3,1.79,0.89,0.41,0.98,0.41,0.73,1.71,42.9,0.98,14.0,4.55,32.6,4.15,6.02,3.82,2.03,0.33,0.08,1.71,0.73,2.52,1.79,0.00,Matches
591,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,de Bundesliga,23-038,1998,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
592,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,de Bundesliga,25-123,1996,11.8,2.54,1.61,0.93,1.27,0.34,0.68,2.63,25.8,1.95,20.9,5.85,27.9,5.59,12.1,3.22,2.20,0.51,0.00,1.69,1.53,4.07,0.93,0.00,Matches
593,Leon Dajaku\Leon-Dajaku,de GER,FW,Union Berlin,de Bundesliga,20-022,2001,0.4,2.50,2.50,0.00,2.50,0.00,0.00,0.00,,0.00,17.5,2.50,14.3,0.00,17.5,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,Matches
594,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,eng Premier League,30-015,1991,33.9,2.18,1.39,1.30,0.77,0.12,0.83,2.68,30.8,1.86,15.4,5.13,33.3,5.90,7.37,2.15,1.50,0.09,0.00,1.42,1.56,3.75,1.42,0.03,Matches
595,Diogo Dalot\Diogo-Dalot,pt POR,DF,Milan,it Serie A,22-047,1999,11.3,2.74,1.42,1.95,0.71,0.09,1.50,2.65,56.7,1.15,14.6,3.19,21.8,7.96,4.87,1.77,2.39,0.44,0.00,1.95,1.50,4.25,4.42,0.00,Matches
596,Mikkel Damsgaard\Mikkel-Damsgaard,dk DEN,MFFW,Sampdoria,it Serie A,20-305,2000,18.9,2.59,1.48,0.90,1.27,0.42,0.85,3.70,22.9,2.86,28.9,7.57,26.1,6.72,14.0,8.25,2.22,0.21,0.00,2.01,1.38,3.97,0.69,0.00,Matches
597,Flavius Daniliuc\Flavius-Daniliuc,at AUT,DF,Nice,fr Ligue 1,20-007,2001,15.3,1.76,0.78,1.11,0.46,0.20,0.92,1.44,63.6,0.52,9.48,2.61,27.6,5.16,3.27,1.05,1.24,0.39,0.00,0.85,1.11,2.88,2.94,0.07,Matches
598,Danilo\Danilo,br BRA,DF,Juventus,it Serie A,29-293,1991,29.7,1.85,1.14,1.21,0.44,0.20,0.74,1.85,40.0,1.11,7.51,2.53,33.6,4.11,2.63,0.77,1.65,0.34,0.00,1.31,1.35,3.20,2.49,0.00,Matches
599,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,eng Premier League,34-079,1987,14.0,0.71,0.50,0.64,0.07,0.00,0.21,0.86,25.0,0.64,4.00,1.14,28.6,2.71,1.21,0.07,1.64,1.00,0.00,0.64,0.50,1.21,4.71,0.07,Matches
600,Tiago Dantas\Tiago-Dantas,pt POR,MF,Bayern Munich,de Bundesliga,20-131,2000,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,12.5,2.50,20.0,6.25,5.00,1.25,0.00,0.00,0.00,0.00,1.25,1.25,0.00,0.00,Matches
601,Dante\Dante,br BRA,DF,Nice,fr Ligue 1,37-198,1983,8.6,0.93,0.81,0.58,0.35,0.00,0.35,1.05,33.3,0.70,6.16,2.33,37.7,3.37,2.67,0.12,0.70,0.47,0.00,0.23,0.23,1.16,3.72,0.00,Matches
602,Andrea Danzi\Andrea-Danzi,it ITA,MFDF,Hellas Verona,it Serie A,22-068,1999,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.0,0.83,4.17,1.67,40.0,1.67,2.50,0.00,0.83,0.83,0.00,0.00,0.83,0.83,1.67,0.00,Matches
603,Ebrima Darboe\Ebrima-Darboe,gm GAM,MF,Roma,it Serie A,19-332,2001,0.1,10.0,0.00,10.0,0.00,0.00,0.00,0.00,,0.00,20.0,0.00,0.0,0.00,20.0,0.00,0.00,0.00,0.00,0.00,10.0,20.0,0.00,0.00,Matches
604,Márton Dárdai\Marton-Dardai,de GER,DF,Hertha BSC,de Bundesliga,19-081,2002,7.1,1.83,1.27,1.55,0.28,0.00,0.70,1.41,50.0,0.70,8.59,2.68,31.1,5.35,2.82,0.42,1.41,0.28,0.00,1.13,1.69,3.52,4.65,0.00,Matches
605,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,de Bundesliga,30-269,1990,18.5,1.95,1.24,0.86,0.81,0.27,0.49,1.84,26.5,1.35,18.5,5.89,31.9,4.49,10.1,3.89,1.78,0.11,0.00,1.68,1.46,3.41,1.19,0.00,Matches
