,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
837,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,eng Premier League,24,1994,13.2,46.1,64.6,71.3,886.2,244.9,21.6,25.7,84.1,16.7,21.5,77.5,7.35,14.5,50.5,0.53,0.19,0.34,2.58,5.45,1.74,0.15,6.06,Matches
838,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MFDF,Mainz 05,de Bundesliga,23,1996,16.5,37.2,43.8,84.9,751.5,209.3,15.1,16.8,89.9,15.5,17.8,87.0,6.00,8.06,74.4,0.00,0.04,-0.04,0.48,3.82,0.42,0.06,3.94,Matches
839,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,eng Premier League,20,1999,0.8,50.0,63.8,78.4,720.0,211.3,27.5,31.3,88.0,17.5,23.8,73.7,1.25,2.50,50.0,0.00,0.25,-0.25,2.50,1.25,3.75,1.25,6.25,Matches
840,Gelson Fernandes\Gelson-Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,32,1986,8.6,24.2,29.5,81.9,427.1,123.0,11.4,13.1,86.7,9.88,11.7,84.2,2.56,3.60,71.0,0.00,0.00,0.00,0.12,1.40,0.12,0.12,1.98,Matches
841,Matheus Fernandes\Matheus-Fernandes,br BRA,MF,Valladolid,es La Liga,21,1998,1.8,23.9,34.4,69.4,390.0,95.0,11.1,13.9,80.0,10.6,15.0,70.4,2.22,3.89,57.1,0.00,0.00,0.00,0.56,1.11,0.00,0.00,1.67,Matches
842,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,28,1991,36.0,20.9,31.1,67.2,651.7,423.7,3.81,3.81,100.0,7.97,8.08,98.6,8.81,18.9,46.6,0.00,0.01,-0.01,0.03,0.28,0.00,0.00,0.00,Matches
843,Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,es La Liga,32,1986,4.0,29.8,38.0,78.3,777.8,410.0,5.50,5.50,100.0,16.0,16.3,98.5,8.00,16.0,50.0,0.25,0.07,0.17,0.25,0.25,0.00,0.00,0.00,Matches
844,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Granada,es La Liga,23,1996,24.5,15.6,25.6,60.8,242.7,58.4,9.10,12.7,71.5,4.82,8.24,58.4,1.14,2.53,45.2,0.12,0.07,0.05,0.69,1.27,0.33,0.08,1.47,Matches
845,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,eng Premier League,30,1989,29.1,31.2,40.7,76.6,690.6,275.8,9.42,10.8,87.5,14.7,17.5,83.9,6.60,11.1,59.3,0.07,0.01,0.06,0.10,1.44,0.24,0.14,1.10,Matches
846,Gabriel Fernández\Gabriel-Fernandez,uy URU,FWMF,Celta Vigo,es La Liga,25,1994,6.2,13.5,19.8,68.3,209.4,42.6,6.94,9.03,76.8,4.19,6.45,65.0,1.29,2.10,61.5,0.16,0.05,0.11,0.32,1.29,0.32,0.00,1.13,Matches
847,Joaquín Fernández\Joaquin-Fernandez,es ESP,MFDF,Valladolid,es La Liga,23,1996,18.4,33.1,40.7,81.4,703.7,170.2,10.7,12.0,89.1,15.5,17.8,87.5,6.20,9.73,63.7,0.00,0.01,-0.01,0.22,2.39,0.22,0.00,2.55,Matches
848,Fernandinho\Fernandinho,br BRA,DF,Manchester City,eng Premier League,34,1985,26.6,74.6,82.3,90.6,1662.4,534.7,19.7,21.3,92.2,40.5,42.9,94.5,14.0,17.1,81.9,0.04,0.02,0.02,0.26,8.50,0.41,0.04,6.20,Matches
849,Fernando\Fernando,br BRA,MF,Sevilla,es La Liga,32,1987,29.5,46.8,52.1,89.8,999.9,227.1,14.9,16.2,91.8,21.8,23.7,91.8,9.19,10.8,85.0,0.10,0.02,0.08,0.37,2.95,0.24,0.10,2.31,Matches
850,Juan Ferney Otero\Juan-Ferney-Otero,co COL,FWMF,Amiens,fr Ligue 1,24,1995,13.4,18.0,27.0,66.6,274.9,88.7,9.78,12.2,80.4,6.34,9.48,66.9,1.27,3.28,38.6,0.15,0.15,0.00,0.75,1.34,0.90,0.30,2.16,Matches
851,Alex Ferrari\Alex-Ferrari,it ITA,DF,Sampdoria,it Serie A,25,1994,11.2,30.6,37.9,80.7,712.9,208.5,7.05,7.86,89.8,15.9,17.1,93.2,7.05,12.0,59.0,0.00,0.00,0.00,0.00,1.88,0.18,0.00,1.70,Matches
852,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Espanyol,es La Liga,28,1991,6.4,11.6,17.7,65.5,156.9,35.0,7.66,10.2,75.4,2.50,4.22,59.3,0.63,0.94,66.7,0.00,0.06,-0.06,0.78,0.47,0.47,0.00,1.09,Matches
853,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Montpellier,fr Ligue 1,27,1992,12.8,47.1,57.8,81.5,927.0,259.8,18.6,20.8,89.5,20.9,24.3,86.2,6.88,10.3,66.7,0.00,0.06,-0.06,1.48,5.39,0.94,0.23,6.02,Matches
854,Oliver Fink\Oliver-Fink,de GER,MFFW,Düsseldorf,de Bundesliga,37,1982,7.5,21.3,35.5,60.2,342.4,140.1,11.1,16.1,68.6,7.73,11.3,68.2,1.47,4.80,30.6,0.13,0.03,0.11,1.20,2.80,1.20,0.53,4.13,Matches
855,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,de Bundesliga,30,1989,10.7,13.7,22.6,60.7,201.6,46.3,8.04,11.6,69.4,3.46,5.33,64.9,1.21,2.99,40.6,0.09,0.19,-0.09,1.78,0.65,0.65,0.00,1.59,Matches
856,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,eng Premier League,27,1991,33.2,28.0,35.3,79.5,431.8,108.1,15.2,18.2,83.7,9.64,11.6,82.9,1.93,2.44,79.0,0.24,0.19,0.05,1.48,2.08,1.05,0.00,3.10,Matches
857,Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,es La Liga,22,1996,11.3,66.3,73.8,89.8,1014.7,268.8,35.3,38.1,92.8,26.8,29.0,92.4,2.57,3.81,67.4,0.09,0.06,0.03,0.97,4.25,0.80,0.09,3.63,Matches
858,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,eng Premier League,27,1991,28.0,30.5,41.6,73.4,543.1,177.4,14.4,16.8,85.9,10.9,13.2,82.4,4.11,8.79,46.7,0.07,0.12,-0.05,1.36,3.25,1.14,0.25,3.43,Matches
859,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,de Bundesliga,26,1993,10.0,30.5,43.5,70.1,1009.2,611.8,3.60,3.70,97.3,14.0,14.0,100.0,12.9,25.7,50.2,0.00,0.00,0.00,0.00,0.90,0.10,0.00,0.00,Matches
860,Sergio Floccari\Sergio-Floccari,it ITA,FW,SPAL,it Serie A,37,1981,10.5,19.6,24.9,78.9,300.5,36.5,11.9,13.5,88.0,5.33,6.86,77.8,1.62,2.48,65.4,0.00,0.09,-0.09,0.95,1.33,0.76,0.19,1.24,Matches
861,Alessandro Florenzi\Alessandro-Florenzi,it ITA,DF,Valencia,es La Liga,28,1991,8.4,42.9,56.8,75.5,849.0,283.2,17.6,20.1,87.6,17.0,20.8,81.7,7.02,13.2,53.2,0.00,0.08,-0.08,0.36,2.50,1.31,0.60,4.64,Matches
862,Alessandro Florenzi\Alessandro-Florenzi,it ITA,DFFW,Roma,it Serie A,28,1991,11.1,49.7,60.8,81.8,980.0,396.8,21.3,23.7,89.7,20.0,22.7,88.1,8.20,12.6,65.0,0.09,0.18,-0.09,1.17,4.41,1.26,0.36,6.49,Matches
863,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,eng Premier League,19,2000,10.0,43.1,50.8,84.8,692.2,135.7,25.7,28.2,91.1,12.7,14.7,86.4,3.70,5.60,66.1,0.20,0.20,0.00,1.80,2.80,1.30,0.20,3.20,Matches
864,Mamadou Fofana\Mamadou-Fofana,ml MLI,DFMF,Metz,fr Ligue 1,21,1998,17.6,36.6,41.9,87.4,746.0,214.3,12.7,13.6,92.9,17.5,19.1,91.7,6.14,8.64,71.1,0.00,0.01,-0.01,0.23,1.36,0.06,0.00,1.65,Matches
865,Seko Fofana\Seko-Fofana,ci CIV,MF,Udinese,it Serie A,24,1995,25.0,37.8,43.1,87.6,689.8,133.6,17.2,19.0,90.7,14.9,16.2,92.1,4.84,6.04,80.1,0.28,0.18,0.10,2.08,2.64,0.96,0.12,3.24,Matches
866,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2000,13.5,39.7,47.6,83.5,805.8,237.6,12.1,13.8,87.6,22.1,24.5,90.0,4.96,8.07,61.5,0.00,0.01,-0.01,0.15,1.93,0.00,0.00,2.22,Matches
867,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Monaco,fr Ligue 1,20,1999,6.8,45.0,52.5,85.7,896.5,221.8,16.9,19.1,88.5,19.6,20.6,95.0,8.09,10.6,76.4,0.29,0.09,0.21,0.74,4.41,0.74,0.15,4.71,Matches
868,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Strasbourg,fr Ligue 1,20,1999,11.2,34.0,39.6,86.0,635.4,157.3,15.4,17.5,88.3,13.1,14.5,90.7,4.91,6.07,80.9,0.00,0.04,-0.04,0.71,3.48,0.45,0.09,3.75,Matches
869,Thomas Foket\Thomas-Foket,be BEL,DF,Reims,fr Ligue 1,24,1994,27.0,39.0,48.4,80.6,724.3,238.0,16.6,18.8,88.4,17.0,19.9,85.5,4.74,7.63,62.1,0.04,0.06,-0.02,0.89,2.04,0.93,0.48,3.04,Matches
870,Lamine Fomba\Lamine-Fomba,fr FRA,MF,Nîmes,fr Ligue 1,21,1998,15.3,19.7,28.0,70.3,335.8,74.0,9.54,12.5,76.0,7.65,10.4,73.6,1.90,3.07,61.7,0.00,0.03,-0.03,0.46,1.31,0.26,0.00,1.96,Matches
871,José Fonte\Jose-Fonte,pt POR,DF,Lille,fr Ligue 1,35,1983,24.5,51.2,57.9,88.4,1124.8,306.4,13.5,14.6,92.2,28.0,29.9,93.7,9.35,12.7,73.9,0.04,0.02,0.02,0.20,2.37,0.12,0.00,2.45,Matches
872,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,eng Premier League,23,1996,24.1,28.2,37.2,75.8,455.0,125.5,15.6,17.7,88.3,8.51,11.3,75.4,2.90,5.15,56.5,0.21,0.09,0.12,0.75,2.03,1.12,0.25,2.70,Matches
873,Emil Forsberg\Emil-Forsberg,se SWE,MFFW,RB Leipzig,de Bundesliga,27,1991,12.7,33.8,42.4,79.7,552.9,162.6,17.6,19.8,88.8,11.7,13.4,87.1,3.23,5.75,56.2,0.16,0.21,-0.06,2.20,3.31,0.71,0.08,4.02,Matches
874,Hernâni Fortes\Hernani-Fortes,pt POR,MFFW,Levante,es La Liga,27,1991,7.3,12.5,23.4,53.2,233.7,90.0,5.75,7.40,77.8,4.38,8.49,51.6,2.05,5.62,36.6,0.00,0.22,-0.22,1.51,0.55,1.23,0.96,1.23,Matches
875,Ben Foster\Ben-Foster,eng ENG,GK,Watford,eng Premier League,36,1983,38.0,14.0,31.6,44.4,653.2,531.6,0.79,0.79,100.0,3.26,3.39,96.1,9.95,27.4,36.3,0.00,0.00,0.00,0.00,0.79,0.05,0.00,0.00,Matches
876,Lyle Foster\Lyle-Foster,za RSA,FW,Monaco,fr Ligue 1,18,2000,0.7,15.7,20.0,78.6,201.4,18.6,10.0,12.9,77.8,5.71,7.14,80.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
877,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,eng Premier League,21,1998,1.5,41.3,48.7,84.9,717.3,202.0,18.7,20.7,90.3,17.3,20.7,83.9,4.00,4.67,85.7,0.00,0.07,-0.07,1.33,1.33,0.00,0.00,3.33,Matches
878,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,eng Premier League,26,1993,0.7,14.3,18.6,76.9,245.7,90.0,4.29,4.29,100.0,8.57,10.0,85.7,0.00,1.43,0.0,0.00,0.00,0.00,1.43,1.43,0.00,0.00,2.86,Matches
879,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,es La Liga,26,1993,12.4,22.7,33.3,68.0,387.8,163.7,9.92,12.5,79.4,10.6,13.9,76.7,1.45,4.27,34.0,0.00,0.01,-0.01,0.32,1.53,0.48,0.32,2.42,Matches
880,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,eng Premier League,21,1998,0.8,66.3,75.0,88.3,1283.8,426.3,26.3,28.8,91.3,32.5,33.8,96.3,7.50,12.5,60.0,0.00,0.00,0.00,1.25,3.75,0.00,0.00,5.00,Matches
881,Gianluca Frabotta\Gianluca-Frabotta,it ITA,DF,Juventus,it Serie A,20,1999,1.0,53.0,61.0,86.9,899.0,354.0,24.0,24.0,100.0,26.0,29.0,89.7,3.00,7.00,42.9,0.00,0.00,0.00,0.00,4.00,2.00,0.00,7.00,Matches
882,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,de Bundesliga,23,1995,13.1,25.6,38.7,66.3,471.7,282.2,11.2,13.7,81.7,10.8,15.1,71.7,2.90,7.18,40.4,0.15,0.05,0.10,0.38,3.05,0.92,0.31,3.59,Matches
883,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,eng Premier League,34,1985,10.8,39.4,50.4,78.1,827.9,315.9,13.1,15.3,86.1,19.7,22.6,87.3,6.39,11.8,54.3,0.00,0.03,-0.03,0.37,2.41,0.46,0.37,2.50,Matches
884,Mike Frantz\Mike-Frantz,de GER,MFDF,Freiburg,de Bundesliga,32,1986,3.9,24.9,34.1,72.9,442.8,133.1,11.5,14.4,80.4,9.74,12.6,77.6,2.56,5.38,47.6,0.26,0.18,0.08,1.79,2.31,0.77,0.77,1.79,Matches
885,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,eng Premier League,25,1994,23.0,28.2,41.3,68.2,481.5,186.4,13.9,16.4,84.9,10.6,14.6,72.6,3.00,8.00,37.5,0.17,0.18,-0.00,1.87,2.39,1.78,0.30,4.65,Matches
886,Fred\Fred,br BRA,MF,Manchester Utd,eng Premier League,26,1993,24.0,61.0,71.4,85.4,1226.5,302.9,23.3,25.7,90.6,26.2,28.7,91.3,10.5,14.7,71.7,0.00,0.10,-0.10,1.54,6.46,0.63,0.13,5.46,Matches
887,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,eng Premier League,26,1992,24.9,31.9,44.0,72.5,514.9,217.5,16.6,19.3,86.3,11.8,16.3,72.5,2.53,5.66,44.7,0.12,0.10,0.02,1.00,1.77,1.00,0.60,2.29,Matches
888,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,eng Premier League,27,1992,0.1,20.0,20.0,100.0,280.0,60.0,10.0,10.0,100.0,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
889,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,eng Premier League,27,1992,4.1,26.8,36.6,73.3,385.9,118.0,18.3,21.5,85.2,5.12,7.07,72.4,2.44,4.63,52.6,0.00,0.07,-0.07,0.73,1.95,0.98,0.73,1.95,Matches
890,Remo Freuler\Remo-Freuler,ch SUI,MF,Atalanta,it Serie A,27,1992,26.0,56.3,64.1,87.9,959.3,243.7,25.3,27.4,92.6,25.6,28.3,90.6,4.04,5.88,68.6,0.08,0.10,-0.02,1.04,4.92,1.08,0.08,5.23,Matches
891,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,de Bundesliga,21,1998,24.3,40.7,53.2,76.5,834.8,274.4,14.7,16.9,87.1,19.5,23.0,85.0,6.13,11.5,53.4,0.12,0.08,0.05,0.91,2.63,1.03,0.53,3.37,Matches
892,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,de Bundesliga,23,1995,31.0,29.6,37.7,78.5,700.9,287.5,7.55,8.39,90.0,14.3,16.2,88.2,7.42,12.2,60.7,0.00,0.02,-0.02,0.10,3.13,0.16,0.06,2.90,Matches
893,Samúel Friðjónsson\Samuel-Fridjonsson,is ISL,MF,Paderborn 07,de Bundesliga,23,1996,2.1,41.4,49.0,84.5,767.6,151.4,17.6,19.5,90.2,17.6,20.0,88.1,6.19,9.05,68.4,0.00,0.00,0.00,0.00,0.95,0.00,0.00,2.38,Matches
894,Jorge de Frutos\Jorge-de-Frutos,es ESP,MFFW,Valladolid,es La Liga,22,1997,0.7,21.4,24.3,88.2,284.3,80.0,14.3,15.7,90.9,7.14,7.14,100.0,0.00,0.00,,0.00,0.14,-0.14,1.43,0.00,1.43,1.43,1.43,Matches
895,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,eng Premier League,33,1986,8.6,59.3,73.3,81.0,1151.6,433.4,23.3,25.8,90.1,27.1,29.8,91.0,8.26,15.7,52.6,0.00,0.01,-0.01,0.23,4.77,0.58,0.12,4.07,Matches
896,Angelo Fulgini\Angelo-Fulgini,fr FRA,MF,Angers,fr Ligue 1,22,1996,17.5,42.3,53.1,79.7,715.0,216.6,22.5,25.5,88.1,14.7,17.2,85.4,4.11,7.43,55.4,0.06,0.11,-0.06,1.66,4.11,1.43,0.34,4.74,Matches
897,Niclas Füllkrug\Niclas-Fullkrug,de GER,FW,Werder Bremen,de Bundesliga,26,1993,4.5,17.6,26.0,67.5,276.9,35.8,9.56,13.1,72.9,5.33,8.44,63.2,1.78,2.00,88.9,0.22,0.20,0.02,0.89,0.44,1.56,0.22,1.33,Matches
898,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Villarreal,es La Liga,28,1991,5.0,44.8,54.0,83.0,1042.6,296.8,12.0,13.6,88.2,22.0,24.0,91.7,10.6,15.4,68.8,0.00,0.00,0.00,0.20,2.20,0.00,0.00,2.20,Matches
899,Daniel Fuzato\Daniel-Fuzato,br BRA,GK,Roma,it Serie A,22,1997,1.0,30.0,44.0,68.2,752.0,353.0,7.00,7.00,100.0,13.0,13.0,100.0,10.0,24.0,41.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
900,Matteo Gabbia\Matteo-Gabbia,it ITA,DF,Milan,it Serie A,19,1999,7.6,50.8,57.0,89.1,1127.9,347.9,12.2,12.5,97.9,28.7,30.3,94.8,9.34,12.8,73.2,0.00,0.00,0.00,0.00,1.84,0.00,0.00,2.11,Matches
901,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FW,Sampdoria,it Serie A,27,1991,22.6,16.7,25.7,64.9,251.6,65.0,10.3,13.1,78.6,4.12,6.59,62.4,1.64,3.89,42.0,0.04,0.12,-0.08,1.50,0.84,0.58,0.09,1.50,Matches
902,Gabriel\Gabriel,br BRA,GK,Lecce,it Serie A,26,1992,33.3,22.6,29.4,76.7,590.2,369.3,7.09,7.12,99.6,8.14,8.32,97.8,7.03,13.6,51.5,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,Matches
903,Ruben Gabrielsen\Ruben-Gabrielsen,no NOR,DF,Toulouse,fr Ligue 1,27,1992,7.3,32.1,38.1,84.2,656.4,254.7,10.7,11.6,91.8,15.2,16.2,94.1,5.62,9.45,59.4,0.00,0.00,0.00,0.14,1.10,0.14,0.00,1.10,Matches
904,Mijat Gaćinović\Mijat-Gacinovic,rs SRB,MFFW,Eint Frankfurt,de Bundesliga,24,1995,11.6,22.4,31.8,70.5,408.5,99.7,10.1,13.1,77.0,8.19,11.1,73.6,3.10,4.40,70.6,0.09,0.10,-0.02,1.12,2.50,0.78,0.17,2.50,Matches
905,Luca Gagliano\Luca-Gagliano,it ITA,FW,Cagliari,it Serie A,19,2000,0.6,15.0,20.0,75.0,345.0,73.3,5.00,6.67,75.0,6.67,10.0,66.7,3.33,3.33,100.0,1.67,0.00,1.67,1.67,1.67,0.00,0.00,3.33,Matches
906,Roberto Gagliardini\Roberto-Gagliardini,it ITA,MF,Inter,it Serie A,25,1994,20.0,39.9,46.9,85.2,716.0,204.1,18.3,20.3,89.9,17.1,19.6,87.2,3.85,5.30,72.6,0.10,0.06,0.04,0.95,4.30,1.20,0.20,5.55,Matches
907,Riccardo Gagliolo\Riccardo-Gagliolo,se SWE,DF,Parma,it Serie A,29,1990,28.9,35.3,47.0,75.2,752.2,336.0,11.3,12.6,89.3,17.1,21.7,78.8,6.61,11.2,58.8,0.07,0.08,-0.01,0.80,3.29,0.80,0.31,4.53,Matches
908,Nicolás Gaitán\Nicolas-Gaitan,ar ARG,MFFW,Lille,fr Ligue 1,31,1988,0.6,28.3,46.7,60.7,510.0,73.3,15.0,21.7,69.2,8.33,10.0,83.3,5.00,11.7,42.9,0.00,0.00,0.00,1.67,1.67,0.00,0.00,0.00,Matches
909,Marvin Gakpa\Marvin-Gakpa,fr FRA,MFFW,Metz,fr Ligue 1,25,1993,5.2,36.5,49.4,73.9,725.4,165.0,14.2,17.5,81.3,16.2,19.2,84.0,5.58,11.5,48.3,0.00,0.12,-0.12,1.73,5.38,0.38,0.19,4.23,Matches
910,Enric Gallego\Enric-Gallego,es ESP,FW,Osasuna,es La Liga,32,1986,9.8,15.1,26.3,57.4,202.6,41.9,9.90,13.8,71.9,3.88,8.88,43.7,0.51,2.04,25.0,0.00,0.08,-0.08,0.92,0.71,0.41,0.00,1.84,Matches
911,Enric Gallego\Enric-Gallego,es ESP,FW,Getafe,es La Liga,32,1986,1.8,14.4,26.7,54.2,196.1,56.7,7.22,12.8,56.5,4.44,7.22,61.5,1.11,2.22,50.0,0.00,0.00,0.00,0.00,1.11,0.56,0.00,1.67,Matches
912,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,es La Liga,32,1987,17.6,18.8,24.8,75.9,266.8,32.0,11.5,13.7,83.5,5.80,7.33,79.1,0.85,1.65,51.7,0.11,0.17,-0.06,0.85,0.68,0.68,0.00,1.31,Matches
913,Fran Gámez\Fran-Gamez,es ESP,DF,Mallorca,es La Liga,28,1991,19.6,32.6,44.0,74.0,602.4,237.9,14.1,15.7,89.9,13.1,17.0,76.9,4.34,8.67,50.0,0.05,0.05,0.01,0.71,2.14,0.87,0.46,2.96,Matches
914,Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,Paris S-G,fr Ligue 1,29,1989,18.4,79.8,86.4,92.3,1314.3,350.8,41.5,44.0,94.2,31.3,33.2,94.3,6.03,6.90,87.4,0.11,0.16,-0.05,1.41,7.50,0.87,0.05,7.28,Matches
915,Ignatius Ganago\Ignatius-Ganago,cm CMR,FWMF,Nice,fr Ligue 1,20,1999,13.8,20.5,26.5,77.3,325.4,70.7,10.5,12.9,81.5,8.26,10.2,80.9,1.16,1.88,61.5,0.07,0.05,0.02,0.80,1.16,0.80,0.14,2.10,Matches
916,Ezequiel Garay\Ezequiel-Garay,ar ARG,DF,Valencia,es La Liga,32,1986,16.0,47.4,53.3,89.0,1075.1,281.1,10.1,10.8,93.1,27.3,28.4,96.0,9.38,13.1,71.8,0.00,0.01,-0.01,0.13,2.44,0.06,0.00,2.19,Matches
917,Dani García\Dani-Garcia,es ESP,MF,Athletic Club,es La Liga,29,1990,33.7,36.4,43.6,83.3,782.6,172.6,11.1,12.8,86.3,17.4,19.6,88.6,7.33,10.1,72.6,0.03,0.03,0.00,0.45,3.23,0.12,0.03,2.76,Matches
918,David García\David-Garcia,es ESP,DF,Osasuna,es La Liga,25,1994,31.0,27.8,37.4,74.2,661.7,256.3,6.48,7.84,82.7,14.4,17.5,82.3,6.68,11.5,58.3,0.00,0.01,-0.01,0.19,2.55,0.19,0.00,2.90,Matches
919,Eric García\Eric-Garcia,es ESP,DF,Manchester City,eng Premier League,18,2001,8.8,76.4,80.1,95.3,1572.6,423.5,23.5,24.7,95.4,41.7,43.0,97.1,10.5,11.2,92.9,0.00,0.01,-0.01,0.23,4.77,0.11,0.11,4.55,Matches
920,Javi García\Javi-Garcia,es ESP,MF,Betis,es La Liga,32,1987,4.2,37.9,45.5,83.2,710.2,138.3,14.0,16.4,85.5,18.8,21.4,87.8,4.52,5.71,79.2,0.00,0.00,0.00,0.00,2.14,0.00,0.00,1.43,Matches
921,Manu García\Manu-Garcia,es ESP,MF,Alavés,es La Liga,33,1986,21.9,23.8,32.4,73.4,435.4,105.0,10.7,13.2,81.0,9.82,12.3,79.9,2.74,5.02,54.5,0.00,0.01,-0.01,0.09,2.10,0.09,0.00,2.24,Matches
922,Raúl García\Raul-Garcia,es ESP,DFMF,Valladolid,es La Liga,30,1989,11.2,27.7,40.5,68.3,530.8,252.4,12.1,13.8,87.7,11.8,14.8,79.5,3.57,10.2,35.1,0.09,0.03,0.06,0.71,2.14,0.71,0.36,2.14,Matches
923,Raúl García\Raul-Garcia,es ESP,MFFW,Athletic Club,es La Liga,33,1986,31.9,17.5,29.8,58.5,281.3,84.0,9.44,13.6,69.2,6.02,10.3,58.5,1.44,4.04,35.7,0.03,0.03,0.00,0.53,2.35,0.47,0.06,2.70,Matches
924,Raúl García\Raul-Garcia,es ESP,DF,Getafe,es La Liga,30,1989,2.7,33.0,50.4,65.4,691.5,327.0,12.6,14.8,85.0,13.7,17.8,77.1,5.93,14.8,40.0,0.00,0.07,-0.07,1.48,2.59,2.96,2.22,2.59,Matches
925,Rubén García\Ruben-Garcia,es ESP,MFFW,Osasuna,es La Liga,26,1993,24.3,29.6,42.1,70.4,563.9,185.6,13.8,16.8,81.9,10.2,13.6,75.2,4.94,9.59,51.5,0.08,0.16,-0.08,2.06,2.55,1.36,0.45,3.66,Matches
926,Unai García\Unai-Garcia,es ESP,DF,Osasuna,es La Liga,27,1992,6.0,25.8,35.8,72.1,601.7,217.7,7.50,8.83,84.9,11.8,14.2,83.5,6.17,11.8,52.1,0.00,0.02,-0.02,0.17,1.83,0.00,0.00,2.33,Matches
927,Víctor García\Victor-Garcia,es ESP,FWMF,Valladolid,es La Liga,22,1997,1.0,24.0,36.0,66.7,428.0,149.0,12.0,16.0,75.0,9.00,10.0,90.0,3.00,8.00,37.5,0.00,0.10,-0.10,3.00,2.00,2.00,1.00,3.00,Matches
928,James Garner\James-Garner,eng ENG,MF,Manchester Utd,eng Premier League,18,2001,0.1,150.0,150.0,100.0,2530.0,440.0,90.0,90.0,100.0,50.0,50.0,100.0,10.0,10.0,100.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,10.0,Matches
929,Manuel Garrido\Manuel-Garrido,es ESP,FW,Leganés,es La Liga,18,2000,1.3,16.9,23.1,73.3,239.2,15.4,7.69,9.23,83.3,6.92,9.23,75.0,0.77,2.31,33.3,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,Matches
930,Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,es La Liga,28,1990,21.8,39.8,50.1,79.4,702.1,315.0,18.1,20.6,87.8,18.6,22.1,84.2,2.84,6.15,46.3,0.09,0.08,0.01,0.87,2.71,0.69,0.32,3.49,Matches
931,Daniele Gastaldello\Daniele-Gastaldello,it ITA,DF,Brescia,it Serie A,36,1983,4.3,28.6,33.7,84.8,653.3,205.1,6.98,7.91,88.2,14.9,16.5,90.1,6.74,9.30,72.5,0.00,0.00,0.00,0.00,0.47,0.00,0.00,1.40,Matches
