,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
21,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,35.3,48.2,73.2,617.8,306.8,16.3,18.6,87.7,15.1,20.4,74.1,3.33,6.82,48.9,0.00,0.09,-0.09,0.80,2.34,1.04,0.60,3.48,Matches
22,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,31.0,43.5,71.2,542.0,260.5,14.1,16.5,85.5,13.5,17.5,77.0,3.00,7.38,40.7,0.04,0.04,0.00,0.52,1.55,0.60,0.21,2.58,Matches
23,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,45.0,48.8,92.3,838.8,251.3,20.0,21.3,94.1,20.0,22.5,88.9,5.00,5.00,100.0,0.00,0.13,-0.13,1.25,5.00,2.50,1.25,6.25,Matches
24,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,41.4,51.4,80.6,654.3,201.4,20.0,27.1,73.7,20.0,21.4,93.3,1.43,2.86,50.0,0.00,0.29,-0.29,2.86,1.43,1.43,0.00,4.29,Matches
25,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,33.1,40.7,81.4,518.9,121.9,17.8,20.4,87.4,11.4,12.8,88.4,2.70,4.46,60.6,0.14,0.16,-0.03,1.49,2.70,0.68,0.00,2.30,Matches
26,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,45.9,54.0,85.1,1117.4,417.1,12.1,12.5,97.0,22.2,23.5,94.4,11.6,17.3,67.2,0.00,0.00,0.00,0.00,1.98,0.00,0.00,1.98,Matches
27,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,17.6,22.8,77.4,232.7,48.8,10.9,13.2,82.5,5.03,6.46,77.9,0.68,0.81,84.6,0.19,0.15,0.04,0.99,0.75,1.24,0.00,1.99,Matches
28,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,56.0,66.5,84.2,925.4,343.8,29.9,31.8,94.2,20.5,23.9,85.9,4.54,8.40,54.0,0.17,0.13,0.04,1.18,3.28,2.10,1.26,4.29,Matches
29,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,2.6,35.0,40.0,87.5,671.5,111.9,14.2,15.4,92.5,15.4,16.9,90.9,5.00,7.31,68.4,0.00,0.00,0.00,0.38,1.54,0.38,0.00,2.31,Matches
30,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,37.4,44.7,83.7,690.9,118.6,14.7,16.9,87.3,17.4,19.3,90.4,4.57,7.14,64.0,0.14,0.01,0.13,0.43,2.43,0.00,0.00,2.71,Matches
31,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,38.6,44.0,87.7,862.8,241.7,8.38,9.42,88.9,22.1,23.7,93.3,7.88,10.0,78.5,0.04,0.03,0.01,0.07,2.19,0.07,0.00,2.23,Matches
32,Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,37.4,50.2,74.4,669.1,277.5,18.2,20.3,89.7,13.9,17.5,79.0,4.63,10.1,45.7,0.09,0.10,-0.01,0.91,2.42,0.91,0.48,3.64,Matches
33,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,59.5,68.8,86.4,1041.7,259.2,28.7,31.3,91.5,24.8,27.2,91.4,5.83,8.67,67.3,0.17,0.02,0.15,0.67,4.67,0.50,0.00,6.33,Matches
34,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,44.0,56.4,78.0,734.1,334.4,23.9,26.1,91.6,16.3,19.9,81.6,3.52,8.38,42.0,0.14,0.06,0.08,0.85,2.46,1.27,0.85,3.45,Matches
35,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,eng Premier League,22,1997,1.5,10.0,12.0,83.3,101.3,5.33,8.00,8.00,100.0,1.33,3.33,40.0,0.00,0.00,,0.00,0.07,-0.07,1.33,0.00,0.00,0.00,0.00,Matches
36,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,16.2,22.2,72.9,255.9,40.5,8.69,11.0,79.0,5.55,7.73,71.8,1.44,2.27,63.5,0.17,0.13,0.04,0.61,0.61,0.52,0.17,1.18,Matches
37,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,68.8,75.1,91.6,1436.6,466.8,20.7,21.9,94.5,38.1,39.6,96.2,9.69,12.6,76.9,0.04,0.03,0.01,0.12,4.01,0.08,0.00,3.31,Matches
38,Marley Aké\Marley-Ake,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,22.7,26.4,86.2,376.4,61.8,12.7,12.7,100.0,6.36,10.0,63.6,2.73,2.73,100.0,0.00,0.00,0.00,0.00,0.91,0.91,0.00,1.82,Matches
39,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,37.5,42.6,88.1,780.2,252.8,10.9,11.9,91.8,20.3,21.9,92.6,5.97,8.06,74.1,0.07,0.02,0.05,0.14,2.37,0.36,0.00,2.05,Matches
40,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6.0,28.7,34.3,83.5,450.5,135.2,14.7,16.3,89.8,11.7,13.8,84.3,1.33,2.33,57.1,0.17,0.20,-0.03,0.83,2.50,0.33,0.00,4.33,Matches
41,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,51.9,59.4,87.4,996.1,288.4,18.0,19.2,93.9,29.1,31.5,92.5,4.41,7.95,55.4,0.00,0.00,0.00,0.08,1.97,0.08,0.00,2.05,Matches
42,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,80.9,89.1,90.8,1695.2,558.8,25.7,27.3,94.1,41.2,43.8,94.0,13.3,16.7,79.9,0.04,0.08,-0.04,0.65,10.6,0.86,0.25,7.99,Matches
43,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,42.6,51.9,82.0,761.7,311.4,19.3,21.2,91.2,18.6,21.5,86.3,4.36,7.44,58.6,0.00,0.07,-0.07,0.83,3.08,0.83,0.38,4.10,Matches
44,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,17.5,23.7,73.7,257.9,28.8,10.2,13.6,74.6,4.62,5.77,80.0,1.38,1.85,75.0,0.08,0.16,-0.08,1.15,0.46,0.69,0.00,1.00,Matches
45,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,76.7,88.1,87.1,1243.3,391.4,40.2,43.4,92.5,29.3,32.8,89.5,5.76,8.35,69.0,0.21,0.14,0.07,1.15,5.19,1.56,0.74,5.80,Matches
46,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,51.8,65.4,79.2,965.3,341.7,22.2,25.3,87.8,21.6,25.2,85.9,6.85,12.5,55.0,0.43,0.31,0.12,3.12,7.37,2.80,0.14,9.28,Matches
47,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,45.0,52.3,86.0,1160.6,338.8,7.86,8.69,90.4,22.6,24.5,92.4,14.3,18.6,76.8,0.00,0.01,-0.01,0.14,2.67,0.14,0.03,2.17,Matches
48,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,35.8,52.8,67.9,644.7,254.6,18.3,21.6,85.0,12.1,16.0,75.3,4.79,12.0,40.0,0.31,0.21,0.10,1.88,3.23,2.08,0.94,5.21,Matches
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,17.6,22.3,78.7,250.0,36.1,10.9,12.9,84.2,5.24,6.41,81.8,0.87,1.65,52.9,0.10,0.16,-0.06,0.87,0.58,0.58,0.00,0.87,Matches
