,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21-340,1999,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,30-248,1990,19.7,0.00,0.91,0.30,33.3,0.91,0.30,0.00,0.00,20.3,0.15,0.00,0.00,0.06,0.06,0.07,-0.06,-0.06,Matches
3,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,22-220,1998,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33-218,1987,31.0,0.10,0.48,0.16,33.3,0.48,0.16,0.20,0.60,10.2,0.00,0.00,0.00,0.05,0.05,0.11,0.04,0.04,Matches
5,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,es La Liga,21-358,1999,0.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,28-271,1992,14.7,0.00,1.36,0.00,0.0,1.36,0.00,0.00,,22.9,0.07,0.00,0.00,0.07,0.07,0.05,-0.07,-0.07,Matches
7,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,28-092,1993,29.9,0.10,0.94,0.33,35.7,0.94,0.33,0.11,0.30,26.0,0.00,0.00,0.00,0.04,0.04,0.04,0.06,0.06,Matches
8,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,21-022,2000,9.1,0.33,2.09,0.44,21.1,2.10,0.44,0.16,0.75,11.8,0.00,0.00,0.00,0.23,0.23,0.11,0.10,0.10,Matches
9,Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,fr Ligue 1,18-037,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,25-232,1995,13.0,0.00,1.00,0.23,23.1,1.00,0.23,0.00,0.00,11.3,0.00,0.00,0.00,0.09,0.09,0.09,-0.09,-0.09,Matches
11,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34-293,1986,13.6,0.07,0.66,0.15,22.2,0.66,0.15,0.11,0.50,16.0,0.00,0.00,0.00,0.05,0.05,0.07,0.02,0.02,Matches
12,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,23-214,1997,11.6,0.52,2.76,1.12,40.6,2.77,1.13,0.19,0.46,9.7,0.00,0.00,0.00,0.55,0.55,0.20,-0.03,-0.03,Matches
13,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,31-038,1990,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
14,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,it Serie A,27-036,1994,4.8,0.00,1.88,0.00,0.0,1.89,0.00,0.00,,25.0,0.21,0.00,0.00,0.06,0.06,0.03,-0.06,-0.06,Matches
15,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,33-083,1988,28.3,0.00,0.28,0.00,0.0,0.28,0.00,0.00,,13.1,0.00,0.00,0.00,0.04,0.04,0.12,-0.04,-0.04,Matches
16,Ragnar Ache\Ragnar-Ache,de GER,FWMF,Eint Frankfurt,de Bundesliga,22-280,1998,0.9,0.00,1.11,0.00,0.0,1.08,0.00,0.00,,18.4,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
17,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,es La Liga,29-188,1991,23.5,0.04,0.60,0.13,21.4,0.59,0.13,0.07,0.33,20.7,0.00,0.00,0.00,0.04,0.04,0.07,0.00,0.00,Matches
18,Che Adams\Che-Adams,sco SCO,FW,Southampton,eng Premier League,24-295,1996,26.3,0.27,1.86,0.91,49.0,1.87,0.91,0.14,0.29,13.3,0.00,0.00,0.00,0.28,0.28,0.15,-0.01,-0.01,Matches
19,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,22-079,1999,20.6,0.05,0.34,0.19,57.1,0.34,0.19,0.14,0.25,15.4,0.00,0.00,0.00,0.04,0.04,0.13,0.00,0.00,Matches
20,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27-346,1993,2.9,0.34,5.17,1.38,26.7,5.15,1.37,0.07,0.25,12.7,0.00,0.00,0.00,0.48,0.48,0.10,-0.14,-0.14,Matches
21,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,eng Premier League,23-222,1997,29.0,0.00,0.69,0.17,25.0,0.69,0.17,0.00,0.00,8.8,0.00,0.00,0.00,0.04,0.04,0.05,-0.04,-0.04,Matches
22,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,es La Liga,22-079,1999,0.4,0.00,2.50,0.00,0.0,2.50,0.00,0.00,,17.5,0.00,0.00,0.00,0.50,0.50,0.17,-0.50,-0.50,Matches
23,Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20-279,2000,24.0,0.04,0.88,0.33,38.1,0.87,0.33,0.05,0.13,20.5,0.04,0.00,0.00,0.05,0.05,0.06,-0.01,-0.01,Matches
24,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,it Serie A,21-088,2000,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
25,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,34-121,1987,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
26,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24-359,1996,15.3,0.00,0.13,0.00,0.0,0.13,0.00,0.00,,14.3,0.00,0.00,0.00,0.01,0.01,0.10,-0.01,-0.01,Matches
27,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,it Serie A,19-084,2002,8.1,0.00,0.25,0.00,0.0,0.25,0.00,0.00,,20.5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
28,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,21-219,1999,7.7,0.13,0.52,0.13,25.0,0.52,0.13,0.25,1.00,19.7,0.00,0.00,0.00,0.08,0.08,0.14,0.05,0.05,Matches
29,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,22-171,1998,13.2,0.08,1.29,0.30,23.5,1.29,0.30,0.06,0.25,17.5,0.00,0.00,0.00,0.14,0.14,0.11,-0.06,-0.06,Matches
30,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25-035,1996,32.0,0.09,0.88,0.16,17.9,0.87,0.16,0.11,0.60,8.8,0.00,0.00,0.00,0.09,0.09,0.10,0.01,0.01,Matches
31,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,eng Premier League,32-336,1988,5.2,0.38,2.31,0.96,41.7,2.33,0.97,0.08,0.20,12.6,0.00,0.19,0.19,0.40,0.25,0.11,-0.02,-0.06,Matches
32,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFFW,Monaco,fr Ligue 1,28-008,1993,23.6,0.04,0.34,0.13,37.5,0.34,0.13,0.13,0.33,9.6,0.00,0.00,0.00,0.05,0.05,0.15,-0.01,-0.01,Matches
33,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19-036,2002,2.4,0.00,2.08,0.42,20.0,2.05,0.41,0.00,0.00,22.4,0.00,0.00,0.00,0.13,0.13,0.07,-0.13,-0.13,Matches
34,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21-306,1999,9.1,0.22,0.99,0.55,55.6,0.99,0.55,0.22,0.40,22.5,0.00,0.00,0.00,0.15,0.15,0.16,0.07,0.07,Matches
35,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,21-042,2000,1.3,0.00,0.77,0.00,0.0,0.76,0.00,0.00,,4.1,0.00,0.00,0.00,0.15,0.15,0.16,-0.15,-0.15,Matches
36,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27-045,1994,22.1,0.09,1.31,0.27,20.7,1.31,0.27,0.07,0.33,20.1,0.00,0.00,0.00,0.10,0.09,0.07,-0.01,0.00,Matches
37,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,27-045,1994,0.4,0.00,5.00,2.50,50.0,5.00,2.50,0.00,0.00,15.0,0.00,0.00,0.00,0.25,0.25,0.05,-0.25,-0.25,Matches
38,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25-217,1995,13.1,0.00,0.53,0.00,0.0,0.54,0.00,0.00,,16.3,0.00,0.00,0.00,0.05,0.05,0.09,-0.05,-0.05,Matches
39,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,eng Premier League,24-208,1996,28.9,0.07,0.48,0.14,28.6,0.48,0.14,0.14,0.50,25.2,0.03,0.00,0.00,0.03,0.03,0.07,0.03,0.03,Matches
40,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,19-332,2001,2.1,0.00,0.48,0.00,0.0,0.48,0.00,0.00,,14.8,0.00,0.00,0.00,0.05,0.05,0.08,-0.05,-0.05,Matches
41,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,eng Premier League,19-332,2001,12.7,0.08,1.10,0.39,35.7,1.10,0.39,0.07,0.20,20.0,0.00,0.00,0.00,0.04,0.04,0.04,0.04,0.04,Matches
42,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,eng Premier League,27-176,1993,26.9,0.07,0.33,0.11,33.3,0.33,0.11,0.22,0.67,8.9,0.00,0.00,0.00,0.03,0.03,0.09,0.04,0.04,Matches
43,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27-068,1994,30.0,0.43,2.00,0.90,45.0,2.00,0.90,0.15,0.33,14.2,0.00,0.13,0.17,0.51,0.38,0.19,-0.07,-0.08,Matches
44,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,25-289,1995,23.4,0.09,0.68,0.17,25.0,0.68,0.17,0.13,0.50,13.6,0.00,0.00,0.00,0.07,0.07,0.10,0.01,0.01,Matches
45,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,es La Liga,28-053,1993,7.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
46,Marley Aké\Marley-Ake,fr FRA,FW,Marseille,fr Ligue 1,20-119,2001,1.6,0.00,2.50,0.00,0.0,2.47,0.00,0.00,,11.1,0.00,0.00,0.00,0.69,0.69,0.27,-0.69,-0.69,Matches
47,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,eng Premier League,26-075,1995,6.9,0.14,0.29,0.14,50.0,0.29,0.15,0.50,1.00,10.5,0.00,0.00,0.00,0.01,0.01,0.05,0.13,0.13,Matches
48,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,23-135,1997,4.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
49,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MFFW,Lazio,it Serie A,28-205,1992,9.6,0.00,0.94,0.00,0.0,0.94,0.00,0.00,,17.7,0.00,0.00,0.00,0.06,0.06,0.07,-0.06,-0.06,Matches
50,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26-015,1995,11.4,0.00,0.09,0.09,100.0,0.09,0.09,0.00,0.00,31.1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
51,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28-314,1992,27.3,0.07,0.59,0.15,25.0,0.59,0.15,0.13,0.50,25.2,0.11,0.00,0.00,0.03,0.03,0.04,0.05,0.05,Matches
52,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22-279,1998,16.2,0.00,0.25,0.00,0.0,0.25,0.00,0.00,,20.6,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
53,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,es La Liga,19-221,2001,0.8,0.00,1.25,0.00,0.0,1.23,0.00,0.00,,26.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
54,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,28-208,1992,13.8,0.80,2.68,1.30,48.6,2.67,1.30,0.24,0.50,12.6,0.00,0.14,0.14,0.47,0.36,0.14,0.33,0.29,Matches
55,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,32-044,1989,30.1,0.10,0.80,0.37,45.8,0.80,0.37,0.13,0.27,20.1,0.03,0.00,0.00,0.07,0.07,0.09,0.03,0.03,Matches
56,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,28-218,1992,25.3,0.36,2.49,1.03,41.3,2.49,1.03,0.14,0.35,20.6,0.12,0.00,0.00,0.19,0.18,0.07,0.17,0.17,Matches
57,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,35-242,1985,30.6,0.00,0.26,0.03,12.5,0.26,0.03,0.00,0.00,13.9,0.00,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches
58,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31-167,1989,15.8,0.00,1.20,0.44,36.8,1.20,0.44,0.00,0.00,20.6,0.00,0.00,0.00,0.07,0.07,0.06,-0.07,-0.07,Matches
59,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,27-247,1993,16.1,0.37,2.24,1.12,50.0,2.24,1.12,0.14,0.28,13.7,0.19,0.06,0.12,0.52,0.42,0.20,-0.14,-0.11,Matches
60,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,es La Liga,32-046,1989,8.0,0.00,0.13,0.00,0.0,0.12,0.00,0.00,,9.0,0.00,0.00,0.00,0.01,0.01,0.06,-0.01,-0.01,Matches
61,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,eng Premier League,30-023,1991,15.6,0.00,0.90,0.19,21.4,0.90,0.19,0.00,0.00,21.5,0.06,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
