,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
62,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,30-003,1991,22.4,0.04,1.03,0.13,13.0,1.02,0.13,0.04,0.33,24.6,0.18,0.00,0.00,0.07,0.07,0.06,-0.02,-0.02,Matches
63,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,de Bundesliga,24-129,1996,11.4,0.00,0.61,0.18,28.6,0.61,0.17,0.00,0.00,13.4,0.00,0.00,0.00,0.04,0.04,0.07,-0.04,-0.04,Matches
64,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,32-063,1989,20.9,0.05,0.48,0.14,30.0,0.48,0.14,0.10,0.33,7.8,0.00,0.00,0.00,0.04,0.04,0.08,0.01,0.01,Matches
65,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,es La Liga,26-083,1995,7.6,0.13,1.45,0.39,27.3,1.45,0.40,0.09,0.33,18.4,0.13,0.00,0.00,0.12,0.12,0.08,0.01,0.01,Matches
66,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,23-119,1998,0.5,0.00,2.00,0.00,0.0,1.87,0.00,0.00,,17.5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
67,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,es La Liga,23-119,1998,12.3,0.08,1.95,0.41,20.8,1.94,0.41,0.04,0.20,20.4,0.00,0.00,0.00,0.14,0.14,0.07,-0.06,-0.06,Matches
68,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,26-075,1995,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
69,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22-209,1998,28.7,0.07,1.53,0.31,20.5,1.53,0.31,0.05,0.22,24.2,0.45,0.00,0.00,0.07,0.07,0.05,-0.00,-0.00,Matches
70,Alfon\Alfon,es ESP,MF,Celta Vigo,es La Liga,22-000,1999,0.4,0.00,2.50,2.50,100.0,2.65,2.65,0.00,0.00,18.4,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
71,Mohamed Ali Cho\Mohamed-Ali-Cho,fr FRA,FWMF,Angers,fr Ligue 1,17-105,2004,3.5,0.00,2.29,0.00,0.0,2.31,0.00,0.00,,13.7,0.00,0.00,0.00,0.26,0.26,0.11,-0.26,-0.26,Matches
72,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,eng Premier League,29-081,1992,23.3,0.09,0.94,0.30,31.8,0.94,0.30,0.09,0.29,19.0,0.00,0.00,0.00,0.06,0.06,0.06,0.03,0.03,Matches
73,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,28-320,1992,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
74,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-214,1992,28.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
75,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-163,1993,9.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
76,Allan\Allan,br BRA,MF,Everton,eng Premier League,30-116,1991,17.8,0.00,0.28,0.06,20.0,0.28,0.06,0.00,0.00,23.4,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
77,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,25-023,1996,3.5,0.00,1.43,0.86,60.0,1.42,0.85,0.00,0.00,13.7,0.00,0.00,0.00,0.17,0.17,0.11,-0.17,-0.17,Matches
78,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,27-083,1994,23.1,0.17,1.26,0.48,37.9,1.25,0.48,0.14,0.36,17.9,0.04,0.00,0.00,0.13,0.13,0.11,0.04,0.04,Matches
79,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,30-127,1990,9.7,0.10,2.06,0.72,35.0,2.07,0.72,0.05,0.14,17.2,0.52,0.00,0.00,0.13,0.13,0.07,-0.03,-0.03,Matches
80,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,29-101,1992,17.1,0.00,0.35,0.12,33.3,0.35,0.12,0.00,0.00,16.1,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
81,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,26-100,1995,19.6,0.05,0.51,0.05,10.0,0.51,0.05,0.10,1.00,12.5,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.03,Matches
82,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,39-158,1981,16.1,0.00,0.43,0.12,28.6,0.43,0.12,0.00,0.00,23.7,0.19,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
83,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,22-238,1998,8.2,0.12,0.61,0.24,40.0,0.61,0.24,0.20,0.50,14.6,0.00,0.00,0.00,0.07,0.07,0.12,0.05,0.05,Matches
84,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Angers,fr Ligue 1,28-028,1993,16.6,0.00,0.90,0.30,33.3,0.91,0.30,0.00,0.00,19.0,0.00,0.00,0.00,0.13,0.13,0.14,-0.13,-0.13,Matches
85,Romain Amalfitano\Romain-Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,31-250,1989,1.3,0.00,1.54,0.00,0.0,1.55,0.00,0.00,,29.4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
86,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,es La Liga,19-165,2001,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
87,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,26-134,1994,8.0,0.13,0.38,0.13,33.3,0.37,0.12,0.33,1.00,10.8,0.00,0.00,0.00,0.05,0.05,0.13,0.07,0.07,Matches
88,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,27-056,1994,8.2,0.12,0.49,0.12,25.0,0.49,0.12,0.25,1.00,10.9,0.00,0.00,0.00,0.02,0.02,0.05,0.10,0.10,Matches
89,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,24-037,1997,6.7,0.00,2.09,0.75,35.7,2.08,0.74,0.00,0.00,21.0,0.00,0.00,0.00,0.12,0.12,0.06,-0.12,-0.12,Matches
90,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,de Bundesliga,24-189,1996,20.1,0.10,2.09,0.70,33.3,2.08,0.69,0.05,0.14,23.6,0.15,0.00,0.00,0.10,0.10,0.05,-0.00,-0.00,Matches
91,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,eng Premier League,20-232,2000,23.2,0.00,0.30,0.09,28.6,0.30,0.09,0.00,0.00,17.2,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches
92,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,it Serie A,24-256,1996,25.9,0.00,0.35,0.12,33.3,0.35,0.12,0.00,0.00,19.4,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
93,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,es La Liga,31-207,1989,7.6,0.00,0.66,0.13,20.0,0.65,0.13,0.00,0.00,12.7,0.00,0.00,0.00,0.05,0.05,0.07,-0.05,-0.05,Matches
94,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,24-338,1996,2.1,0.00,2.38,0.00,0.0,2.34,0.00,0.00,,20.0,0.48,0.00,0.00,0.14,0.14,0.06,-0.14,-0.14,Matches
95,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,eng Premier League,24-338,1996,27.7,0.04,0.36,0.11,30.0,0.36,0.11,0.10,0.33,15.5,0.04,0.00,0.00,0.03,0.03,0.08,0.01,0.01,Matches
96,Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,it Serie A,26-013,1995,0.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
97,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,eng Premier League,18-179,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
98,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,28-019,1993,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
99,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,de Bundesliga,29-293,1991,10.1,0.20,3.07,0.99,32.3,3.08,0.99,0.03,0.10,12.4,0.00,0.10,0.10,0.44,0.36,0.12,-0.24,-0.26,Matches
100,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,33-022,1988,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
101,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,30-274,1990,30.4,0.00,0.66,0.23,35.0,0.66,0.23,0.00,0.00,13.8,0.00,0.00,0.00,0.04,0.04,0.06,-0.04,-0.04,Matches
102,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,26-224,1994,27.1,0.18,1.40,0.33,23.7,1.40,0.33,0.13,0.56,22.1,0.11,0.00,0.00,0.09,0.09,0.06,0.10,0.10,Matches
103,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,24-217,1996,18.6,0.00,0.32,0.05,16.7,0.32,0.05,0.00,0.00,21.1,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
104,Ángel\Angel,es ESP,GK,Granada,es La Liga,18-316,2002,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
105,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,es La Liga,23-054,1998,1.5,0.00,0.67,0.00,0.0,0.67,0.00,0.00,,8.6,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
106,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,31-241,1989,7.1,0.00,0.28,0.00,0.0,0.28,0.00,0.00,,27.6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
107,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,de Bundesliga,24-120,1997,22.7,0.18,1.50,0.57,38.2,1.50,0.57,0.12,0.31,16.0,0.18,0.00,0.00,0.16,0.16,0.11,0.01,0.01,Matches
108,Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,it Serie A,19-322,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
109,Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,18-219,2002,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
110,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,it Serie A,34-226,1986,17.2,0.06,0.81,0.35,42.9,0.81,0.35,0.00,0.00,23.4,0.06,0.06,0.06,0.09,0.05,0.06,-0.03,-0.05,Matches
111,Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,de Bundesliga,24-288,1996,27.1,0.00,0.33,0.11,33.3,0.33,0.11,0.00,0.00,15.9,0.00,0.00,0.00,0.03,0.03,0.10,-0.03,-0.03,Matches
