,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
20,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27-346,1993,2.9,28.3,27.9,0.34,0.00,0.00,6.55,0.69,1.03,0.00,0.00,0.00,0.00,16.6,6.55,5.17,3.10,20.3,3.10,0.00,1.03,20.0,0.00,0.34,1.03,3.10,Matches
21,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,eng Premier League,23-222,1997,29.0,53.5,51.9,1.59,1.41,0.07,4.93,1.45,0.10,0.00,0.00,0.00,0.00,40.9,3.79,8.83,7.55,41.9,2.48,0.17,0.10,46.4,0.10,1.00,0.62,0.48,Matches
22,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,es La Liga,22-079,1999,0.4,25.0,25.0,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,17.5,2.50,5.00,22.5,0.00,2.50,0.00,0.00,17.5,0.00,0.00,0.00,0.00,Matches
23,Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20-279,2000,24.0,62.2,60.0,2.25,1.33,0.38,9.67,2.79,1.21,0.75,0.29,0.21,0.13,48.5,6.00,7.67,5.13,55.0,1.13,0.17,0.21,51.7,0.25,1.04,1.67,1.46,Matches
24,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,it Serie A,21-088,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
25,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,34-121,1987,3.0,33.0,23.3,9.67,2.33,0.00,3.00,0.33,0.00,0.00,0.00,0.00,0.00,19.0,3.00,11.0,4.00,22.0,0.00,0.00,6.67,25.3,0.33,0.67,0.00,0.00,Matches
26,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24-359,1996,15.3,41.6,31.7,9.93,1.11,0.07,4.38,1.11,1.31,0.00,0.00,0.00,0.00,21.0,8.89,11.8,3.92,25.8,2.35,8.82,0.07,30.2,0.26,1.18,1.57,1.11,Matches
27,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,it Serie A,19-084,2002,8.1,54.6,53.0,1.60,1.48,0.12,7.41,2.35,0.00,0.00,0.00,0.00,0.00,40.9,4.81,8.89,8.77,42.1,2.22,0.12,0.37,48.6,0.37,0.62,0.99,0.12,Matches
28,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,21-219,1999,7.7,36.9,28.4,8.44,0.13,0.00,5.84,0.52,1.30,0.00,0.00,0.00,0.00,21.3,7.40,8.18,5.84,20.4,1.82,8.31,0.00,26.6,0.00,0.65,2.08,1.43,Matches
29,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,22-171,1998,13.2,21.5,20.6,0.91,0.00,0.00,6.52,0.68,0.53,0.15,0.00,0.00,0.00,15.4,3.56,2.58,17.4,2.50,0.45,0.15,0.15,15.6,0.08,0.83,0.45,1.36,Matches
