,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
771,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,de Bundesliga,24-147,1996,29.7,40.6,39.3,1.28,0.81,0.17,7.10,0.94,0.40,0.07,0.00,0.03,0.00,27.6,5.15,7.85,6.23,30.9,2.02,0.37,0.10,31.6,0.10,0.61,1.38,1.38,Matches
772,Lilian Egloff\Lilian-Egloff,de GER,MF,Stuttgart,de Bundesliga,18-257,2002,0.2,20.0,15.0,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,Matches
773,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,de Bundesliga,25-344,1995,11.7,47.0,35.7,11.3,0.85,0.00,5.73,0.51,2.48,0.00,0.00,0.00,0.00,24.9,11.5,10.6,1.54,31.3,2.65,10.3,0.26,34.5,0.00,0.77,0.85,2.14,Matches
774,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,it Serie A,31-280,1989,22.2,40.9,38.3,2.61,2.52,0.09,6.35,0.77,0.14,0.00,0.00,0.00,0.00,28.0,6.13,6.85,4.01,32.7,2.75,0.05,0.27,33.9,0.00,0.68,0.63,0.95,Matches
775,Hugo Ekitike\Hugo-Ekitike,fr FRA,MFFW,Reims,fr Ligue 1,18-318,2002,1.0,26.0,23.0,3.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,2.00,4.00,1.00,22.0,1.00,0.00,0.00,21.0,0.00,0.00,1.00,0.00,Matches
776,Niclas Eliasson\Niclas-Eliasson,se SWE,MFFW,Nîmes,fr Ligue 1,25-148,1995,17.3,26.9,21.3,5.55,2.08,0.00,3.64,1.68,3.41,2.89,1.21,1.27,0.17,12.0,4.51,10.3,19.2,4.62,1.27,0.58,0.12,16.5,0.17,0.52,0.58,1.39,Matches
777,Elif Elmas\Elif-Elmas,mk MKD,MFFW,Napoli,it Serie A,21-222,1999,7.9,43.8,42.8,1.01,0.38,0.00,6.58,0.38,0.51,0.25,0.13,0.00,0.00,37.2,3.54,3.04,7.22,34.9,1.27,0.25,0.13,39.7,0.13,0.00,0.89,0.38,Matches
778,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,33-237,1987,7.8,61.9,49.6,12.3,1.67,0.00,6.67,1.79,3.72,0.00,0.00,0.00,0.00,29.6,15.9,16.4,0.77,44.4,4.49,10.6,0.26,47.1,0.13,1.03,1.67,0.90,Matches
779,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,eng Premier League,28-297,1992,14.2,57.6,56.2,1.41,1.34,0.00,7.04,1.27,0.14,0.00,0.00,0.00,0.00,47.7,5.00,4.93,4.01,50.5,2.46,0.07,0.35,53.5,0.21,0.56,0.28,0.49,Matches
780,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,27-037,1994,17.2,53.6,51.2,2.38,1.34,0.00,5.52,1.45,0.41,0.00,0.00,0.00,0.00,39.7,3.60,10.3,4.13,43.5,3.37,1.05,0.12,45.8,0.12,0.99,0.35,0.35,Matches
781,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,24-216,1996,25.2,66.9,65.2,1.79,1.51,0.04,6.07,1.43,0.08,0.00,0.00,0.00,0.00,56.9,4.68,5.32,18.1,43.9,3.02,0.28,0.04,62.1,0.04,0.44,0.36,0.67,Matches
782,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,27-182,1993,5.2,30.6,28.1,2.50,2.50,0.00,2.88,1.35,0.00,0.00,0.00,0.00,0.00,16.0,5.96,8.65,2.88,21.9,4.04,0.00,0.38,24.0,0.58,1.54,0.00,0.19,Matches
783,Sepe Elye Wahi\Sepe-Elye-Wahi,fr FRA,FW,Montpellier,fr Ligue 1,18-122,2003,5.7,17.2,16.3,0.88,0.00,0.00,4.04,0.35,1.05,0.00,0.00,0.00,0.00,12.5,3.16,1.58,1.58,13.2,0.70,0.18,0.35,11.1,0.00,0.35,0.88,1.23,Matches
784,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,24-079,1997,14.7,28.6,27.1,1.50,0.20,0.00,7.55,0.27,0.61,0.00,0.00,0.00,0.00,20.6,5.31,2.65,2.93,20.5,2.11,0.00,1.63,20.7,0.34,0.61,0.82,1.56,Matches
785,Emerson\Emerson,br BRA,DF,Betis,es La Liga,22-110,1999,29.2,59.0,48.6,10.4,1.20,0.03,6.61,0.68,2.23,0.03,0.00,0.00,0.00,37.4,12.4,9.32,5.00,42.0,1.78,9.18,0.24,48.4,0.10,0.92,1.37,2.05,Matches
786,Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,it ITA,MF,Atalanta,it Serie A,19-225,2001,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Matches
787,Renaud Emond\Renaud-Emond,be BEL,FW,Nantes,fr Ligue 1,29-150,1991,3.7,22.4,20.3,2.16,0.00,0.00,7.30,0.00,0.81,0.00,0.00,0.00,0.00,11.6,5.95,4.86,1.89,14.6,2.97,0.27,0.00,15.7,0.00,0.27,1.08,0.27,Matches
788,Alan Empereur\Alan-Empereur,br BRA,DF,Hellas Verona,it Serie A,27-055,1994,2.4,50.4,49.2,1.25,0.83,0.00,2.92,0.83,0.00,0.00,0.00,0.00,0.00,35.8,5.42,9.17,34.2,11.7,2.92,0.42,0.00,39.6,0.00,0.83,0.83,1.25,Matches
789,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,es La Liga,23-337,1997,22.9,16.6,15.4,1.18,0.00,0.04,5.02,0.17,0.61,0.00,0.00,0.00,0.00,8.38,5.02,3.19,9.39,1.35,2.49,0.13,0.44,11.4,0.04,0.35,0.39,0.83,Matches
790,Keita Endo\Keita-Endo,jp JPN,FWMF,Union Berlin,de Bundesliga,23-163,1997,4.3,21.6,21.6,0.00,0.00,0.00,4.19,0.23,2.09,0.00,0.00,0.00,0.00,13.5,2.56,5.58,5.81,13.0,1.40,0.00,0.00,15.6,0.00,0.70,0.23,0.93,Matches
791,Wataru Endo\Wataru-Endo,jp JPN,MF,Stuttgart,de Bundesliga,28-084,1993,30.8,55.8,54.8,1.07,0.91,0.13,11.3,1.07,0.16,0.00,0.00,0.00,0.00,43.1,5.29,7.40,9.97,41.7,2.18,0.16,0.23,47.0,0.16,0.75,1.36,1.14,Matches
792,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,31-067,1990,12.2,28.9,27.5,1.48,0.00,0.00,10.5,0.98,0.41,0.08,0.08,0.00,0.00,14.6,6.23,8.11,1.56,18.5,3.20,0.08,1.31,22.0,0.33,0.25,0.49,0.90,Matches
793,Christian Eriksen\Christian-Eriksen,dk DEN,MF,Inter,it Serie A,29-079,1992,13.4,66.6,59.1,7.54,2.01,0.00,9.10,2.84,1.87,5.37,1.94,2.09,0.52,46.5,6.42,13.7,13.7,50.6,1.42,0.07,0.22,54.3,0.15,0.60,1.19,1.27,Matches
794,Martin Erlic\Martin-Erlic,hr CRO,DF,Spezia,it Serie A,23-100,1998,18.8,54.0,51.1,2.87,2.55,0.05,5.05,3.46,0.05,0.00,0.00,0.00,0.00,39.4,5.53,9.10,6.86,41.0,4.26,0.27,0.43,46.1,0.11,1.17,0.69,0.27,Matches
795,Patrick Erras\Patrick-Erras,de GER,FWMF,Werder Bremen,de Bundesliga,26-103,1995,0.3,103.3,103.3,0.00,0.00,0.00,23.3,0.00,0.00,0.00,0.00,0.00,0.00,53.3,3.33,46.7,26.7,40.0,16.7,0.00,0.00,63.3,0.00,0.00,0.00,6.67,Matches
796,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Lazio,it Serie A,28-038,1993,7.4,56.9,55.9,0.95,0.95,0.00,6.89,1.08,0.00,0.00,0.00,0.00,0.00,43.0,6.22,7.70,3.38,47.8,4.46,0.00,0.00,50.3,0.14,0.68,0.41,0.95,Matches
797,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,es La Liga,25-219,1995,2.0,29.5,16.5,13.0,5.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,8.50,0.00,21.0,1.00,22.0,0.00,0.00,4.50,14.5,0.00,0.00,0.50,0.50,Matches
798,Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,es La Liga,23-041,1998,8.6,27.2,26.4,0.81,0.00,0.12,6.16,0.47,0.47,0.12,0.00,0.00,0.00,19.2,4.19,3.84,1.28,22.7,1.51,0.23,0.00,19.8,0.12,0.47,0.93,1.28,Matches
799,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,es La Liga,31-244,1989,4.8,59.8,48.3,11.5,2.50,0.21,6.67,1.46,2.08,0.42,0.00,0.21,0.00,35.2,10.4,14.2,40.8,5.83,3.54,8.54,0.00,48.5,0.21,1.25,0.83,1.67,Matches
800,Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,es La Liga,29-119,1992,27.2,35.7,26.6,9.12,0.74,0.00,4.60,1.29,2.10,0.04,0.04,0.00,0.00,13.9,7.68,14.1,20.6,4.01,1.84,8.35,0.04,23.1,0.29,0.96,1.10,1.76,Matches
801,Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,es La Liga,22-122,1999,2.6,37.3,36.5,0.77,0.38,0.00,6.92,1.92,0.77,0.00,0.00,0.00,0.00,26.5,5.00,5.77,32.7,3.08,0.77,0.38,0.00,29.6,0.38,1.15,0.38,1.15,Matches
802,Nahuel Estévez\Nahuel-Estevez,ar ARG,MF,Spezia,it Serie A,25-171,1995,17.4,48.3,44.8,3.51,1.26,0.06,7.47,2.41,2.82,1.90,0.11,1.03,0.17,32.0,5.17,11.2,4.08,41.7,1.32,0.34,0.17,35.9,0.34,1.44,0.98,1.67,Matches
803,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,es La Liga,23-103,1998,12.5,51.0,43.8,7.28,0.56,0.00,6.24,2.08,4.64,0.00,0.00,0.00,0.00,31.1,11.2,8.72,35.5,6.16,2.08,6.72,0.24,40.0,0.08,0.56,1.12,2.96,Matches
804,Yoann Etienne\Yoann-Etienne,fr FRA,DF,Lorient,fr Ligue 1,23-350,1997,1.0,38.0,29.0,9.00,0.00,0.00,12.0,0.00,2.00,0.00,0.00,0.00,0.00,14.0,9.00,15.0,21.0,3.00,3.00,9.00,1.00,24.0,0.00,4.00,2.00,2.00,Matches
805,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,es La Liga,33-185,1987,9.8,29.5,28.0,1.53,1.43,0.00,3.37,1.33,0.00,0.00,0.00,0.00,0.00,15.0,3.57,10.9,9.29,15.4,3.47,0.10,0.00,19.9,0.00,1.33,0.41,0.51,Matches
806,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,33-121,1988,27.5,64.1,62.7,1.49,1.35,0.00,7.31,1.16,0.07,0.00,0.00,0.00,0.00,46.7,5.64,11.8,22.9,35.8,3.53,0.15,0.11,56.1,0.07,1.02,1.09,0.25,Matches
807,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,es La Liga,24-276,1996,24.8,41.6,39.4,2.22,0.73,0.04,7.46,1.65,1.09,1.29,0.65,0.56,0.08,26.0,6.21,9.40,6.90,30.0,3.27,0.16,0.16,30.9,0.16,1.13,1.49,1.01,Matches
808,Valentin Eysseric\Valentin-Eysseric,fr FRA,MFFW,Fiorentina,it Serie A,29-040,1992,7.3,42.5,39.3,3.15,1.10,0.00,7.40,2.33,1.92,1.64,0.82,0.55,0.00,27.5,5.07,9.86,7.53,32.7,0.82,0.41,0.14,31.2,0.14,1.23,1.10,2.05,Matches
809,Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,eng Premier League,22-309,1998,25.4,41.0,37.0,4.02,1.26,0.08,6.97,1.14,0.94,2.05,0.63,0.83,0.28,31.6,3.74,5.67,5.71,34.0,0.63,0.20,0.04,32.5,0.24,0.47,1.22,1.14,Matches
810,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,36-016,1985,32.0,28.6,18.0,10.6,2.88,0.00,1.34,0.88,0.00,0.00,0.00,0.00,0.00,8.28,1.56,18.8,1.03,21.2,0.06,0.00,3.91,17.1,0.13,1.09,0.19,0.06,Matches
811,Fabinho\Fabinho,br BRA,DFMF,Liverpool,eng Premier League,27-193,1993,23.5,74.8,73.0,1.74,1.53,0.09,6.30,1.45,0.09,0.00,0.00,0.00,0.00,61.0,5.11,8.64,4.98,65.6,2.17,0.21,0.34,68.1,0.04,0.51,0.55,0.30,Matches
812,Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,30-299,1990,16.7,51.7,40.4,11.3,0.84,0.06,4.73,0.78,1.32,0.06,0.00,0.00,0.06,27.8,10.5,13.4,13.2,23.8,2.57,10.4,0.18,39.9,0.12,1.14,1.20,1.86,Matches
813,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,fr Ligue 1,34-000,1987,9.6,83.0,73.1,9.90,3.33,0.42,10.4,4.27,1.56,5.83,2.29,2.08,0.63,53.5,10.4,19.1,11.5,66.8,2.81,0.52,0.63,65.6,0.21,1.04,1.35,1.67,Matches
814,Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,FWMF,Paris S-G,fr Ligue 1,20-109,2001,0.7,48.6,47.1,1.43,1.43,1.43,8.57,0.00,1.43,0.00,0.00,0.00,0.00,47.1,0.00,1.43,12.9,34.3,1.43,0.00,0.00,47.1,1.43,0.00,0.00,0.00,Matches
815,Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,MF,Brest,fr Ligue 1,20-109,2001,0.5,58.0,54.0,4.00,4.00,0.00,6.00,2.00,2.00,0.00,0.00,0.00,0.00,50.0,2.00,6.00,10.0,48.0,0.00,0.00,0.00,50.0,0.00,2.00,0.00,0.00,Matches
816,Wout Faes\Wout-Faes,be BEL,DF,Reims,fr Ligue 1,23-031,1998,29.2,50.4,49.4,0.99,0.86,0.03,3.97,1.75,0.00,0.00,0.00,0.00,0.00,38.6,4.18,7.64,5.75,41.1,2.50,0.14,0.10,43.9,0.14,0.82,0.72,0.31,Matches
817,Nicolò Fagioli\Nicolo-Fagioli,it ITA,MF,Juventus,it Serie A,20-081,2001,0.2,90.0,85.0,5.00,0.00,0.00,5.00,5.00,0.00,5.00,0.00,5.00,0.00,80.0,0.00,10.0,5.00,85.0,0.00,0.00,0.00,85.0,0.00,0.00,0.00,5.00,Matches
818,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,32-219,1988,16.8,39.6,27.6,12.0,3.33,0.00,2.38,1.13,0.00,0.00,0.00,0.00,0.00,20.2,1.67,17.7,3.81,28.9,0.00,0.00,5.18,27.3,0.12,0.48,0.12,0.06,Matches
819,Romain Faivre\Romain-Faivre,fr FRA,MFFW,Brest,fr Ligue 1,22-294,1998,29.3,46.8,41.5,5.29,1.81,0.10,6.25,1.71,1.40,2.87,1.50,0.61,0.31,33.3,5.77,7.65,39.0,6.04,0.78,0.34,0.07,37.2,0.17,0.68,1.37,1.23,Matches
820,Fali\Fali,es ESP,DFMF,Cádiz,es La Liga,27-265,1993,26.3,24.8,22.6,2.17,1.83,0.08,2.93,1.48,0.49,0.00,0.00,0.00,0.00,12.7,3.08,8.97,5.25,16.9,1.79,0.27,0.08,17.3,0.08,0.84,0.42,0.38,Matches
821,Iago Falque\Iago-Falque,es ESP,MFFW,Benevento,it Serie A,31-120,1990,4.0,52.0,47.3,4.75,1.50,0.25,9.50,2.25,3.50,2.25,1.00,0.50,0.50,34.0,5.00,13.0,44.0,6.75,0.50,0.50,0.00,39.0,0.00,1.00,0.50,1.50,Matches
822,Andri Fannar Baldursson\Andri-Fannar-Baldursson,is ISL,MF,Bologna,it Serie A,19-114,2002,2.3,29.1,28.7,0.43,0.43,0.00,4.35,0.43,0.00,0.00,0.00,0.00,0.00,21.7,4.35,3.04,7.39,19.6,0.87,0.00,0.00,22.6,0.00,0.87,1.30,0.00,Matches
823,Paolo Faragò\Paolo-Farago,it ITA,DFMF,Cagliari,it Serie A,28-081,1993,4.1,54.9,45.1,9.76,0.73,0.24,6.34,0.73,1.71,0.24,0.24,0.00,0.00,30.5,12.4,12.0,13.7,29.8,1.71,8.78,0.24,45.6,0.00,1.22,0.98,1.22,Matches
824,Davide Faraoni\Davide-Faraoni,it ITA,DF,Hellas Verona,it Serie A,29-191,1991,28.8,46.6,37.9,8.72,1.01,0.03,5.42,0.63,1.67,0.03,0.03,0.00,0.00,21.8,10.7,14.1,4.13,32.4,1.35,7.67,0.10,33.5,0.28,1.35,1.94,1.63,Matches
825,Mohamed Fares\Mohamed-Fares,dz ALG,DF,Lazio,it Serie A,25-078,1996,10.0,43.8,38.7,5.10,0.70,0.00,3.60,0.90,3.40,0.00,0.00,0.00,0.00,26.9,9.70,7.20,32.7,4.80,0.90,4.40,0.30,33.8,0.10,0.70,0.50,2.00,Matches
826,Diego Farias\Diego-Farias,br BRA,FW,Spezia,it Serie A,30-359,1990,15.2,38.9,38.1,0.79,0.26,0.13,6.78,0.99,1.45,0.26,0.00,0.07,0.00,30.7,4.61,3.55,2.96,34.4,0.72,0.26,0.26,31.4,0.20,0.20,1.45,1.32,Matches
827,Wuilker Faríñez\Wuilker-Farinez,ve VEN,GK,Lens,fr Ligue 1,23-078,1998,1.2,22.5,14.2,8.33,0.83,0.00,0.83,0.83,0.00,0.00,0.00,0.00,0.00,11.7,0.00,10.8,1.67,15.0,0.00,0.00,2.50,14.2,0.00,1.67,0.83,0.00,Matches
828,Noah Fatar\Noah-Fatar,fr FRA,FWMF,Angers,fr Ligue 1,19-078,2002,0.2,45.0,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.0,0.00,5.00,40.0,5.00,0.00,0.00,0.00,35.0,0.00,0.00,0.00,0.00,Matches
829,Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,es La Liga,18-185,2002,4.8,42.7,40.8,1.88,0.21,0.21,7.29,0.00,1.04,1.04,0.63,0.00,0.00,36.9,3.13,2.71,3.13,38.1,0.42,0.21,0.63,36.3,0.00,0.00,1.04,1.46,Matches
830,Julien Faussurier\Julien-Faussurier,fr FRA,DF,Brest,fr Ligue 1,34-110,1987,8.6,56.7,44.9,11.9,0.81,0.12,4.53,3.02,3.84,0.47,0.00,0.23,0.00,27.1,12.3,17.3,3.84,39.0,2.56,10.6,0.12,43.3,0.00,1.74,0.93,2.56,Matches
831,Andrea Favilli\Andrea-Favilli,it ITA,FW,Hellas Verona,it Serie A,23-352,1997,3.8,21.6,20.3,1.32,0.00,0.00,7.89,0.53,0.00,0.00,0.00,0.00,0.00,13.4,5.26,2.89,12.9,5.00,1.32,0.00,0.79,15.8,0.00,0.53,0.26,0.79,Matches
832,Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,it Serie A,34-048,1987,4.5,68.2,66.2,2.00,1.56,0.22,7.11,2.00,0.44,0.00,0.00,0.00,0.00,53.1,5.78,9.33,12.2,51.3,1.78,0.44,0.00,59.8,0.00,0.89,2.00,0.89,Matches
833,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,es La Liga,27-290,1993,26.3,46.7,41.3,5.44,1.22,0.23,8.14,1.90,1.98,2.85,0.80,1.18,0.08,36.0,3.84,6.84,39.2,6.01,0.46,0.46,0.08,38.0,0.15,0.91,0.76,1.14,Matches
834,Felipe\Felipe,br BRA,DF,Atlético Madrid,es La Liga,31-353,1989,18.9,45.8,44.3,1.43,1.16,0.05,5.03,1.27,0.11,0.00,0.00,0.00,0.00,34.4,3.07,8.25,6.40,34.3,2.80,0.26,0.21,39.3,0.16,0.90,0.16,0.26,Matches
835,Luiz Felipe\Luiz-Felipe,br BRA,DF,Lazio,it Serie A,24-043,1997,8.3,49.9,47.8,2.05,1.45,0.00,2.65,0.84,0.12,0.00,0.00,0.00,0.00,41.3,3.73,4.82,6.14,40.7,1.93,0.60,0.00,45.2,0.00,0.36,0.60,0.48,Matches
836,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,de Bundesliga,23-237,1997,29.0,49.7,47.1,2.59,1.86,0.00,6.52,1.41,0.24,0.00,0.00,0.00,0.00,36.1,4.86,8.72,35.2,9.34,2.86,0.72,0.14,41.9,0.07,0.55,0.52,0.86,Matches
837,João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,es La Liga,21-175,1999,16.4,39.1,38.2,0.98,0.24,0.43,8.96,0.73,0.79,0.06,0.06,0.00,0.00,31.0,4.45,3.72,2.44,34.9,0.55,0.30,0.12,32.4,0.24,0.18,0.79,1.22,Matches
838,Zinedine Ferhat\Zinedine-Ferhat,dz ALG,MFFW,Nîmes,fr Ligue 1,28-064,1993,30.9,37.8,35.3,2.56,0.45,0.36,6.83,1.46,2.62,1.20,0.42,0.32,0.23,21.9,7.38,8.51,2.10,31.0,1.84,0.78,0.16,25.0,0.10,1.36,1.23,1.78,Matches
839,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,eng Premier League,26-238,1994,31.3,66.4,60.4,6.04,1.63,0.61,9.62,3.67,2.68,1.82,0.54,0.73,0.26,43.8,8.02,14.6,4.95,57.7,1.85,1.02,0.58,49.6,0.45,1.31,1.98,2.91,Matches
840,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MFDF,Mainz 05,de Bundesliga,25-019,1996,8.6,38.1,34.1,4.07,0.70,0.00,4.30,1.63,1.28,1.16,0.58,0.58,0.00,24.8,4.07,9.30,4.77,28.8,1.86,2.21,0.00,27.7,0.12,0.58,1.40,1.05,Matches
841,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,30-001,1991,28.0,32.0,22.7,9.36,2.36,0.00,2.21,0.89,0.00,0.00,0.00,0.00,0.00,18.6,2.18,11.2,2.32,23.5,0.11,0.00,5.25,24.2,0.04,0.57,0.36,0.11,Matches
842,Álex Fernández\Alex-Fernandez,es ESP,MF,Cádiz,es La Liga,28-201,1992,21.6,41.6,34.3,7.27,3.10,0.00,6.94,2.13,1.90,3.47,1.30,1.53,0.28,25.0,5.37,11.3,7.92,30.7,1.62,0.37,0.09,30.9,0.23,0.51,0.93,1.06,Matches
843,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,es La Liga,23-021,1998,18.0,38.1,26.8,11.3,3.33,0.00,2.83,1.00,0.00,0.00,0.00,0.00,0.00,20.7,2.33,15.1,4.11,27.7,0.00,0.00,5.17,28.0,0.44,1.11,0.11,0.06,Matches
844,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,es La Liga,34-138,1986,16.0,35.4,25.0,10.4,2.81,0.00,4.06,0.94,0.00,0.00,0.00,0.00,0.00,18.1,1.00,16.3,2.63,27.0,0.00,0.00,4.38,24.1,0.38,1.19,0.06,0.13,Matches
845,Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Cádiz,es La Liga,35-024,1986,3.3,27.3,27.0,0.30,0.30,0.00,4.55,2.12,0.00,0.00,0.00,0.00,0.00,16.1,3.33,7.88,3.33,20.9,2.42,0.00,0.30,20.9,0.00,1.21,0.30,0.61,Matches
846,Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,es La Liga,24-347,1996,1.6,24.4,23.1,1.25,0.00,0.00,3.75,0.00,1.25,0.00,0.00,0.00,0.00,18.1,4.38,1.88,13.1,6.88,1.25,0.00,1.25,18.1,0.00,0.63,0.00,0.63,Matches
847,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Real Sociedad,es La Liga,24-347,1996,4.1,27.3,26.8,0.49,0.24,0.00,9.76,0.00,0.24,0.00,0.00,0.00,0.00,17.1,6.34,3.90,16.8,4.39,2.68,0.00,0.00,18.3,0.24,0.24,0.73,1.95,Matches
848,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,eng Premier League,32-072,1989,19.1,37.3,33.8,3.51,1.47,0.00,2.67,1.68,0.52,0.00,0.00,0.00,0.00,23.9,4.82,8.59,1.62,29.8,2.83,2.04,0.26,29.4,0.21,0.79,0.63,0.73,Matches
849,Joaquín Fernández\Joaquin-Fernandez,es ESP,DF,Valladolid,es La Liga,24-338,1996,21.4,32.9,31.6,1.26,1.21,0.00,3.74,1.07,0.00,0.00,0.00,0.00,0.00,20.9,3.41,8.55,4.53,24.5,2.48,0.05,0.19,26.8,0.00,0.93,0.51,0.33,Matches
850,Fernandinho\Fernandinho,br BRA,MF,Manchester City,eng Premier League,36-000,1985,11.8,78.0,76.2,1.78,1.36,0.17,9.07,2.80,0.42,0.00,0.00,0.00,0.00,61.0,6.19,10.8,9.66,63.0,3.14,0.42,0.25,68.0,0.08,0.42,1.86,0.68,Matches
851,Fernando\Fernando,br BRA,MF,Sevilla,es La Liga,33-283,1987,25.9,54.2,52.5,1.78,1.35,0.04,6.18,1.81,0.04,0.00,0.00,0.00,0.00,42.0,5.79,6.45,5.83,43.3,3.05,0.35,0.23,49.0,0.12,0.66,0.39,0.31,Matches
852,Alex Ferrari\Alex-Ferrari,it ITA,DF,Sampdoria,it Serie A,26-307,1994,8.9,49.8,43.3,6.52,1.46,0.00,4.72,0.90,0.45,0.00,0.00,0.00,0.00,32.9,6.85,10.0,5.73,36.7,1.24,4.94,0.22,42.6,0.22,0.34,1.01,0.90,Matches
853,David Ferreiro\David-Ferreiro,es ESP,MFFW,Huesca,es La Liga,33-033,1988,24.2,38.8,32.6,6.12,2.40,0.00,6.49,2.81,4.01,3.14,1.20,1.20,0.04,20.8,4.67,13.3,4.55,31.8,1.32,0.45,0.21,24.8,0.37,1.03,0.95,1.78,Matches
854,Salvador Ferrer\Salvador-Ferrer,es ESP,DF,Spezia,it Serie A,23-103,1998,11.2,,,,,,,,4.11,,,,,,,,,,,,,,,,,,Matches
855,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Celta Vigo,es La Liga,30-051,1991,3.2,16.9,15.3,1.56,0.31,0.00,6.56,0.00,0.31,0.00,0.00,0.00,0.00,9.06,4.38,3.44,2.50,7.81,0.94,0.31,2.50,11.3,0.00,0.00,0.94,0.94,Matches
856,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Montpellier,fr Ligue 1,29-053,1992,28.0,57.5,56.1,1.39,1.18,0.07,6.93,3.14,0.50,0.04,0.00,0.00,0.04,42.0,5.86,9.64,3.43,51.5,1.54,0.18,0.25,49.3,0.18,0.54,1.00,1.25,Matches
857,Fidel\Fidel,es ESP,MFDF,Elche,es La Liga,31-189,1989,23.1,44.9,38.2,6.75,1.99,0.00,7.97,2.25,2.55,1.86,0.78,0.69,0.00,27.2,7.53,10.2,36.4,4.55,0.78,2.86,0.09,33.5,0.13,0.95,1.60,1.52,Matches
858,Sam Field\Sam-Field,eng ENG,MF,West Brom,eng Premier League,22-361,1998,0.7,32.9,32.9,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,17.1,0.00,15.7,22.9,0.00,8.57,0.00,0.00,21.4,0.00,0.00,1.43,0.00,Matches
