 
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
483,Brendan Chardonnet\Brendan-Chardonnet,fr FRA,DF,Brest,fr Ligue 1,26-133,1994,27.2,46.6,55.6,83.8,1120.7,390.0,11.3,12.4,91.1,23.8,25.5,93.1,11.3,17.0,66.3,0.04,0.03,0.01,0.18,3.57,0.55,0.07,3.20,Matches
484,Xavier Chavalerin\Xavier-Chavalerin,fr FRA,MF,Reims,fr Ligue 1,30-058,1991,25.3,29.0,35.0,82.9,534.9,164.2,13.5,15.3,88.1,11.1,12.8,87.0,3.79,5.89,64.4,0.12,0.09,0.02,0.79,2.29,0.36,0.12,2.53,Matches
485,Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MF,Dijon,fr Ligue 1,23-269,1997,12.1,44.2,50.6,87.4,831.0,177.9,16.6,19.2,86.6,21.7,23.1,93.6,5.12,7.02,72.9,0.00,0.06,-0.06,0.74,3.06,0.50,0.00,3.47,Matches
486,Chema\Chema,es ESP,DFMF,Getafe,es La Liga,29-062,1992,4.0,12.8,21.8,58.6,314.3,119.3,3.00,4.75,63.2,6.00,9.25,64.9,3.50,7.25,48.3,0.00,0.03,-0.03,0.25,2.50,0.00,0.00,2.25,Matches
487,Rayan Cherki\Rayan-Cherki,fr FRA,FWMF,Lyon,fr Ligue 1,17-260,2003,6.2,34.8,43.7,79.7,597.7,141.6,18.1,21.1,85.5,11.9,14.8,80.4,4.03,5.32,75.8,0.16,0.21,-0.05,1.45,2.42,1.45,0.16,3.71,Matches
488,Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,Valencia,es La Liga,30-129,1990,11.7,17.4,27.7,62.7,316.7,103.4,8.29,10.5,78.9,6.75,10.9,62.2,2.14,4.19,51.0,0.17,0.16,0.01,1.20,1.71,1.20,0.43,2.99,Matches
489,Giorgio Chiellini\Giorgio-Chiellini,it ITA,DF,Juventus,it Serie A,36-263,1984,12.8,67.6,73.7,91.7,1473.8,418.4,16.7,17.3,96.8,39.4,41.3,95.3,11.1,14.2,78.0,0.08,0.00,0.08,0.00,4.92,0.08,0.00,3.20,Matches
490,Federico Chiesa\Federico-Chiesa,it ITA,DF,Fiorentina,it Serie A,23-191,1997,2.7,33.7,43.7,77.1,664.8,217.8,16.3,18.5,88.0,11.1,14.1,78.9,5.93,8.52,69.6,0.37,0.30,0.07,1.85,2.22,2.22,1.85,1.85,Matches
491,Federico Chiesa\Federico-Chiesa,it ITA,MFDF,Juventus,it Serie A,23-191,1997,21.4,26.2,34.0,76.9,469.9,143.6,12.6,14.8,84.9,9.91,12.6,78.8,3.22,4.95,65.1,0.33,0.29,0.04,1.96,1.78,1.82,0.79,3.41,Matches
492,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,eng Premier League,24-134,1996,22.4,56.8,72.1,78.8,968.4,326.3,28.3,31.2,91.0,22.1,27.1,81.4,5.09,10.5,48.3,0.22,0.09,0.13,1.07,3.66,0.98,0.40,5.13,Matches
493,Vlad Chiricheș\Vlad-Chiriches,ro ROU,DF,Sassuolo,it Serie A,31-171,1989,17.0,72.7,77.7,93.6,1410.3,380.5,26.3,27.6,95.1,37.3,39.1,95.5,8.47,10.1,84.2,0.06,0.04,0.02,0.35,3.29,0.12,0.00,1.88,Matches
494,Pedro Chirivella\Pedro-Chirivella,es ESP,MF,Nantes,fr Ligue 1,23-346,1997,22.3,40.7,48.7,83.6,778.4,186.8,16.1,18.0,89.5,18.9,21.1,89.4,5.02,8.07,62.2,0.09,0.04,0.05,0.58,4.75,0.54,0.09,3.81,Matches
495,Tahith Chong\Tahith-Chong,nl NED,FWMF,Werder Bremen,de Bundesliga,21-151,1999,4.3,20.0,31.6,63.2,321.6,109.1,11.6,16.0,72.5,5.35,8.37,63.9,2.09,3.26,64.3,0.23,0.12,0.12,1.16,1.63,0.70,0.47,1.63,Matches
496,Joris Chotard\Joris-Chotard,fr FRA,MF,Montpellier,fr Ligue 1,19-222,2001,11.6,19.9,27.7,72.0,400.0,129.4,8.71,11.0,78.9,7.33,9.57,76.6,3.62,6.21,58.3,0.00,0.03,-0.03,0.60,1.81,0.34,0.17,1.90,Matches
497,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,eng Premier League,23-215,1997,3.4,55.0,67.9,81.0,1069.1,181.2,20.9,26.2,79.8,25.9,29.7,87.1,7.35,10.0,73.5,0.00,0.00,0.00,0.00,3.82,0.00,0.00,2.35,Matches
498,Mounir Chouiar\Mounir-Chouiar,fr FRA,FWMF,Dijon,fr Ligue 1,22-101,1999,13.1,25.7,34.4,74.7,445.9,136.6,14.0,16.8,83.6,7.56,9.39,80.5,3.66,6.18,59.3,0.15,0.15,0.00,2.06,1.37,0.61,0.00,2.67,Matches
499,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,eng Premier League,25-024,1996,14.7,67.2,72.5,92.7,1421.7,385.3,19.5,20.9,93.2,36.6,38.4,95.2,10.7,12.4,86.3,0.00,0.03,-0.03,0.41,2.99,0.20,0.00,3.13,Matches
500,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,es La Liga,21-347,1999,15.2,26.1,35.0,74.6,436.7,104.3,12.4,15.0,82.9,11.5,14.9,77.1,1.71,3.42,50.0,0.13,0.17,-0.04,1.84,1.05,1.97,0.39,3.09,Matches
501,Darko Churlinov\Darko-Churlinov,mk MKD,DFFW,Stuttgart,de Bundesliga,20-297,2000,1.6,35.6,45.0,79.2,521.9,114.4,20.0,21.9,91.4,11.9,15.0,79.2,3.13,6.25,50.0,0.00,0.00,0.00,0.00,0.00,3.13,0.00,5.00,Matches
502,Víctor Chust\Victor-Chust,es ESP,DF,Real Madrid,es La Liga,21-060,2000,1.1,59.1,63.6,92.9,1321.8,394.5,12.7,13.6,93.3,35.5,35.5,100.0,10.0,13.6,73.3,0.00,0.00,0.00,0.00,4.55,0.00,0.00,1.82,Matches
503,Sébastien Cibois\Sebastien-Cibois,fr FRA,GK,Brest,fr Ligue 1,23-063,1998,3.0,21.3,30.0,71.1,664.7,379.7,2.67,2.67,100.0,9.33,9.67,96.6,9.33,17.7,52.8,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.33,Matches
504,Cifu\Cifu,es ESP,DF,Elche,es La Liga,30-211,1990,4.9,30.8,42.4,72.6,513.9,190.4,15.7,18.0,87.5,11.2,15.7,71.4,3.27,5.92,55.2,0.00,0.00,0.00,0.00,1.63,0.00,0.00,1.43,Matches
505,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,es La Liga,41-340,1979,2.0,15.5,34.5,44.9,836.5,684.0,0.50,0.50,100.0,1.50,1.50,100.0,13.5,32.5,41.5,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,Matches
506,Luca Cigarini\Luca-Cigarini,it ITA,MF,Crotone,it Serie A,34-318,1986,7.1,61.3,72.8,84.1,1336.9,456.1,20.6,22.1,93.0,28.3,31.5,89.7,11.8,17.3,68.3,0.00,0.10,-0.10,1.27,8.59,0.56,0.00,7.61,Matches
507,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,es La Liga,32-012,1989,6.0,19.3,30.2,64.1,657.8,459.5,4.50,4.50,100.0,5.33,5.33,100.0,9.00,19.8,45.4,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,Matches
508,Antonio Cioffi\Antonio-Cioffi,it ITA,FW,Napoli,it Serie A,18-136,2002,0.1,100.0,110.0,90.9,1300.0,130.0,70.0,70.0,100.0,30.0,30.0,100.0,0.00,0.00,,0.00,1.00,-1.00,10.0,0.00,10.0,0.00,10.0,Matches
509,Tim Civeja\Tim-Civeja,de GER,MFDF,Augsburg,de Bundesliga,19-120,2002,0.4,40.0,60.0,66.7,765.0,220.0,20.0,30.0,66.7,7.50,15.0,50.0,12.5,12.5,100.0,0.00,0.00,0.00,0.00,2.50,0.00,0.00,5.00,Matches
510,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,eng Premier League,31-220,1989,21.0,29.5,35.6,83.0,604.2,186.7,9.43,10.8,87.2,14.9,16.4,90.4,4.86,7.48,65.0,0.00,0.00,-0.00,0.10,1.67,0.10,0.00,1.67,Matches
511,Alexis Claude-Maurice\Alexis-Claude-Maurice,fr FRA,MFFW,Nice,fr Ligue 1,22-332,1998,19.8,28.8,35.7,80.8,489.6,102.0,14.8,16.9,87.5,10.4,12.5,82.7,2.88,4.70,61.3,0.10,0.13,-0.03,1.52,2.32,0.51,0.05,2.58,Matches
512,Jonathan Clauss\Jonathan-Clauss,fr FRA,DF,Lens,fr Ligue 1,28-221,1992,25.3,35.7,49.2,72.5,666.5,242.3,15.2,17.4,87.7,15.6,20.2,77.1,4.55,10.4,43.7,0.24,0.23,0.00,1.90,2.09,1.78,0.91,4.15,Matches
513,Carlos Clerc\Carlos-Clerc,es ESP,DF,Levante,es La Liga,29-072,1992,28.6,42.4,55.4,76.5,741.6,312.6,21.8,24.5,88.9,16.2,20.0,80.8,4.06,8.81,46.0,0.10,0.12,-0.01,0.80,3.08,1.26,0.56,5.14,Matches
514,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,eng Premier League,30-029,1991,12.7,34.4,44.8,76.8,543.9,216.7,18.3,20.3,89.9,12.9,16.1,80.0,2.36,5.91,40.0,0.08,0.03,0.05,0.31,1.57,1.02,0.47,1.97,Matches
515,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,eng Premier League,28-068,1993,32.7,41.6,47.6,87.4,1075.0,385.7,7.52,7.98,94.3,21.3,22.4,95.5,12.5,16.6,75.0,0.00,0.00,-0.00,0.06,1.96,0.00,0.00,1.56,Matches
516,Marcus Coco\Marcus-Coco,fr FRA,MFFW,Nantes,fr Ligue 1,24-314,1996,15.8,25.4,37.2,68.5,401.3,100.8,13.4,16.6,80.5,8.23,11.8,69.9,2.22,5.06,43.8,0.13,0.08,0.05,0.89,1.58,0.70,0.32,2.41,Matches
517,Coke\Coke,es ESP,DF,Levante,es La Liga,34-008,1987,8.1,37.2,46.2,80.5,718.0,264.1,14.8,17.0,87.0,16.9,19.4,87.3,5.31,8.27,64.2,0.00,0.01,-0.01,0.37,1.98,0.86,0.00,4.07,Matches
518,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,eng Premier League,32-205,1988,14.2,37.2,45.1,82.4,655.7,249.8,18.0,19.9,90.4,14.9,17.1,86.8,4.08,6.69,61.1,0.21,0.13,0.08,1.13,1.55,0.77,0.28,2.39,Matches
519,Ebrima Colley\Ebrima-Colley,gm GAM,FWMF,Hellas Verona,it Serie A,21-092,2000,7.5,24.0,32.8,73.2,365.1,69.9,14.3,17.2,82.9,7.87,10.8,72.8,1.20,2.13,56.3,0.00,0.09,-0.09,0.80,1.33,1.07,0.13,2.00,Matches
520,Omar Colley\Omar-Colley,gm GAM,DF,Sampdoria,it Serie A,28-192,1992,25.8,36.3,44.8,81.1,819.4,287.8,8.88,10.5,84.5,19.7,21.4,92.0,7.29,12.1,60.1,0.00,0.00,0.00,0.04,3.49,0.00,0.00,2.71,Matches
521,Simone Colombi\Simone-Colombi,it ITA,GK,Parma,it Serie A,29-307,1991,2.0,17.5,25.0,70.0,613.0,515.0,3.50,3.50,100.0,4.00,4.50,88.9,9.00,16.0,56.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
522,Lorenzo Colombo\Lorenzo-Colombo,it ITA,FW,Milan,it Serie A,19-057,2002,1.0,8.00,14.0,57.1,83.0,22.0,5.00,7.00,71.4,0.00,0.00,,1.00,2.00,50.0,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,Matches
523,Racine Coly\Racine-Coly,sn SEN,DF,Nice,fr Ligue 1,25-147,1995,0.2,90.0,100.0,90.0,805.0,235.0,80.0,80.0,100.0,10.0,15.0,66.7,0.00,5.00,0.0,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,Matches
524,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,24-325,1996,17.9,34.2,43.4,78.9,609.4,111.5,16.9,19.8,85.4,13.0,16.0,80.8,3.91,5.53,70.7,0.50,0.30,0.21,2.12,1.12,1.90,0.84,3.24,Matches
525,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,fr Ligue 1,36-029,1985,34.3,35.7,40.9,87.3,779.8,292.3,9.85,10.6,92.6,18.4,20.0,92.0,7.03,9.24,76.0,0.00,0.00,-0.00,0.12,2.19,0.03,0.00,2.30,Matches
526,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,eng Premier League,21-096,2000,8.3,8.92,11.4,77.9,131.1,19.9,4.94,6.14,80.4,3.01,3.49,86.2,0.48,0.60,80.0,0.12,0.02,0.10,0.48,0.24,0.12,0.00,0.36,Matches
527,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,34-097,1987,33.0,29.7,36.7,81.0,724.3,406.2,8.61,8.67,99.3,11.5,11.7,98.4,8.82,15.5,56.8,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.06,Matches
528,Andrea Conti\Andrea-Conti,it ITA,DF,Milan,it Serie A,27-063,1994,0.3,70.0,83.3,84.0,1386.7,503.3,20.0,23.3,85.7,46.7,53.3,87.5,3.33,6.67,50.0,0.00,0.33,-0.33,3.33,6.67,3.33,0.00,13.3,Matches
529,Andrea Conti\Andrea-Conti,it ITA,DF,Parma,it Serie A,27-063,1994,8.9,41.6,50.0,83.1,792.9,329.6,15.4,16.9,91.3,20.1,23.0,87.3,5.17,8.09,63.9,0.00,0.04,-0.04,0.79,3.37,1.12,0.45,5.39,Matches
530,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,eng Premier League,29-247,1991,22.3,57.0,65.1,87.6,1324.4,381.4,12.1,12.9,93.7,32.8,34.4,95.2,12.0,17.2,70.0,0.00,0.00,0.00,0.00,3.23,0.13,0.00,2.91,Matches
531,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Villarreal,es La Liga,29-356,1991,7.4,55.4,63.1,87.8,943.9,183.6,27.6,30.7,89.9,22.6,24.7,91.3,4.19,5.41,77.5,0.00,0.07,-0.07,0.41,3.51,0.54,0.00,2.57,Matches
532,Sébastien Corchia\Sebastien-Corchia,fr FRA,DF,Nantes,fr Ligue 1,30-184,1990,20.0,30.1,43.2,69.8,528.1,267.6,13.8,15.6,88.1,13.1,16.7,78.4,2.60,8.25,31.5,0.05,0.07,-0.03,1.10,1.75,0.60,0.35,3.15,Matches
533,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,38-123,1983,34.0,29.5,40.4,73.0,818.4,522.3,6.94,6.97,99.6,11.9,12.2,96.9,10.5,20.9,50.1,0.00,0.00,0.00,0.03,0.26,0.00,0.00,0.03,Matches
534,Iñigo Córdoba\Inigo-Cordoba,es ESP,FWMF,Athletic Club,es La Liga,24-052,1997,1.1,15.5,32.7,47.2,200.0,88.2,8.18,15.5,52.9,5.45,9.09,60.0,0.00,5.45,0.0,0.00,0.00,0.00,0.00,0.00,0.91,0.00,1.82,Matches
535,Iñigo Córdoba\Inigo-Cordoba,es ESP,MF,Alavés,es La Liga,24-052,1997,2.4,20.4,32.1,63.6,362.9,152.9,7.50,10.8,69.2,8.33,12.1,69.0,2.92,5.42,53.8,0.00,0.13,-0.13,1.25,0.42,1.67,0.83,2.08,Matches
536,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Hertha BSC,de Bundesliga,27-358,1993,15.8,14.1,18.5,76.1,234.1,29.2,7.03,8.48,82.8,4.81,6.39,75.2,1.58,1.90,83.3,0.06,0.11,-0.04,1.27,0.51,0.32,0.19,0.82,Matches
537,Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Arminia,de Bundesliga,23-268,1997,12.1,14.9,22.1,67.4,216.4,53.4,8.68,10.7,80.8,4.30,6.61,65.0,1.07,2.15,50.0,0.08,0.10,-0.02,1.24,1.49,0.17,0.00,1.57,Matches
538,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,eng Premier League,31-313,1989,11.2,27.1,33.3,81.5,444.1,84.0,13.5,15.6,86.3,9.64,10.5,91.5,2.86,4.55,62.7,0.00,0.02,-0.02,0.45,2.59,0.18,0.00,1.88,Matches
539,Andreas Cornelius\Andreas-Cornelius,dk DEN,FW,Parma,it Serie A,28-049,1993,18.2,18.8,27.0,69.9,301.5,49.5,10.5,14.1,74.7,5.88,8.24,71.3,1.92,2.75,70.0,0.22,0.15,0.07,1.10,1.48,0.55,0.11,1.76,Matches
540,Maxwel Cornet\Maxwel-Cornet,ci CIV,DFFW,Lyon,fr Ligue 1,24-219,1996,24.2,48.2,61.1,79.0,809.9,316.7,25.3,27.9,90.7,18.5,24.0,77.0,3.88,7.15,54.3,0.21,0.14,0.07,0.99,3.02,0.87,0.45,4.17,Matches
541,Ángel Correa\Angel-Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,26-056,1995,23.2,26.9,34.2,78.8,379.5,78.1,16.1,19.1,84.6,7.80,9.48,82.3,1.51,3.23,46.7,0.34,0.21,0.14,1.21,1.38,1.21,0.09,2.41,Matches
542,Joaquín Correa\Joaquin-Correa,ar ARG,FW,Lazio,it Serie A,26-264,1994,19.9,28.3,34.3,82.6,459.8,84.1,14.8,16.6,88.8,9.40,11.2,84.2,2.91,3.92,74.4,0.15,0.09,0.06,1.31,1.91,1.01,0.00,2.46,Matches
543,Rober Correa\Rober-Correa,es ESP,DF,Eibar,es La Liga,28-226,1992,9.0,29.6,44.3,66.7,557.6,207.0,13.2,16.1,82.1,11.3,17.2,65.8,4.56,9.44,48.2,0.00,0.03,-0.03,0.56,2.56,0.56,0.44,2.11,Matches
544,Félix Correia\Felix-Correia,pt POR,MF,Juventus,it Serie A,20-102,2001,0.1,70.0,80.0,87.5,970.0,370.0,30.0,40.0,75.0,30.0,30.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,10.0,0.00,0.00,10.0,Matches
545,Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,es La Liga,22-056,1999,20.2,39.1,51.2,76.3,758.6,274.7,16.0,18.5,86.9,16.5,20.5,80.2,5.89,9.90,59.5,0.05,0.06,-0.01,0.74,2.08,1.19,0.74,2.52,Matches
546,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,37-173,1983,6.0,41.5,47.8,86.8,1050.5,558.3,9.83,9.83,100.0,18.8,19.0,99.1,11.8,18.0,65.7,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,Matches
547,Danny da Costa\Danny-da-Costa,de GER,DF,Mainz 05,de Bundesliga,27-295,1993,11.0,23.1,38.2,60.5,496.5,261.8,7.55,10.1,74.8,11.5,18.1,63.3,4.00,8.91,44.9,0.09,0.15,-0.05,1.18,2.36,1.91,0.64,4.45,Matches
548,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,de Bundesliga,27-295,1993,1.2,28.3,40.8,69.4,461.7,245.0,13.3,15.8,84.2,12.5,17.5,71.4,2.50,5.00,50.0,0.00,0.00,0.00,0.00,1.67,2.50,0.83,5.00,Matches
549,David Pereira da Costa\David-Pereira-da-Costa,pt POR,MFFW,Lens,fr Ligue 1,20-119,2001,1.6,25.0,33.8,74.1,508.1,107.5,6.88,9.38,73.3,13.8,14.4,95.7,3.13,6.88,45.5,0.63,0.00,0.63,1.25,2.50,1.25,0.00,3.13,Matches
550,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,es La Liga,32-209,1988,2.3,24.3,31.7,76.7,348.3,33.5,17.0,20.9,81.3,4.78,6.52,73.3,1.74,1.74,100.0,0.00,0.13,-0.13,1.74,0.43,1.74,0.00,1.74,Matches
551,Douglas Costa\Douglas-Costa,br BRA,MFFW,Juventus,it Serie A,30-232,1990,0.5,40.0,54.0,74.1,608.0,170.0,24.0,28.0,85.7,14.0,18.0,77.8,2.00,6.00,33.3,0.00,0.00,0.00,2.00,2.00,0.00,0.00,2.00,Matches
552,Douglas Costa\Douglas-Costa,br BRA,FWMF,Bayern Munich,de Bundesliga,30-232,1990,3.6,35.8,51.9,69.0,695.8,224.4,15.3,19.2,79.7,12.2,15.8,77.2,7.22,11.7,61.9,0.28,0.19,0.08,1.67,3.89,1.94,0.28,5.56,Matches
553,Hélder Costa\Helder-Costa,pt POR,MFFW,Leeds United,eng Premier League,27-112,1994,12.8,19.0,25.7,73.9,258.5,69.8,12.4,14.1,87.8,5.31,7.27,73.1,0.55,1.80,30.4,0.23,0.07,0.16,0.70,0.55,1.02,0.31,1.25,Matches
554,Jaume Costa\Jaume-Costa,es ESP,DFMF,Villarreal,es La Liga,33-047,1988,3.8,51.1,60.5,84.3,947.1,351.6,23.2,26.1,88.9,22.4,25.3,88.5,5.26,8.16,64.5,0.26,0.08,0.18,1.32,2.37,1.32,0.26,2.37,Matches
555,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33-305,1987,35.0,24.9,35.4,70.4,825.2,559.8,3.46,3.46,100.0,10.0,10.3,97.5,11.3,21.5,52.7,0.00,0.00,0.00,0.00,0.31,0.03,0.00,0.03,Matches
556,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,eng Premier League,28-255,1992,29.9,34.7,49.5,70.1,594.9,297.0,16.6,19.0,87.5,14.0,19.2,72.9,3.41,8.56,39.8,0.20,0.14,0.06,1.34,2.31,1.14,0.64,3.61,Matches
557,Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,29-256,1991,8.6,15.0,25.1,59.7,196.5,43.4,9.42,14.9,63.3,3.60,6.16,58.5,0.47,1.28,36.4,0.00,0.02,-0.02,0.70,1.28,0.47,0.12,1.86,Matches
558,Lassana Coulibaly\Lassana-Coulibaly,ml MLI,MFFW,Angers,fr Ligue 1,25-024,1996,18.7,31.0,36.4,85.0,588.2,131.2,12.9,14.0,92.4,13.1,14.8,88.4,4.44,5.83,76.1,0.05,0.07,-0.02,0.43,2.78,0.16,0.05,2.35,Matches
559,Mamadou Coulibaly\Mamadou-Coulibaly,sn SEN,MF,Udinese,it Serie A,22-090,1999,2.0,31.5,41.0,76.8,584.5,161.0,16.0,18.5,86.5,10.0,12.5,80.0,4.50,6.00,75.0,0.00,0.05,-0.05,1.00,5.00,1.50,0.50,4.50,Matches
560,Senou Coulibaly\Senou-Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,26-242,1994,19.5,37.1,45.2,82.2,847.8,303.8,9.08,9.90,91.7,19.1,21.3,89.7,8.67,13.1,66.0,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.74,Matches
561,Tanguy Coulibaly\Tanguy-Coulibaly,fr FRA,DFFW,Stuttgart,de Bundesliga,20-075,2001,16.3,20.5,27.8,73.7,318.3,82.3,11.4,14.2,80.5,6.93,8.71,79.6,1.35,2.76,48.9,0.06,0.11,-0.05,0.86,0.61,0.80,0.43,2.09,Matches
562,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,28-358,1992,34.0,28.2,34.5,81.7,753.4,388.8,4.15,4.21,98.6,16.3,16.4,99.6,7.62,13.8,55.2,0.00,0.00,0.00,0.00,0.26,0.03,0.00,0.00,Matches
563,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Barcelona,es La Liga,28-326,1992,7.3,62.2,71.6,86.8,952.2,202.2,35.2,38.4,91.8,21.6,24.5,88.3,3.97,6.58,60.4,0.27,0.12,0.15,0.96,5.48,2.05,0.27,6.03,Matches
564,Nicolas Cozza\Nicolas-Cozza,fr FRA,DF,Montpellier,fr Ligue 1,22-116,1999,13.3,32.1,40.2,79.8,637.4,291.1,11.4,12.9,88.4,15.9,18.7,85.1,4.51,7.29,61.9,0.00,0.02,-0.02,0.30,2.63,0.45,0.15,3.16,Matches
565,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,26-310,1994,30.0,20.2,29.1,69.4,601.5,420.4,5.40,5.40,100.0,6.23,6.27,99.5,8.30,17.1,48.6,0.00,0.01,-0.01,0.03,0.10,0.00,0.00,0.00,Matches
566,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,eng Premier League,31-140,1989,31.6,43.4,58.0,74.9,874.9,420.0,18.3,20.5,89.2,17.4,20.6,84.6,7.22,14.8,48.6,0.22,0.15,0.07,1.55,3.92,0.66,0.44,3.48,Matches
567,Domenico Criscito\Domenico-Criscito,it ITA,DF,Genoa,it Serie A,34-125,1986,19.2,44.7,54.8,81.6,952.4,350.3,14.4,16.1,89.6,22.6,25.4,89.1,7.34,12.6,58.5,0.00,0.02,-0.02,0.31,3.91,0.47,0.05,4.17,Matches
568,Bryan Cristante\Bryan-Cristante,it ITA,DFMF,Roma,it Serie A,26-062,1995,20.2,54.0,64.5,83.7,1220.4,400.6,15.2,17.0,89.2,27.3,29.8,91.7,11.2,16.6,67.3,0.10,0.03,0.06,0.50,4.70,0.74,0.05,4.80,Matches
569,Giovanni Crociata\Giovanni-Crociata,it ITA,DFMF,Crotone,it Serie A,23-266,1997,0.3,36.7,53.3,68.8,600.0,243.3,16.7,16.7,100.0,20.0,30.0,66.7,0.00,3.33,0.0,0.00,0.67,-0.67,3.33,6.67,3.33,3.33,6.67,Matches
570,Juan Cruz Armada\Juan-Cruz-Armada,es ESP,DF,Osasuna,es La Liga,28-280,1992,20.0,27.6,39.5,69.7,511.1,274.1,11.9,14.3,83.9,11.9,16.3,73.3,3.35,7.15,46.9,0.00,0.01,-0.01,0.50,2.05,0.50,0.30,2.35,Matches
571,Juan Cuadrado\Juan-Cuadrado,co COL,DFMF,Juventus,it Serie A,32-343,1988,21.1,62.4,74.8,83.5,1263.3,367.4,22.0,24.9,88.6,30.2,33.2,91.1,9.67,15.2,63.8,0.47,0.29,0.18,2.27,3.18,1.47,0.24,6.26,Matches
572,Adrián Cubas\Adrian-Cubas,py PAR,MF,Nîmes,fr Ligue 1,24-347,1996,22.0,34.5,41.9,82.3,724.0,188.4,11.8,13.6,86.6,15.5,17.8,87.0,6.50,9.05,71.9,0.00,0.03,-0.03,0.36,2.32,0.27,0.00,2.68,Matches
573,Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,es ESP,MF,Eibar,es La Liga,21-241,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
574,Cucho\Cucho,co COL,FWMF,Getafe,es La Liga,22-014,1999,15.8,21.1,31.8,66.3,328.2,89.4,12.0,15.6,76.5,6.14,10.1,61.0,1.90,3.48,54.5,0.19,0.07,0.12,1.01,1.33,1.01,0.19,2.22,Matches
575,Marc Cucurella\Marc-Cucurella,es ESP,MF,Getafe,es La Liga,22-286,1998,32.3,25.9,36.7,70.8,419.0,142.0,14.5,17.6,81.9,8.76,12.1,72.4,2.14,4.86,43.9,0.03,0.09,-0.06,1.02,2.01,0.99,0.31,3.03,Matches
576,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,Marseille,fr Ligue 1,21-261,1999,11.4,38.8,45.2,85.8,666.1,131.7,20.5,22.2,92.5,13.1,15.0,87.1,4.39,6.14,71.4,0.09,0.06,0.03,0.70,3.68,0.79,0.00,3.07,Matches
