 
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
162,Milan Badelj\Milan-Badelj,hr CRO,MF,Genoa,it Serie A,32-068,1989,25.4,49.1,60.0,81.8,1016.9,294.8,18.0,20.3,88.7,21.9,25.4,86.0,8.74,12.8,68.3,0.12,0.11,0.01,1.02,5.16,0.91,0.08,5.59,Matches
163,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,29-081,1992,30.0,28.9,38.2,75.6,903.7,587.3,4.17,4.20,99.2,11.8,11.9,99.2,11.8,21.0,56.1,0.00,0.00,0.00,0.03,0.40,0.00,0.00,0.03,Matches
164,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,es La Liga,19-288,2001,1.4,27.1,36.4,74.5,447.9,78.6,12.1,15.7,77.3,13.6,17.9,76.0,1.43,2.86,50.0,0.00,0.07,-0.07,1.43,2.14,0.71,0.00,2.14,Matches
165,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,es La Liga,21-038,2000,5.8,29.1,35.9,81.3,488.8,112.4,14.7,17.4,84.2,10.0,11.7,85.3,3.28,4.66,70.4,0.00,0.10,-0.10,1.03,1.90,1.03,0.34,2.24,Matches
166,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,28-341,1992,16.7,14.5,20.3,71.4,211.1,33.1,8.26,11.0,75.4,4.49,5.75,78.1,1.02,1.44,70.8,0.06,0.07,-0.01,0.72,0.78,0.36,0.12,0.90,Matches
167,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,23-268,1997,23.3,28.4,40.5,70.2,512.2,114.3,15.2,17.6,86.3,8.24,11.8,69.8,4.29,8.45,50.8,0.34,0.26,0.09,2.10,1.03,1.46,0.60,2.40,Matches
168,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27-022,1994,7.1,48.3,53.8,89.8,1007.2,320.6,13.7,14.8,92.4,27.6,29.7,92.9,6.90,9.01,76.6,0.00,0.00,0.00,0.00,3.38,0.00,0.00,3.24,Matches
169,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19-132,2001,1.0,22.0,36.0,61.1,575.0,296.0,5.00,5.00,100.0,11.0,11.0,100.0,6.00,20.0,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
170,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Napoli,it Serie A,26-260,1994,19.0,51.1,56.2,90.8,942.6,198.4,21.8,23.9,91.2,21.0,22.3,94.3,7.05,8.05,87.6,0.05,0.04,0.01,0.47,4.21,0.42,0.00,3.37,Matches
171,Mitchel Bakker\Mitchel-Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20-318,2000,17.8,63.2,71.3,88.7,941.2,273.2,38.6,40.7,94.8,21.3,24.2,88.4,2.53,4.66,54.2,0.11,0.10,0.01,0.84,3.76,1.24,0.67,3.54,Matches
