,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,65.9,3.48,19.0,31.6,19.0,1.79,52.3,0.65,1.29,50.0,0.65,0.07,35.8,190.3,105.2,5.66,1.65,0.43,0.75,0.57,38.7,35.6,92.1,2.04,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,59.3,4.94,22.3,25.1,16.5,1.44,50.6,1.36,2.61,52.1,1.53,0.06,36.7,219.8,121.8,5.67,1.56,0.64,1.08,1.33,38.9,34.6,88.9,1.92,Matches
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,66.3,9.14,40.4,28.6,2.18,0.96,63.6,0.75,0.93,80.8,0.75,0.00,42.9,260.1,143.9,2.04,0.32,0.00,0.43,0.29,45.2,44.1,97.6,0.96,Matches
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,36.5,0.59,5.29,12.9,19.4,5.88,36.5,1.18,2.35,50.0,1.76,0.59,21.8,99.4,53.5,2.94,0.59,1.18,3.53,1.18,45.3,22.9,50.6,6.47,Matches
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,58.2,1.09,10.4,37.3,14.0,0.99,54.0,0.59,1.09,54.5,0.59,0.00,38.7,196.6,97.3,3.51,1.04,0.10,0.69,1.29,42.3,37.6,88.9,2.08,Matches
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,30.1,1.01,2.61,15.7,13.8,3.33,28.4,2.32,3.04,76.2,2.32,0.00,19.7,83.2,40.4,2.03,0.00,0.58,3.62,1.74,44.8,20.6,46.0,8.26,Matches
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,57.1,5.74,25.6,31.3,4.63,0.59,54.4,0.48,0.59,81.8,0.59,0.05,35.2,208.3,119.3,3.88,1.12,0.05,0.32,0.11,34.0,32.9,96.9,0.53,Matches
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,30.0,1.26,2.40,14.4,14.3,6.71,28.0,0.85,1.46,58.3,0.89,0.00,17.4,66.1,33.6,2.07,0.49,0.57,2.89,1.91,43.7,20.1,46.0,9.23,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,59.2,2.84,19.1,34.6,8.65,0.41,57.2,0.95,1.35,70.0,0.95,0.00,39.3,181.6,68.1,2.43,0.95,0.14,1.08,1.08,38.9,35.3,90.6,1.35,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,67.4,10.5,34.4,33.0,5.75,0.97,65.2,0.43,0.48,88.2,0.43,0.00,44.4,324.0,174.5,4.59,0.91,0.00,0.23,0.20,46.8,45.6,97.5,0.88,Matches
11,Che Adams\Che-Adams,sco SCO,FW,Southampton,eng Premier League,23,1996,12.3,35.9,0.81,2.85,16.6,19.1,5.53,35.2,1.22,2.20,55.6,1.22,0.08,25.0,109.6,52.0,3.01,1.22,0.89,3.58,2.36,53.4,25.6,47.9,12.0,Matches
