,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
12,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20,1999,10.6,76.7,1.89,19.4,42.7,18.5,1.23,69.5,0.57,1.04,54.5,0.57,0.00,47.3,223.1,101.5,3.87,0.94,0.09,0.85,1.23,56.8,52.3,92.0,2.92,Matches
13,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,37.2,0.84,3.49,16.1,19.8,5.54,35.8,1.33,2.89,45.8,1.57,0.00,24.8,140.4,72.7,3.37,0.84,0.96,3.01,2.41,48.7,25.5,52.5,11.4,Matches
14,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,23.3,13.3,20.0,3.33,0.00,0.00,20.0,0.00,0.00,,0.00,0.00,6.67,16.7,16.7,0.00,0.00,0.00,0.00,0.00,3.33,3.33,100.0,0.00,Matches
15,Bobby Adekanye\Bobby-Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,33.3,0.00,4.29,16.7,14.3,6.19,32.4,1.90,1.90,100.0,1.90,0.00,25.7,167.6,96.2,4.29,0.95,2.86,2.38,1.90,39.0,23.8,61.0,8.10,Matches
16,Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,43.1,5.38,13.5,20.0,14.2,2.69,37.7,0.38,1.15,33.3,0.77,0.00,25.4,123.8,55.8,2.31,0.38,0.38,1.92,0.38,29.2,24.2,82.9,5.00,Matches
17,Amine Adli\Amine-Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,66.0,0.00,6.00,40.0,28.0,2.00,56.0,6.00,8.00,75.0,6.00,0.00,50.0,352.0,214.0,12.0,0.00,0.00,6.00,2.00,52.0,46.0,88.5,4.00,Matches
18,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,11.3,65.0,1.15,6.46,45.3,18.6,1.15,61.5,2.12,3.72,57.1,2.48,0.27,49.0,237.6,141.8,8.05,3.01,0.27,2.39,2.83,54.2,48.6,89.7,5.13,Matches
19,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,34.8,31.0,34.8,0.00,0.00,0.00,25.2,0.00,0.00,,0.00,0.00,16.8,66.1,36.6,0.00,0.00,0.00,0.00,0.00,16.0,15.9,99.4,0.00,Matches
20,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,35.7,0.87,3.04,17.0,17.0,4.78,35.2,0.87,0.87,100.0,0.87,0.00,14.3,50.0,13.5,0.43,0.43,0.00,1.74,0.87,50.9,27.8,54.7,9.57,Matches
21,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,58.8,4.08,19.3,26.8,16.5,0.70,48.0,1.29,2.24,57.8,1.49,0.00,34.9,210.5,110.2,5.02,1.69,0.25,1.09,0.90,33.1,29.8,90.1,1.09,Matches
22,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,52.8,3.56,17.0,29.0,9.57,0.39,42.3,0.60,1.12,53.8,0.69,0.13,27.3,126.1,72.7,2.70,0.73,0.09,0.86,0.73,29.1,26.1,89.8,0.90,Matches
23,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,60.0,1.25,15.0,31.3,15.0,0.00,60.0,0.00,0.00,,0.00,0.00,40.0,171.3,61.3,1.25,0.00,0.00,0.00,2.50,38.8,36.3,93.5,3.75,Matches
24,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,67.1,0.00,12.9,31.4,28.6,2.86,67.1,2.86,2.86,100.0,2.86,0.00,47.1,292.9,150.0,10.0,1.43,1.43,0.00,2.86,57.1,45.7,80.0,11.4,Matches
25,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,54.3,0.81,11.1,29.3,19.9,2.70,53.5,2.84,4.46,63.6,3.11,0.00,44.1,305.0,197.8,8.24,2.43,0.95,1.62,1.76,47.0,38.5,81.9,3.78,Matches
26,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,67.6,8.87,42.4,27.5,1.23,0.66,66.0,0.09,0.19,50.0,0.09,0.00,42.7,193.0,98.1,1.04,0.09,0.00,0.28,0.47,45.0,44.2,98.3,0.28,Matches
27,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,35.5,0.12,1.30,13.0,23.8,9.57,34.2,1.68,2.80,60.0,1.74,0.12,26.6,109.2,55.3,4.04,1.24,0.99,1.49,2.55,48.4,28.0,57.7,11.2,Matches
28,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,77.8,2.94,18.9,39.1,24.5,1.85,68.6,1.26,2.18,57.7,1.43,0.00,52.4,238.4,143.6,7.06,1.76,0.25,0.67,1.26,54.5,50.5,92.6,3.28,Matches
29,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,2.6,49.6,3.46,12.3,32.7,10.0,0.38,49.2,0.00,0.38,0.0,0.00,0.00,36.5,221.9,88.1,4.23,1.54,0.00,1.54,1.15,44.6,34.6,77.6,1.54,Matches
30,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,58.4,2.14,12.4,39.6,10.0,1.71,57.9,1.43,1.86,76.9,1.71,0.00,39.6,188.6,90.3,4.71,1.00,0.00,1.86,1.43,43.7,38.4,87.9,3.29,Matches
31,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,54.6,7.66,30.0,25.6,1.80,0.40,53.1,0.40,0.54,73.3,0.43,0.00,34.6,184.9,80.2,2.09,0.36,0.00,0.18,0.29,34.3,33.6,97.9,0.36,Matches
32,Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,63.9,3.29,18.7,31.5,18.7,1.43,53.8,2.42,4.07,59.6,2.55,0.04,39.9,240.0,147.1,6.49,2.08,0.26,0.87,1.17,40.6,37.0,91.2,2.25,Matches
33,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,78.8,2.00,13.5,60.8,7.83,0.17,77.7,1.00,2.00,50.0,1.17,0.00,56.7,209.5,104.7,4.67,1.00,0.00,1.17,1.00,61.5,58.2,94.6,1.67,Matches
34,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,70.1,2.82,21.8,34.6,18.9,1.13,59.6,1.34,2.89,46.3,1.55,0.14,43.5,217.8,134.9,6.27,2.18,0.28,1.41,1.41,42.9,39.8,92.8,2.04,Matches
35,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,eng Premier League,22,1997,1.5,22.0,0.00,0.67,6.00,16.0,6.00,21.3,0.00,0.00,,0.00,0.00,10.7,28.0,5.33,0.00,0.00,0.00,3.33,2.00,42.7,16.0,37.5,8.00,Matches
36,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,33.0,0.96,2.27,18.1,13.8,4.80,31.9,0.61,1.18,51.9,0.66,0.04,17.6,64.1,28.1,1.62,0.31,0.44,3.19,1.00,42.7,25.3,59.4,9.08,Matches
37,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,84.1,9.14,44.6,42.3,3.19,0.58,81.4,0.31,0.47,66.7,0.35,0.04,61.8,348.6,179.0,4.28,0.58,0.00,0.39,0.23,65.5,64.5,98.5,0.74,Matches
38,Marley Aké\Marley-Ake,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,39.1,0.91,7.27,18.2,15.5,1.82,37.3,2.73,3.64,75.0,2.73,0.00,31.8,166.4,77.3,5.45,0.00,0.00,1.82,1.82,41.8,25.5,60.9,7.27,Matches
39,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,54.2,9.96,33.2,21.4,3.09,1.22,52.3,0.18,0.18,100.0,0.18,0.00,30.4,185.5,103.2,1.69,0.29,0.00,0.25,0.18,34.1,32.4,94.9,0.90,Matches
40,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6.0,46.8,0.83,8.33,24.3,17.5,2.50,46.3,1.83,3.17,57.9,2.00,0.00,37.3,146.8,87.5,6.00,2.00,1.00,1.00,2.33,42.7,32.7,76.6,6.00,Matches
41,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,71.5,11.6,41.5,32.0,2.44,0.08,69.4,0.24,0.31,75.0,0.24,0.00,49.0,235.0,130.3,2.83,0.79,0.00,0.24,0.87,50.2,48.7,97.2,0.24,Matches
42,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,95.8,6.98,38.4,57.2,8.92,0.50,91.9,0.22,0.36,60.0,0.25,0.00,72.9,497.2,272.5,8.24,1.33,0.07,0.32,0.14,75.5,74.4,98.5,0.94,Matches
43,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,63.6,2.76,19.8,30.1,18.1,1.60,51.4,1.28,2.18,58.8,1.28,0.13,34.6,178.3,114.2,3.59,1.22,0.45,0.90,0.77,35.8,32.6,91.2,1.22,Matches
44,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,35.8,0.46,2.00,17.0,18.9,6.85,33.5,1.23,1.62,76.2,1.31,0.08,21.8,80.5,22.8,1.31,0.38,0.54,2.77,1.62,50.4,26.8,53.3,13.5,Matches
45,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,95.6,3.13,19.5,46.0,34.2,2.67,87.4,0.41,0.78,52.6,0.49,0.08,66.5,253.2,129.8,5.88,1.11,0.41,0.41,0.29,78.5,72.5,92.4,4.49,Matches
46,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,77.0,0.61,9.65,42.3,34.6,3.15,69.0,2.08,3.03,68.6,2.20,0.12,60.0,413.2,277.0,12.5,5.72,0.90,1.42,1.79,62.1,56.2,90.4,5.61,Matches
47,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,62.8,11.2,38.0,26.9,1.42,0.58,61.4,0.08,0.08,100.0,0.08,0.00,36.8,216.8,123.7,1.97,0.14,0.03,0.03,0.03,41.9,41.4,98.9,0.31,Matches
48,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,64.8,1.35,11.6,26.9,30.4,2.40,61.1,1.04,3.02,34.5,1.35,0.21,43.8,222.3,102.0,5.21,1.35,0.52,0.94,1.25,51.5,44.6,86.6,6.15,Matches
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,30.7,0.87,2.72,14.5,14.4,4.47,28.3,0.39,0.78,50.0,0.39,0.10,16.6,63.9,33.6,1.84,0.49,0.68,1.65,0.68,37.8,21.5,56.8,8.54,Matches
50,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,28.3,0.34,1.36,12.4,15.1,5.25,25.4,0.68,1.19,57.1,0.85,0.17,14.4,30.7,13.7,0.51,0.51,0.17,2.20,1.36,39.2,19.7,50.2,9.66,Matches
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,102.4,2.49,20.2,70.4,17.8,1.32,99.6,2.99,3.55,84.3,3.10,0.00,78.0,323.9,150.2,6.60,1.68,0.36,0.66,1.02,80.0,76.9,96.1,2.64,Matches
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,62.1,3.60,16.3,41.6,7.94,0.70,57.8,0.98,1.36,72.4,0.98,0.05,38.7,201.5,101.1,3.93,1.03,0.09,0.65,0.65,37.9,34.7,91.6,1.12,Matches
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,68.8,10.8,37.3,31.5,3.47,0.67,66.4,0.00,0.06,0.0,0.00,0.00,41.4,197.3,92.6,2.43,0.61,0.00,0.09,0.06,46.7,45.6,97.7,0.58,Matches
54,Haitam Aleesami\Haitam-Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,67.4,3.94,20.8,35.6,15.0,0.94,56.8,0.89,1.50,59.4,1.03,0.09,36.5,164.2,85.2,3.57,0.99,0.19,0.70,1.13,39.0,35.8,91.9,1.69,Matches
55,Álex Alegría\Alex-Alegria,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,40.8,0.00,1.67,22.5,18.3,3.33,40.8,0.83,1.67,50.0,0.83,0.00,17.5,48.3,3.33,0.00,0.00,0.00,4.17,1.67,56.7,33.3,58.8,10.8,Matches
56,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,89.5,0.53,9.47,57.4,29.5,1.05,86.8,1.05,1.58,66.7,1.05,0.00,68.9,306.3,128.9,5.26,3.68,0.00,2.11,0.00,82.6,76.8,93.0,1.58,Matches
57,Carles Aleñá\Carles-Alena,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,57.4,0.61,7.80,38.0,16.3,1.34,57.0,1.83,2.80,65.2,1.83,0.00,48.4,240.9,117.8,5.98,1.10,0.12,0.61,1.22,53.2,46.3,87.2,3.78,Matches
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,35.1,31.0,35.1,0.00,0.00,0.00,24.6,0.10,0.10,100.0,0.10,0.00,16.2,54.4,27.6,0.00,0.00,0.00,0.00,0.10,14.6,14.5,99.3,0.00,Matches
59,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,99.7,3.00,24.1,46.5,35.2,1.78,81.2,0.74,1.59,46.4,0.85,0.11,59.7,240.5,145.3,6.94,2.61,0.34,1.02,0.62,66.9,63.2,94.4,3.31,Matches
60,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,27.4,22.3,27.4,0.00,0.00,0.00,15.5,0.00,0.00,,0.00,0.00,9.35,42.9,24.8,0.00,0.00,0.00,0.00,0.00,7.74,7.42,95.8,0.00,Matches
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,37.7,0.80,2.18,17.9,19.3,4.54,35.1,1.32,1.72,76.7,1.44,0.06,24.1,101.6,51.1,3.45,0.69,0.86,2.41,1.49,48.9,28.5,58.3,10.2,Matches
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,34.8,28.4,34.5,0.32,0.00,0.00,26.9,0.00,0.00,,0.00,0.00,19.4,74.7,38.5,0.00,0.00,0.00,0.04,0.00,17.5,17.3,99.2,0.00,Matches
63,Allan\Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,70.0,1.62,13.9,43.3,17.6,1.20,68.0,1.27,2.04,62.1,1.41,0.21,52.2,245.1,112.0,5.63,1.76,0.21,0.99,1.27,55.0,51.3,93.2,4.37,Matches
64,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,55.2,1.80,8.34,28.0,23.0,4.68,52.5,1.56,3.07,50.8,1.76,0.34,36.4,181.7,96.7,5.07,2.10,0.78,2.20,2.73,53.8,37.7,70.1,9.71,Matches
65,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,39.0,1.31,9.38,16.5,17.9,2.71,38.6,1.37,2.77,49.5,1.61,0.15,29.0,211.7,115.4,4.79,1.76,0.54,1.79,1.61,38.1,26.6,69.8,5.80,Matches
66,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,82.6,1.89,20.5,35.5,32.1,4.53,72.1,0.75,1.19,63.2,0.75,0.00,52.9,284.2,163.3,8.68,2.33,0.57,1.26,1.38,58.4,52.1,89.3,6.60,Matches
67,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,61.8,4.25,21.9,31.0,13.1,0.72,50.9,1.18,1.96,60.0,1.44,0.20,32.9,178.4,106.1,4.18,1.63,0.20,1.05,0.98,35.2,31.7,90.0,1.24,Matches
68,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,27.5,25.5,27.5,0.00,0.00,0.00,16.5,0.00,0.00,,0.00,0.00,11.5,31.0,19.5,0.00,0.00,0.00,0.00,0.00,11.5,11.5,100.0,0.00,Matches
69,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,44.8,2.28,11.2,30.0,5.75,0.55,44.1,0.47,0.71,66.7,0.47,0.00,23.3,109.1,36.3,1.42,0.71,0.00,0.31,0.08,23.4,21.9,93.6,1.10,Matches
70,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,58.2,6.35,29.0,31.1,2.21,0.64,56.2,0.35,0.42,84.6,0.35,0.03,31.8,195.9,107.0,2.60,0.61,0.00,0.10,0.32,33.2,32.7,98.5,0.45,Matches
71,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,54.1,10.7,31.7,22.9,2.86,1.21,50.8,0.07,0.10,66.7,0.07,0.00,29.5,187.3,102.6,1.48,0.07,0.00,0.17,0.07,33.9,33.0,97.5,0.98,Matches
72,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,13.2,63.5,2.35,16.4,30.8,20.6,3.33,59.6,2.50,3.79,66.0,2.65,0.30,46.8,243.8,133.1,7.58,2.05,0.76,1.52,2.12,48.3,42.2,87.3,3.86,Matches
73,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,8.4,56.0,12.9,39.2,16.9,1.67,0.48,55.2,0.24,0.36,66.7,0.24,0.00,30.1,118.0,56.4,0.60,0.12,0.00,0.12,0.12,35.4,34.4,97.3,0.24,Matches
74,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,39.9,0.81,8.26,26.2,7.79,0.70,39.7,0.35,0.47,75.0,0.35,0.00,24.1,111.4,52.0,2.56,0.93,0.12,0.58,0.58,29.1,25.2,86.8,2.33,Matches
75,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,58.1,1.91,15.4,39.0,8.88,0.43,57.0,1.49,2.29,65.1,1.65,0.00,41.4,238.9,123.0,5.64,1.49,0.16,0.85,0.80,41.1,38.7,94.0,1.38,Matches
76,Amath\Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,51.4,0.00,2.86,24.3,28.6,5.71,48.6,5.71,11.4,50.0,5.71,0.00,40.0,182.9,97.1,8.57,0.00,1.43,4.29,7.14,45.7,28.6,62.5,10.0,Matches
77,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,66.3,3.29,23.1,32.0,15.7,1.29,57.5,1.17,2.33,50.0,1.33,0.00,36.5,191.7,111.2,4.21,1.92,0.25,1.13,1.00,39.4,36.0,91.5,2.04,Matches
78,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,51.1,0.66,4.92,22.6,28.5,5.57,50.8,3.93,7.38,53.3,4.43,0.16,42.0,262.6,174.9,9.67,2.79,0.82,3.28,4.10,49.8,37.5,75.3,7.54,Matches
79,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,46.2,4.64,17.3,23.0,10.4,0.66,38.5,0.44,0.99,44.4,0.50,0.06,26.2,189.7,115.3,3.43,1.49,0.17,0.77,0.77,26.5,24.0,90.4,0.99,Matches
80,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,20.6,66.7,0.73,9.08,37.3,25.5,2.77,59.3,1.55,2.62,59.3,1.70,0.10,47.1,252.8,135.0,6.50,2.18,0.49,1.41,1.55,54.9,45.3,82.6,5.24,Matches
81,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,103.3,15.6,46.7,57.8,3.33,1.11,102.2,0.00,0.00,,0.00,0.00,76.7,410.0,263.3,8.89,1.11,0.00,0.00,0.00,76.7,76.7,100.0,1.11,Matches
82,Opoku Ampomah\Opoku-Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,36.6,0.71,5.36,14.3,20.9,4.64,35.7,3.21,7.32,43.9,3.75,0.00,32.0,133.8,92.5,5.00,1.79,1.61,4.11,2.50,41.8,25.4,60.7,8.75,Matches
83,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,64.5,1.85,12.8,44.6,14.4,0.77,62.3,2.59,3.40,76.4,2.75,0.09,50.1,375.2,179.9,6.76,2.31,0.15,1.64,1.54,48.5,44.9,92.5,2.10,Matches
84,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,86.8,12.4,49.4,42.0,2.76,0.76,85.2,0.12,0.12,100.0,0.12,0.00,61.4,345.3,203.2,2.76,0.47,0.00,0.12,0.06,66.7,66.1,99.0,0.65,Matches
85,Djavan Anderson\Djavan-Anderson,nl NED,DFMF,Lazio,it Serie A,24,1995,1.9,48.4,3.16,18.9,16.3,17.4,2.11,38.4,1.05,2.63,40.0,1.05,0.00,28.4,223.7,105.8,2.63,1.05,1.05,2.11,2.11,30.0,23.2,77.2,0.53,Matches
86,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,16.6,70.1,1.57,10.0,37.1,31.0,3.98,68.6,3.98,5.84,68.0,4.22,0.30,56.1,352.8,213.1,9.28,3.92,1.33,1.99,2.11,62.8,53.6,85.3,7.65,Matches
87,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,40.6,1.54,3.29,19.6,19.3,4.53,39.8,0.84,1.41,59.5,0.91,0.07,21.3,82.8,27.7,1.81,0.50,0.17,3.56,2.62,57.4,31.3,54.5,10.6,Matches
88,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,eng Premier League,26,1993,0.8,36.3,3.75,5.00,15.0,20.0,8.75,35.0,2.50,5.00,50.0,2.50,0.00,21.3,103.8,52.5,2.50,0.00,0.00,6.25,2.50,41.3,20.0,48.5,5.00,Matches
89,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,66.4,2.41,12.6,45.2,12.1,1.01,65.7,1.01,1.18,85.2,1.10,0.00,41.7,212.5,91.5,3.86,0.96,0.09,0.75,1.01,44.2,40.7,92.1,3.03,Matches
90,Lorenzo Andrenacci\Lorenzo-Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,31.4,29.7,31.4,0.00,0.00,0.00,17.1,0.00,0.00,,0.00,0.00,7.46,34.7,22.2,0.00,0.00,0.00,0.00,0.00,4.41,4.41,100.0,0.00,Matches
