,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
20,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27-346,1993,2.9,46.9,0.69,3.79,16.2,30.3,11.0,46.6,0.69,2.07,33.3,1.03,0.34,34.1,173.8,82.8,2.76,2.07,0.34,5.17,2.41,55.2,37.2,67.5,11.4,Matches
21,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,eng Premier League,23-222,1997,29.0,65.6,13.4,38.8,27.5,2.38,1.14,64.0,0.28,0.38,72.7,0.31,0.00,38.6,174.6,100.4,1.52,0.21,0.00,0.14,0.28,44.7,43.4,97.1,0.17,Matches
22,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,es La Liga,22-079,1999,0.4,45.0,2.50,5.00,20.0,27.5,10.0,45.0,2.50,5.00,50.0,5.00,0.00,37.5,220.0,152.5,7.50,5.00,2.50,10.0,0.00,35.0,30.0,85.7,10.0,Matches
23,Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20-279,2000,24.0,73.7,2.13,15.7,47.6,15.8,0.75,71.7,2.13,3.13,68.0,2.25,0.08,53.7,268.6,151.4,6.08,1.83,0.29,1.21,1.63,59.7,55.5,93.0,1.29,Matches
24,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,it Serie A,21-088,2000,0.1,20.0,0.00,10.0,20.0,0.00,0.00,20.0,0.00,10.0,0.0,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,10.0,10.0,10.0,100.0,0.00,Matches
25,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,34-121,1987,3.0,37.7,34.0,37.7,0.00,0.00,0.00,28.0,0.00,0.00,,0.00,0.00,16.7,54.0,24.7,0.00,0.00,0.00,0.00,0.00,15.7,15.3,97.9,0.00,Matches
26,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24-359,1996,15.3,50.4,2.75,17.6,25.8,8.76,0.52,40.7,0.13,0.39,33.3,0.13,0.00,24.2,95.5,49.2,1.96,0.39,0.13,0.52,0.46,29.8,25.2,84.4,1.24,Matches
27,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,it Serie A,19-084,2002,8.1,63.1,3.46,18.8,39.5,7.90,0.12,61.7,0.37,0.62,60.0,0.37,0.00,40.2,181.5,63.5,1.73,0.25,0.12,0.25,1.11,43.7,41.0,93.8,0.99,Matches
28,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,21-219,1999,7.7,54.2,2.60,21.2,23.0,11.8,1.04,46.0,0.52,1.56,33.3,0.52,0.00,27.1,110.3,63.4,1.95,0.65,0.00,1.56,1.56,31.8,24.7,77.6,2.99,Matches
29,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,22-171,1998,13.2,37.5,0.38,4.32,18.9,19.1,3.79,36.6,2.80,4.62,60.7,3.03,0.15,27.6,185.7,114.5,5.00,2.50,0.98,2.42,2.42,38.9,25.0,64.2,5.68,Matches
30,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25-035,1996,32.0,86.3,8.31,38.5,50.7,1.94,1.13,84.4,0.25,0.34,72.7,0.28,0.00,59.3,273.1,158.0,3.50,0.34,0.00,0.13,0.28,65.8,64.8,98.4,0.19,Matches
31,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,eng Premier League,32-336,1988,5.2,38.7,0.00,0.96,16.9,23.5,7.50,36.7,1.15,2.31,50.0,1.35,0.38,26.2,112.3,49.8,3.46,1.35,0.38,2.12,1.54,45.0,30.6,67.9,9.23,Matches
