,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
596,Mikkel Damsgaard\Mikkel-Damsgaard,dk DEN,MFFW,Sampdoria,it Serie A,20-305,2000,18.9,52.7,0.90,8.15,24.6,23.7,3.33,50.4,2.54,4.34,58.5,2.65,0.05,37.0,172.4,101.5,5.56,1.53,0.74,2.22,2.06,48.0,35.2,73.2,6.14,Matches
597,Flavius Daniliuc\Flavius-Daniliuc,at AUT,DF,Nice,fr Ligue 1,20-007,2001,15.3,73.9,8.24,35.7,38.6,3.92,0.78,70.6,0.20,0.20,100.0,0.20,0.00,50.5,280.8,166.9,5.42,0.52,0.00,0.33,0.20,55.5,53.7,96.8,0.20,Matches
598,Danilo\Danilo,br BRA,DF,Juventus,it Serie A,29-293,1991,29.7,87.1,4.88,28.5,50.7,13.0,0.77,81.3,0.67,0.74,90.9,0.67,0.03,60.2,281.6,160.4,6.46,1.41,0.17,0.44,0.34,66.1,64.4,97.4,0.91,Matches
599,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,eng Premier League,34-079,1987,14.0,49.6,6.64,29.0,21.4,1.43,1.00,47.8,0.36,0.36,100.0,0.36,0.00,24.9,103.1,53.7,0.93,0.07,0.00,0.14,0.00,30.1,29.1,96.7,0.07,Matches
600,Tiago Dantas\Tiago-Dantas,pt POR,MF,Bayern Munich,de Bundesliga,20-131,2000,0.8,46.3,0.00,1.25,28.8,18.8,2.50,42.5,0.00,0.00,,0.00,0.00,27.5,108.8,26.3,1.25,1.25,0.00,0.00,0.00,38.8,32.5,83.9,5.00,Matches
601,Dante\Dante,br BRA,DF,Nice,fr Ligue 1,37-198,1983,8.6,88.0,11.0,50.6,41.9,2.09,1.40,86.5,0.00,0.00,,0.00,0.00,64.0,361.3,203.5,2.79,0.47,0.00,0.47,0.12,72.3,71.4,98.7,0.81,Matches
602,Andrea Danzi\Andrea-Danzi,it ITA,MFDF,Hellas Verona,it Serie A,22-068,1999,1.2,39.2,3.33,10.0,25.0,4.17,0.00,39.2,0.00,0.00,,0.00,0.00,22.5,77.5,13.3,0.83,0.00,0.00,2.50,0.00,26.7,25.0,93.8,0.83,Matches
603,Ebrima Darboe\Ebrima-Darboe,gm GAM,MF,Roma,it Serie A,19-332,2001,0.1,120.0,0.00,50.0,60.0,10.0,0.00,120.0,0.00,0.00,,0.00,0.00,50.0,440.0,220.0,0.00,0.00,0.00,0.00,0.00,80.0,80.0,100.0,0.00,Matches
604,Márton Dárdai\Marton-Dardai,de GER,DF,Hertha BSC,de Bundesliga,19-081,2002,7.1,63.2,8.73,35.8,27.2,5.35,0.28,58.7,0.00,0.28,0.0,0.00,0.00,40.3,278.2,171.1,2.54,0.42,0.00,0.14,0.14,42.1,41.5,98.7,0.00,Matches
605,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,de Bundesliga,30-269,1990,18.5,59.4,1.19,10.2,30.4,22.3,2.54,55.0,0.92,1.46,63.0,1.03,0.05,39.0,209.2,87.3,4.27,1.78,0.43,1.46,1.51,47.5,37.8,79.6,5.46,Matches
606,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30-208,1990,25.0,32.7,29.2,32.4,0.32,0.04,0.04,19.9,0.00,0.00,,0.00,0.00,10.0,58.8,34.7,0.00,0.00,0.00,0.04,0.00,9.16,9.04,98.7,0.00,Matches
607,Matteo Darmian\Matteo-Darmian,it ITA,DF,Inter,it Serie A,31-153,1989,11.5,50.1,3.22,15.5,17.2,19.5,2.43,42.1,0.17,0.52,33.3,0.17,0.00,27.4,123.2,71.1,3.04,1.22,0.52,0.43,0.35,31.8,27.6,86.6,2.70,Matches
608,Matteo Darmian\Matteo-Darmian,it ITA,DF,Parma,it Serie A,31-153,1989,2.3,55.2,3.91,21.7,26.1,9.57,0.00,47.0,0.43,0.87,50.0,0.43,0.00,28.7,95.7,41.7,1.30,0.00,0.00,0.43,0.43,33.9,30.9,91.0,3.48,Matches
609,Jonathan David\Jonathan-David,ca CAN,FW,Lille,fr Ligue 1,21-110,2000,23.6,33.3,0.21,1.82,13.3,19.8,5.21,32.5,0.97,1.95,50.0,1.06,0.04,21.7,90.6,53.1,2.80,0.72,0.72,2.33,1.99,45.2,24.6,54.4,9.62,Matches
610,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,de Bundesliga,20-183,2000,16.6,91.1,3.43,23.0,47.8,28.0,2.05,80.9,3.07,4.28,71.8,3.25,0.30,66.2,340.1,200.1,8.67,3.13,0.60,2.11,2.47,62.6,58.2,93.0,2.59,Matches
611,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,eng Premier League,28-010,1993,15.0,62.5,5.40,21.0,31.4,13.9,1.00,53.1,0.33,0.60,55.6,0.47,0.00,34.3,153.9,92.7,3.60,1.20,0.27,0.20,0.33,39.1,36.2,92.7,1.67,Matches
612,Tom Davies\Tom-Davies,eng ENG,MF,Everton,eng Premier League,22-308,1998,13.7,56.6,3.72,19.8,32.6,7.66,0.36,55.9,1.02,1.46,70.0,1.17,0.00,35.5,177.3,87.4,3.14,0.80,0.15,0.80,0.95,42.3,38.3,90.7,1.68,Matches
613,Keinan Davis\Keinan-Davis,eng ENG,FWMF,Aston Villa,eng Premier League,23-080,1998,1.9,43.2,1.05,4.21,13.7,27.4,12.1,43.2,3.16,4.21,75.0,3.16,0.00,29.5,104.2,53.2,2.11,1.05,0.53,4.21,3.16,59.5,34.2,57.5,15.8,Matches
614,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,eng Premier League,21-112,2000,0.4,57.5,12.5,37.5,17.5,7.50,0.00,57.5,2.50,2.50,100.0,2.50,0.00,40.0,347.5,155.0,2.50,5.00,0.00,0.00,0.00,47.5,40.0,84.2,0.00,Matches
615,Paweł Dawidowicz\Pawel-Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,25-349,1995,19.0,53.4,6.89,26.5,24.3,5.68,1.00,51.1,0.26,0.26,100.0,0.26,0.05,27.3,140.2,75.3,2.21,0.79,0.00,0.32,0.16,29.9,28.6,95.4,0.74,Matches
616,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,eng Premier League,30-363,1990,17.4,43.7,8.79,27.8,16.4,1.61,0.98,42.5,0.00,0.00,,0.00,0.00,22.5,119.8,54.4,0.69,0.23,0.00,0.29,0.00,25.1,24.3,96.6,0.00,Matches
617,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,eng Premier League,29-310,1991,21.2,75.7,0.61,5.90,34.2,41.9,5.00,69.4,1.65,2.88,57.4,1.84,0.09,53.1,292.0,186.7,9.43,3.58,1.42,1.51,1.51,66.0,57.5,87.1,8.40,Matches
618,Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Udinese,it Serie A,34-060,1987,8.9,50.7,6.97,27.8,24.8,1.35,0.56,48.8,0.22,0.22,100.0,0.22,0.00,25.6,155.8,74.9,0.90,0.22,0.00,0.11,0.11,27.6,26.4,95.5,0.34,Matches
619,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,MF,Udinese,it Serie A,26-345,1994,31.8,72.2,0.79,12.2,37.7,31.0,1.89,65.7,3.21,4.78,67.1,3.27,0.03,56.4,379.7,227.8,9.53,4.25,0.38,2.01,2.30,59.7,52.8,88.4,4.18,Matches
620,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Juventus,it Serie A,28-196,1992,0.3,50.0,0.00,16.7,13.3,23.3,10.0,50.0,0.00,0.00,,0.00,0.00,33.3,166.7,66.7,3.33,0.00,3.33,0.00,0.00,46.7,43.3,92.9,13.3,Matches
621,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Lyon,fr Ligue 1,28-196,1992,15.1,68.3,3.84,21.8,34.4,15.4,0.73,60.6,0.53,0.93,57.1,0.60,0.07,39.3,184.6,93.6,3.97,0.79,0.20,0.79,0.33,43.8,41.0,93.5,2.32,Matches
622,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DF,Bologna,it Serie A,32-346,1988,22.1,63.2,3.98,22.8,30.7,13.1,1.04,53.9,0.14,0.23,60.0,0.18,0.00,32.8,174.2,79.3,2.62,1.09,0.00,0.23,0.59,40.4,36.6,90.6,1.09,Matches
623,Thibault De Smet\Thibault-De-Smet,be BEL,DF,Reims,fr Ligue 1,22-333,1998,5.5,76.9,2.73,22.5,40.9,19.1,0.55,66.4,0.55,0.73,75.0,0.55,0.00,42.5,245.5,149.8,7.45,3.45,0.36,0.55,0.18,48.0,45.3,94.3,2.73,Matches
624,Lucas Deaux\Lucas-Deaux,fr FRA,MFDF,Nîmes,fr Ligue 1,32-129,1988,19.2,62.3,4.11,22.8,33.0,10.6,1.41,60.4,1.04,1.56,66.7,1.09,0.05,37.4,188.1,104.7,2.50,0.78,0.21,1.25,0.99,46.7,40.9,87.6,2.66,Matches
625,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,35-280,1985,21.5,69.5,3.81,21.2,31.8,19.3,1.91,55.8,0.79,1.40,56.7,0.88,0.09,31.8,140.2,76.8,3.44,1.35,0.09,1.02,0.84,37.8,33.3,88.2,1.53,Matches
626,Grégoire Defrel\Gregoire-Defrel,mq MTQ,FWMF,Sassuolo,it Serie A,29-321,1991,12.8,38.5,0.63,3.91,18.6,19.0,3.83,37.4,0.78,1.64,47.6,0.94,0.00,27.1,163.6,75.9,4.06,1.48,0.16,1.80,1.48,40.2,28.2,70.2,7.03,Matches
627,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Spezia,it Serie A,25-276,1995,4.0,49.5,2.00,9.75,28.5,13.5,1.50,46.8,0.25,0.50,50.0,0.25,0.00,31.0,149.8,48.3,2.25,0.75,0.25,0.50,1.00,40.0,33.5,83.8,2.75,Matches
628,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Cagliari,it Serie A,25-276,1995,3.9,43.6,2.82,12.3,21.8,11.5,0.77,43.6,0.51,0.51,100.0,0.51,0.26,25.4,139.7,50.3,1.54,0.51,0.00,1.28,1.03,30.8,27.2,88.3,1.79,Matches
629,Romain Del Castillo\Romain-Del-Castillo,fr FRA,MFFW,Rennes,fr Ligue 1,25-036,1996,6.8,67.1,0.29,6.18,26.9,38.4,4.12,63.4,2.50,4.56,54.8,3.09,0.15,48.2,237.1,127.5,7.79,2.21,0.88,2.65,2.21,63.7,48.1,75.5,12.6,Matches
630,Lorenzo Del Pinto\Lorenzo-Del-Pinto,it ITA,MF,Benevento,it Serie A,30-321,1990,0.1,90.0,0.00,70.0,30.0,0.00,0.00,80.0,0.00,0.00,,0.00,0.00,40.0,50.0,0.00,0.00,0.00,0.00,0.00,10.0,100.0,60.0,60.0,0.00,Matches
631,Thomas Delaine\Thomas-Delaine,fr FRA,DF,Metz,fr Ligue 1,29-041,1992,17.8,50.6,2.36,15.5,24.0,16.6,1.57,43.7,1.35,2.64,51.1,1.52,0.06,30.5,233.5,170.3,6.63,2.75,0.79,1.01,0.96,35.8,30.4,84.9,2.53,Matches
632,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,de Bundesliga,29-243,1991,12.9,70.1,3.02,19.5,41.2,11.5,1.16,69.0,0.31,0.93,33.3,0.47,0.08,44.3,149.8,57.0,2.48,0.54,0.16,0.78,0.54,49.7,46.4,93.4,1.24,Matches
633,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,eng Premier League,18-085,2003,0.4,27.5,0.00,2.50,17.5,7.50,2.50,17.5,0.00,0.00,,0.00,0.00,15.0,7.50,0.00,0.00,0.00,0.00,5.00,2.50,40.0,17.5,43.8,10.0,Matches
634,Jonathan Delaplace\Jonathan-Delaplace,fr FRA,DF,Lorient,fr Ligue 1,35-045,1986,10.1,61.8,3.17,18.3,28.6,18.2,1.78,49.4,0.30,0.59,50.0,0.40,0.00,30.0,130.4,65.0,3.37,0.89,0.20,1.39,0.30,36.0,30.3,84.1,1.78,Matches
635,Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Spezia,it Serie A,27-083,1994,2.9,58.6,8.28,27.6,28.3,5.86,0.69,51.0,0.00,0.00,,0.00,0.00,27.6,175.2,106.9,1.72,0.34,0.00,0.69,0.69,31.4,30.0,95.6,0.34,Matches
636,Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,fr Ligue 1,29-207,1991,24.7,45.0,1.17,3.04,19.9,24.0,6.15,42.6,1.34,2.43,55.0,1.38,0.04,24.7,103.4,54.1,3.28,0.85,0.69,2.67,1.50,55.5,34.3,61.7,9.60,Matches
637,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,eng Premier League,31-164,1989,2.9,90.0,2.41,25.9,55.5,15.5,0.00,86.6,2.41,3.45,70.0,2.41,0.00,67.2,305.9,153.8,5.52,1.72,0.00,0.69,0.69,72.8,71.0,97.6,0.69,Matches
638,Moussa Dembélé\Moussa-Dembele,fr FRA,FWMF,Atlético Madrid,es La Liga,24-296,1996,1.0,47.0,0.00,1.00,21.0,28.0,10.0,46.0,1.00,4.00,25.0,2.00,0.00,26.0,152.0,84.0,4.00,2.00,1.00,6.00,0.00,57.0,36.0,63.2,10.0,Matches
639,Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,fr Ligue 1,24-296,1996,7.5,33.7,1.60,2.67,12.7,19.7,6.67,32.5,1.47,2.67,55.0,1.47,0.00,19.1,74.5,36.1,2.40,0.80,0.27,2.27,2.67,39.5,23.9,60.5,9.20,Matches
640,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FW,Barcelona,es La Liga,23-354,1997,16.9,65.0,0.30,3.37,22.5,45.3,7.99,62.5,3.91,6.33,61.7,4.20,0.36,54.9,323.2,206.8,13.3,3.79,3.02,2.43,1.36,67.3,55.3,82.2,10.3,Matches
641,Merih Demiral\Merih-Demiral,tr TUR,DF,Juventus,it Serie A,23-060,1998,10.2,70.5,10.6,38.2,32.5,2.75,1.18,68.4,0.29,0.29,100.0,0.29,0.00,43.6,202.0,75.8,1.57,0.49,0.00,0.00,0.29,52.7,51.8,98.1,0.29,Matches
642,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,de Bundesliga,27-305,1993,16.6,76.3,1.51,11.1,44.7,25.5,1.63,70.1,1.27,2.11,60.0,1.39,0.24,51.6,248.3,132.3,6.33,2.11,0.24,1.93,2.35,59.3,53.7,90.6,3.98,Matches
643,Ermedin Demirović\Ermedin-Demirovic,ba BIH,FW,Freiburg,de Bundesliga,23-040,1998,14.2,31.1,1.76,3.80,13.7,15.2,4.58,30.3,0.77,1.41,55.0,0.85,0.00,17.8,77.2,32.8,2.39,0.49,0.63,2.89,2.32,45.8,19.7,43.0,6.48,Matches
644,Diego Demme\Diego-Demme,de GER,MF,Napoli,it Serie A,29-164,1991,16.6,80.8,3.01,18.2,50.7,16.5,1.27,79.5,0.18,0.36,50.0,0.18,0.00,58.6,264.6,123.6,6.08,1.99,0.12,0.48,1.14,65.8,62.0,94.2,1.57,Matches
645,Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,fr Ligue 1,25-310,1995,27.0,66.5,9.33,33.3,35.8,1.63,0.22,65.3,0.26,0.26,100.0,0.26,0.00,44.2,225.0,133.1,2.37,0.41,0.00,0.19,0.11,48.7,47.8,98.2,0.11,Matches
646,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,eng Premier League,26-019,1995,25.9,52.0,3.86,16.4,29.2,8.80,2.24,51.4,0.39,0.58,66.7,0.39,0.04,27.3,137.3,68.1,2.16,0.42,0.08,0.69,0.35,39.0,33.8,86.8,1.93,Matches
647,Kevin Denkey\Kevin-Denkey,tg TOG,FW,Nîmes,fr Ligue 1,20-155,2000,5.8,31.7,0.52,1.38,15.5,16.6,5.52,29.7,0.86,2.07,41.7,0.86,0.00,19.8,71.2,29.3,1.72,0.00,0.69,2.59,1.21,43.1,21.7,50.4,10.0,Matches
648,Emmanuel Dennis\Emmanuel-Dennis,ng NGA,FW,Köln,de Bundesliga,23-170,1997,5.3,39.2,0.19,3.58,18.7,20.2,5.47,37.2,2.64,4.72,56.0,2.83,0.57,27.7,143.8,77.7,4.34,2.08,0.57,3.40,2.26,60.9,27.4,44.9,9.25,Matches
649,Stefano Denswil\Stefano-Denswil,nl NED,DF,Bologna,it Serie A,27-362,1993,1.3,69.2,2.31,30.0,30.8,14.6,0.00,63.1,0.77,0.77,100.0,0.77,0.00,47.7,176.2,106.9,3.08,2.31,0.00,0.00,0.00,46.2,46.2,100.0,0.00,Matches
650,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Benevento,it Serie A,24-010,1997,11.1,42.1,4.23,17.7,15.8,10.3,0.99,36.8,0.36,0.90,40.0,0.36,0.00,20.9,94.3,46.9,2.16,0.27,0.00,0.54,0.36,24.4,21.0,86.0,1.08,Matches
651,Fabio Depaoli\Fabio-Depaoli,it ITA,MF,Sampdoria,it Serie A,24-010,1997,0.9,26.7,2.22,3.33,6.67,18.9,1.11,26.7,0.00,1.11,0.0,0.00,0.00,18.9,104.4,53.3,2.22,1.11,0.00,2.22,0.00,31.1,17.8,57.1,4.44,Matches
652,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Atalanta,it Serie A,24-010,1997,2.1,62.9,1.43,11.4,31.4,24.8,2.38,56.2,0.48,0.48,100.0,0.48,0.00,41.0,155.2,81.4,3.33,1.43,0.00,1.90,2.38,51.0,41.9,82.2,4.76,Matches
653,Memphis Depay\Memphis-Depay,nl NED,FW,Lyon,fr Ligue 1,27-080,1994,30.5,53.3,0.16,1.93,23.7,30.6,6.49,47.4,2.72,4.43,61.5,2.98,0.10,38.0,164.6,98.3,6.16,1.84,1.21,3.77,2.79,60.0,40.8,68.0,11.6,Matches
654,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Arminia,de Bundesliga,28-201,1992,15.0,65.1,10.3,44.3,23.7,1.00,0.60,63.5,0.07,0.13,50.0,0.07,0.00,39.9,201.2,104.9,1.07,0.07,0.00,0.13,0.27,44.8,43.1,96.1,0.20,Matches
655,Kastriot Dermaku\Kastriot-Dermaku,al ALB,DF,Parma,it Serie A,29-109,1992,1.1,47.3,13.6,30.9,18.2,0.00,0.00,45.5,0.00,0.00,,0.00,0.00,25.5,130.9,69.1,0.91,0.00,0.00,0.00,0.00,28.2,27.3,96.8,0.00,Matches
656,Kiril Despodov\Kiril-Despodov,bg BUL,FW,Cagliari,it Serie A,24-174,1996,0.1,30.0,0.00,0.00,20.0,10.0,0.00,30.0,0.00,10.0,0.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.0,10.0,20.0,10.0,Matches
657,Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,es La Liga,20-182,2000,18.7,73.0,2.03,14.4,27.9,34.6,4.55,66.0,1.50,2.62,57.1,1.66,0.00,54.1,222.1,139.7,8.24,1.66,1.28,1.34,1.23,58.2,53.1,91.2,4.92,Matches
658,Mattia Destro\Mattia-Destro,it ITA,FW,Genoa,it Serie A,30-045,1991,16.6,28.5,0.48,2.47,15.7,12.0,4.46,27.2,1.33,2.71,48.9,1.51,0.12,16.6,66.0,32.4,1.81,0.42,0.36,2.65,1.75,43.3,20.2,46.7,5.66,Matches
659,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Udinese,it Serie A,27-052,1994,6.6,47.7,0.76,4.24,15.5,31.2,6.82,43.5,1.52,3.18,47.6,1.52,0.00,37.6,238.8,169.7,10.8,1.36,3.33,2.27,1.36,52.3,36.1,69.0,7.58,Matches
660,Deyverson\Deyverson,br BRA,FW,Alavés,es La Liga,29-361,1991,9.6,45.4,1.35,6.04,23.2,17.8,3.23,44.4,0.63,1.56,40.0,0.63,0.21,20.6,63.3,26.4,1.35,0.21,0.21,2.92,1.35,54.1,30.7,56.8,8.33,Matches
661,Jacopo Dezi\Jacopo-Dezi,it ITA,FWMF,Parma,it Serie A,29-083,1992,0.9,61.1,0.00,5.56,34.4,23.3,2.22,52.2,1.11,2.22,50.0,1.11,0.00,32.2,105.6,23.3,2.22,1.11,0.00,0.00,2.22,46.7,38.9,83.3,6.67,Matches
662,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Hellas Verona,it Serie A,32-226,1988,5.6,39.5,1.07,2.50,21.4,16.8,5.71,37.5,0.18,0.18,100.0,0.18,0.00,23.2,107.5,38.2,2.86,0.71,0.71,3.57,2.14,59.1,31.6,53.5,11.8,Matches
663,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Crotone,it Serie A,32-226,1988,5.3,29.8,1.13,3.58,16.8,10.6,2.26,27.5,0.00,0.19,0.0,0.00,0.00,14.9,51.7,16.8,0.75,0.57,0.19,2.45,1.51,46.8,22.1,47.2,6.42,Matches
664,Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,it ITA,DF,Napoli,it Serie A,27-273,1993,32.0,81.4,3.63,24.0,41.3,22.0,2.03,71.1,0.88,1.63,53.8,1.00,0.22,55.8,277.2,163.8,7.13,2.03,0.38,0.66,0.63,61.2,57.2,93.5,2.47,Matches
665,Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,Paris S-G,fr Ligue 1,33-079,1988,18.2,70.9,0.77,5.16,29.5,42.3,3.96,64.1,2.25,4.62,48.8,2.58,0.44,53.0,263.3,154.2,8.52,3.24,1.10,2.25,1.81,65.3,55.7,85.3,8.68,Matches
666,Alessandro Di Pardo\Alessandro-Di-Pardo,it ITA,MFDF,Juventus,it Serie A,21-290,1999,0.2,50.0,5.00,25.0,25.0,5.00,0.00,45.0,10.0,10.0,100.0,10.0,5.00,50.0,250.0,140.0,5.00,0.00,0.00,0.00,0.00,35.0,35.0,100.0,0.00,Matches
667,Giuseppe Di Serio\Giuseppe-Di-Serio,it ITA,MFFW,Benevento,it Serie A,19-288,2001,2.1,40.0,0.95,5.24,18.6,19.5,3.81,39.0,1.43,1.43,100.0,1.43,0.00,25.7,142.4,73.8,4.76,1.90,0.00,3.33,4.76,57.6,29.0,50.4,4.76,Matches
668,Boulaye Dia\Boulaye-Dia,sn SEN,FWMF,Reims,fr Ligue 1,24-169,1996,29.8,30.6,1.11,4.33,14.4,15.0,4.56,29.1,1.54,2.55,60.5,1.58,0.03,22.9,119.0,65.6,2.89,0.97,0.91,2.72,2.08,40.7,21.3,52.4,6.61,Matches
669,Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,es La Liga,29-348,1991,0.2,85.0,0.00,5.00,25.0,70.0,15.0,85.0,0.00,5.00,0.0,0.00,0.00,60.0,530.0,435.0,10.0,15.0,0.00,0.00,5.00,70.0,65.0,92.9,15.0,Matches
670,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,21-301,1999,25.0,47.3,0.36,4.08,23.3,26.0,4.40,46.4,2.28,4.88,46.7,2.60,0.36,40.0,246.0,142.2,7.36,2.80,1.80,2.04,2.24,52.6,38.1,72.5,7.08,Matches
671,Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,eng Premier League,29-188,1991,12.6,27.9,1.59,3.73,13.3,11.7,3.65,27.3,1.03,1.27,81.3,1.03,0.00,14.6,44.2,17.4,0.79,0.24,0.24,1.59,1.98,50.6,20.4,40.3,4.92,Matches
672,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,es La Liga,24-136,1996,20.2,53.0,11.3,34.2,20.0,2.33,1.14,51.4,0.10,0.20,50.0,0.10,0.00,31.4,189.6,100.7,1.49,0.35,0.00,0.40,0.20,35.1,34.0,96.8,0.50,Matches
673,Abdou Diallo\Abdou-Diallo,sn SEN,DF,Paris S-G,fr Ligue 1,25-000,1996,15.2,79.9,7.83,33.9,45.7,6.18,0.46,75.9,0.99,1.84,53.6,1.18,0.00,58.1,287.2,173.2,4.54,1.12,0.00,0.66,0.20,61.5,60.1,97.8,0.53,Matches
674,Amad Diallo\Amad-Diallo,ci CIV,MF,Atalanta,it Serie A,18-297,2002,0.2,60.0,0.00,0.00,55.0,10.0,0.00,60.0,10.0,10.0,100.0,10.0,0.00,70.0,500.0,250.0,25.0,5.00,0.00,0.00,0.00,105.0,60.0,57.1,10.0,Matches
675,Habib Diallo\Habib-Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,25-320,1995,23.5,33.2,0.68,3.15,15.7,15.9,4.64,32.4,0.64,1.36,46.9,0.64,0.04,22.2,103.1,43.7,2.51,0.64,0.30,3.11,1.87,48.5,24.9,51.2,7.11,Matches
676,Habib Diallo\Habib-Diallo,sn SEN,FW,Metz,fr Ligue 1,25-320,1995,1.6,40.0,3.13,5.63,20.6,16.3,5.00,38.1,0.00,1.25,0.0,0.00,0.00,21.3,103.8,63.8,1.88,1.25,0.00,5.00,4.38,50.6,27.5,54.3,10.6,Matches
677,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,eng Premier League,22-057,1999,9.8,60.8,2.55,17.6,37.1,10.4,0.82,60.1,1.02,1.53,66.7,1.22,0.10,37.1,166.9,85.3,3.37,1.53,0.00,0.82,2.04,43.7,40.4,92.5,1.02,Matches
678,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Brest,fr Ligue 1,22-057,1999,4.9,64.5,1.22,16.1,43.3,10.2,0.41,63.1,1.43,1.84,77.8,1.63,0.00,46.9,216.3,121.2,2.45,0.20,0.20,0.82,1.02,52.7,49.4,93.8,1.43,Matches
679,Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,eng Premier League,23-015,1998,12.1,42.1,1.24,8.68,17.5,18.7,2.15,41.4,1.98,4.13,48.0,2.07,0.17,28.4,144.3,94.2,4.79,1.24,0.58,2.40,3.06,42.0,28.2,67.1,5.87,Matches
680,Stéphane Diarra\Stephane-Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,22-146,1998,2.0,61.0,0.50,9.00,26.5,30.0,3.00,58.0,1.50,6.00,25.0,1.50,0.00,43.0,208.5,76.5,4.50,0.50,0.00,3.00,5.50,55.0,44.0,80.0,14.5,Matches
681,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,eng Premier League,24-141,1996,23.0,55.3,1.48,7.74,24.3,26.6,5.17,49.7,2.30,4.39,52.5,2.52,0.22,36.0,183.7,119.5,6.04,1.61,1.26,2.87,1.22,51.3,36.9,71.9,6.13,Matches
682,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,FWMF,Rennes,fr Ligue 1,24-141,1996,4.5,44.4,0.67,5.56,18.9,23.1,4.22,40.4,2.89,6.22,46.4,3.11,0.44,31.3,150.4,102.2,5.56,1.56,0.67,1.11,1.56,41.6,30.9,74.3,6.89,Matches
683,Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,eng Premier League,23-355,1997,28.6,93.7,8.88,37.3,61.9,2.24,0.84,92.4,0.10,0.21,50.0,0.10,0.00,69.4,441.3,270.3,7.66,0.52,0.00,0.24,0.14,77.4,76.2,98.5,0.35,Matches
684,Krepin Diatta\Krepin-Diatta,sn SEN,MFDF,Monaco,fr Ligue 1,22-068,1999,3.9,52.6,0.77,4.62,19.5,32.6,3.59,50.0,2.31,3.33,69.2,2.56,0.00,36.4,199.2,114.6,6.15,1.28,1.28,2.31,3.08,50.0,37.2,74.4,6.15,Matches
