,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
76,Sam Johnstone\Sam-Johnstone,eng ENG,GK,West Brom,eng Premier League,28-041,1993,33.0,1.91,0.18,0.00,0.27,0.09,1.97,0.30,0.15,+0.16,8.94,25.4,35.2,26.5,4.52,70.9,50.7,7.70,85.8,59.6,9.45,0.64,6.7,0.70,0.70,0.44,Matches
77,Bingourou Kamara\Bingourou-Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,24-196,1996,8.0,1.75,0.13,0.00,0.13,0.13,1.21,0.28,-0.41,-0.41,7.88,17.8,44.4,23.9,5.38,48.7,39.3,7.00,87.5,60.0,7.25,0.38,5.2,0.13,0.13,1.61,Matches
78,Loris Karius\Loris-Karius,de GER,GK,Union Berlin,de Bundesliga,27-317,1993,3.2,0.31,0.00,0.00,0.00,0.31,0.53,0.35,0.53,+0.53,6.56,17.5,37.5,23.4,2.81,56.0,44.3,6.25,70.0,56.5,9.38,0.63,6.7,0.00,0.00,3.59,Matches
79,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,38-046,1983,22.0,1.36,0.14,0.05,0.14,0.00,1.30,0.31,-0.07,-0.07,7.91,17.3,45.8,22.1,3.45,51.6,41.6,8.00,73.3,55.5,8.32,0.45,5.5,0.23,0.23,0.52,Matches
80,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,eng Premier League,22-163,1998,2.0,0.50,0.00,0.00,0.00,0.00,1.10,0.32,0.60,+0.62,4.00,9.50,42.1,24.0,5.00,31.3,34.1,7.00,28.6,33.7,9.50,1.00,10.5,0.50,0.50,9.15,Matches
81,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Stuttgart,de Bundesliga,23-150,1997,31.0,1.65,0.13,0.03,0.10,0.03,1.46,0.27,-0.15,-0.15,4.39,10.5,42.0,28.7,6.16,29.9,30.4,8.52,22.0,25.1,8.65,0.58,6.7,0.55,0.55,0.44,Matches
82,Alban Lafont\Alban-Lafont,fr FRA,GK,Nantes,fr Ligue 1,22-102,1999,35.0,1.51,0.29,0.06,0.23,0.03,1.45,0.28,-0.04,-0.04,5.63,17.5,32.2,23.1,3.43,51.6,43.4,6.86,80.4,57.0,8.63,0.63,7.3,0.66,0.66,0.42,Matches
83,Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,de Bundesliga,36-119,1985,2.7,4.44,0.00,0.00,1.85,0.37,3.22,0.36,-0.85,-0.85,4.07,13.0,31.4,18.5,2.59,44.0,38.2,9.63,50.0,39.3,8.52,0.00,0.0,1.11,1.13,5.59,Matches
84,Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,Brest,fr Ligue 1,24-071,1997,32.0,1.78,0.25,0.03,0.19,0.03,1.47,0.27,-0.28,-0.28,6.31,13.1,48.3,29.0,4.78,36.5,36.5,7.94,31.1,34.0,9.47,0.72,7.6,0.47,0.47,0.41,Matches
85,Jean-Louis Leca\Jean-Louis-Leca,fr FRA,GK,Lens,fr Ligue 1,35-226,1985,33.8,1.33,0.24,0.00,0.18,0.09,1.25,0.30,0.00,0.00,5.71,14.5,39.5,21.3,3.58,52.8,41.7,6.80,47.4,39.9,7.51,0.47,6.3,0.56,0.56,0.44,Matches
86,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Monaco,fr Ligue 1,30-009,1991,25.0,1.04,0.12,0.04,0.04,0.00,0.76,0.29,-0.28,-0.28,6.00,14.0,42.9,29.6,4.12,38.6,35.3,6.00,42.7,40.2,7.08,0.44,6.2,1.20,1.20,0.71,Matches
87,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,es La Liga,28-081,1993,31.0,1.42,0.26,0.06,0.13,0.03,1.24,0.28,-0.15,-0.15,10.3,26.7,38.5,21.8,1.84,82.2,57.8,9.16,95.4,69.8,10.0,0.97,9.6,0.45,0.45,0.43,Matches
88,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,29-062,1992,30.8,1.14,0.03,0.00,0.16,0.13,1.13,0.32,0.12,+0.12,3.28,9.58,34.2,27.0,4.71,21.6,28.2,6.23,59.9,46.2,8.64,0.49,5.6,0.68,0.68,0.47,Matches
89,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,34-130,1986,34.0,1.12,0.24,0.00,0.09,0.06,1.19,0.28,0.13,+0.13,5.50,13.1,42.0,20.8,4.15,47.8,37.9,6.94,45.3,37.2,10.1,0.53,5.3,0.44,0.44,0.39,Matches
90,Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,de Bundesliga,27-281,1993,1.5,2.00,0.00,0.00,0.00,0.00,2.07,0.38,0.07,+0.04,3.33,11.3,29.4,35.3,8.67,26.4,30.5,4.67,42.9,37.9,8.00,0.67,8.3,0.67,0.67,9.47,Matches
91,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,30-216,1990,35.0,1.06,0.14,0.06,0.09,0.06,1.09,0.29,0.09,+0.09,5.77,10.9,52.9,24.5,4.80,32.8,33.2,6.74,42.8,37.4,8.43,0.43,5.1,1.03,1.03,0.49,Matches
92,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,26-143,1994,20.2,1.44,0.15,0.05,0.20,0.15,1.32,0.30,0.03,+0.04,4.06,9.90,41.0,27.8,5.25,28.6,31.5,5.00,38.6,36.5,5.69,0.40,7.0,0.79,0.79,0.81,Matches
93,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,de Bundesliga,34-056,1987,27.8,1.33,0.14,0.00,0.25,0.04,1.25,0.30,-0.04,-0.04,6.73,16.9,39.9,30.1,3.45,41.6,37.6,6.98,62.4,44.6,7.52,0.58,7.7,0.32,0.32,0.46,Matches
94,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,25-158,1995,35.0,0.63,0.03,0.00,0.20,0.06,0.69,0.24,0.11,+0.12,4.14,11.8,35.2,22.0,4.97,36.2,35.7,6.29,60.5,51.5,7.20,0.54,7.5,0.71,0.71,0.45,Matches
95,Radosław Majecki\Radoslaw-Majecki,pl POL,GK,Monaco,fr Ligue 1,21-170,1999,1.0,1.00,0.00,0.00,0.00,0.00,0.30,0.16,-0.70,-0.68,4.00,15.0,26.7,25.0,2.00,36.0,32.5,12.0,50.0,39.9,7.00,0.00,0.0,1.00,1.00,16.0,Matches
96,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,36-038,1985,34.0,1.21,0.06,0.03,0.21,0.03,1.10,0.32,-0.08,-0.08,5.62,15.8,35.5,27.4,5.00,40.4,36.5,7.85,60.7,46.2,10.1,0.71,7.0,0.56,0.56,0.41,Matches
97,Vito Mannone\Vito-Mannone,it ITA,GK,Monaco,fr Ligue 1,33-064,1988,9.0,1.56,0.22,0.00,0.11,0.00,1.32,0.34,-0.23,-0.23,6.11,15.3,39.9,25.1,2.89,41.2,36.4,6.78,73.8,54.0,7.00,0.33,4.8,0.67,0.67,2.09,Matches
98,Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,it Serie A,38-087,1983,2.7,2.59,0.00,0.00,0.37,0.00,1.70,0.36,-0.89,-0.88,4.81,10.0,48.1,24.1,4.07,23.1,30.0,9.26,48.0,36.8,7.41,0.00,0.0,0.74,0.74,6.11,Matches
99,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,eng Premier League,28-245,1992,33.0,1.15,0.12,0.06,0.12,0.03,1.36,0.28,0.24,+0.24,7.64,19.2,39.8,27.3,3.85,52.8,42.2,6.82,69.8,52.6,9.82,0.82,8.3,0.58,0.58,0.42,Matches
100,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,es La Liga,32-122,1989,22.0,1.41,0.14,0.05,0.14,0.00,1.49,0.31,0.08,+0.08,7.32,23.0,31.9,22.9,3.50,67.1,49.0,8.95,84.8,63.0,11.4,0.64,5.6,0.59,0.59,0.62,Matches
101,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,eng Premier League,31-153,1989,27.0,1.89,0.22,0.04,0.11,0.04,1.63,0.31,-0.23,-0.22,5.37,18.3,29.4,30.4,4.04,47.3,37.4,5.70,68.8,49.5,8.11,0.78,9.6,0.70,0.70,0.57,Matches
102,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Rennes,fr Ligue 1,29-065,1992,1.0,1.00,0.00,0.00,0.00,0.00,0.60,0.56,-0.40,-0.44,7.00,12.0,58.3,23.0,2.00,43.5,37.9,6.00,33.3,35.2,6.00,1.00,16.7,0.00,0.00,10.0,Matches
103,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Chelsea,eng Premier League,29-065,1992,28.0,0.79,0.07,0.04,0.11,0.04,0.73,0.27,-0.02,-0.02,4.39,9.25,47.5,27.3,3.86,26.0,29.3,5.79,37.0,33.4,7.00,0.46,6.6,0.64,0.64,0.55,Matches
104,Alex Meret\Alex-Meret,it ITA,GK,Napoli,it Serie A,24-044,1997,18.0,1.44,0.11,0.06,0.17,0.06,1.15,0.28,-0.24,-0.24,2.83,5.67,50.0,23.8,4.44,18.7,27.1,4.33,28.2,29.2,6.78,0.61,9.0,0.33,0.33,0.71,Matches
105,Illan Meslier\Illan-Meslier,fr FRA,GK,Leeds United,eng Premier League,21-064,2000,33.0,1.55,0.24,0.03,0.33,0.06,1.63,0.27,0.14,+0.14,5.33,11.6,46.0,31.1,7.64,28.2,30.4,7.55,37.8,33.8,5.70,0.61,10.6,0.55,0.55,0.41,Matches
106,Vanja Milinković-Savić\Vanja-Milinkovic-Savic,rs SRB,GK,Torino,it Serie A,24-074,1997,5.0,1.20,0.20,0.00,0.00,0.00,0.94,0.20,-0.26,-0.26,4.60,15.4,29.9,29.4,3.60,40.8,40.7,6.40,53.1,46.8,6.80,0.40,5.9,1.00,1.00,2.84,Matches
107,Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,it Serie A,37-301,1983,12.8,1.48,0.16,0.08,0.00,0.00,1.24,0.25,-0.24,-0.24,5.47,11.6,47.0,27.0,5.39,35.3,33.2,7.03,30.0,29.8,8.75,0.16,1.8,1.17,1.17,1.23,Matches
108,Lorenzo Montipò\Lorenzo-Montipo,it ITA,GK,Benevento,it Serie A,25-074,1996,34.0,2.00,0.12,0.00,0.29,0.18,1.74,0.35,-0.08,-0.08,6.97,18.6,37.6,26.4,4.65,52.8,41.1,7.56,61.1,45.6,10.4,0.88,8.5,0.47,0.47,0.42,Matches
109,Jessy Moulin\Jessy-Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,35-112,1986,29.0,1.45,0.14,0.10,0.21,0.07,1.31,0.34,-0.07,-0.06,4.83,12.8,37.8,23.4,5.03,35.3,36.6,6.97,64.4,49.5,7.59,0.45,5.9,0.31,0.31,0.47,Matches
110,Florian Müller\Florian-Muller,de GER,GK,Freiburg,de Bundesliga,23-173,1997,30.0,1.43,0.07,0.07,0.10,0.07,1.49,0.30,0.13,+0.13,6.07,19.3,31.5,34.5,4.83,36.8,37.2,8.77,74.9,58.2,8.10,0.40,4.9,0.73,0.73,0.50,Matches
111,Juan Musso\Juan-Musso,ar ARG,GK,Udinese,it Serie A,26-364,1994,31.0,1.26,0.32,0.03,0.00,0.00,1.40,0.30,0.14,+0.14,5.55,12.4,44.7,22.3,4.90,41.2,35.9,7.03,46.3,37.7,8.42,0.90,10.7,0.48,0.48,0.42,Matches
112,Paul Nardi\Paul-Nardi,fr FRA,GK,Lorient,fr Ligue 1,26-352,1994,20.0,1.90,0.15,0.00,0.15,0.00,1.39,0.26,-0.47,-0.46,5.55,15.9,34.8,19.5,5.00,49.2,40.3,8.35,76.0,57.5,8.15,0.30,3.7,0.65,0.65,0.74,Matches
113,Keylor Navas\Keylor-Navas,cr CRC,GK,Paris S-G,fr Ligue 1,34-141,1986,25.0,0.68,0.04,0.00,0.08,0.00,0.80,0.25,0.12,+0.13,3.84,7.04,54.5,21.0,3.96,26.5,30.5,6.28,23.6,28.5,7.40,0.28,3.8,0.48,0.48,0.52,Matches
114,Neto\Neto,br BRA,GK,Barcelona,es La Liga,31-290,1989,6.0,1.00,0.33,0.00,0.17,0.00,1.10,0.26,0.10,+0.10,2.83,5.83,48.6,25.0,5.00,18.7,27.3,6.83,17.1,24.4,8.67,0.33,3.8,0.67,0.67,2.62,Matches
115,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,de Bundesliga,35-039,1986,31.0,1.29,0.03,0.00,0.16,0.00,1.34,0.34,0.05,+0.05,7.52,12.3,61.0,34.6,5.65,31.8,32.3,5.58,23.7,29.7,6.81,0.16,2.4,1.23,1.23,0.53,Matches
116,Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,es La Liga,28-118,1993,34.0,0.65,0.03,0.00,0.15,0.09,0.79,0.25,0.23,+0.23,7.21,16.3,44.2,18.6,3.00,58.7,44.3,8.00,66.9,49.7,8.88,0.50,5.6,0.50,0.50,0.46,Matches
117,Robin Olsen\Robin-Olsen,se SWE,GK,Everton,eng Premier League,31-117,1990,7.0,1.29,0.14,0.00,0.00,0.00,1.36,0.33,0.07,+0.08,7.14,14.9,48.1,21.1,3.00,49.3,41.1,7.29,60.8,46.3,7.29,0.57,7.8,0.14,0.14,1.57,Matches
118,Jonas Omlin\Jonas-Omlin,ch SUI,GK,Montpellier,fr Ligue 1,27-115,1994,29.7,1.72,0.37,0.00,0.17,0.07,1.72,0.29,0.07,+0.08,7.88,17.0,46.3,24.9,5.82,46.1,39.0,8.18,67.5,51.9,8.96,0.81,9.0,0.47,0.47,0.46,Matches
119,Stefan Ortega\Stefan-Ortega,de GER,GK,Arminia,de Bundesliga,28-180,1992,31.0,1.65,0.16,0.00,0.19,0.03,1.60,0.29,-0.01,-0.01,14.3,30.3,47.1,51.6,3.52,50.2,42.9,7.06,62.6,50.2,9.87,0.74,7.5,1.00,1.00,0.49,Matches
120,David Ospina\David-Ospina,co COL,GK,Napoli,it Serie A,32-247,1988,16.0,0.75,0.19,0.00,0.00,0.00,0.82,0.27,0.07,+0.07,4.56,9.69,47.1,30.2,3.06,29.6,31.4,3.50,21.4,25.6,7.31,0.69,9.4,0.75,0.75,0.96,Matches
121,Alexandre Oukidja\Alexandre-Oukidja,dz ALG,GK,Metz,fr Ligue 1,32-290,1988,31.0,1.06,0.19,0.00,0.16,0.03,1.16,0.28,0.16,+0.16,8.00,18.3,43.7,22.0,5.52,54.6,43.4,8.61,73.0,53.9,9.52,1.13,11.9,1.06,1.07,0.53,Matches
122,Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,es La Liga,28-352,1992,34.0,1.53,0.09,0.00,0.15,0.00,1.49,0.38,-0.04,-0.04,8.82,17.2,51.2,21.0,2.88,58.9,45.2,8.03,60.8,46.1,8.82,0.79,9.0,0.62,0.62,0.43,Matches
123,Alberto Paleari\Alberto-Paleari,it ITA,GK,Genoa,it Serie A,28-249,1992,1.3,2.31,0.00,0.00,0.00,0.00,2.00,0.36,-0.31,-0.30,5.38,19.2,28.0,26.2,3.85,64.7,45.3,7.69,30.0,30.6,6.15,0.00,0.0,0.00,0.00,9.00,Matches
124,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,eng Premier League,33-079,1988,34.0,1.35,0.18,0.03,0.21,0.09,1.15,0.28,-0.11,-0.12,5.68,12.6,45.1,14.9,3.53,53.6,40.8,7.09,65.1,45.2,10.4,0.65,6.2,0.18,0.18,0.34,Matches
125,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,29-021,1992,31.0,1.65,0.10,0.00,0.19,0.10,1.33,0.28,-0.22,-0.22,7.23,15.7,46.0,25.3,4.84,44.0,38.0,8.52,53.8,43.3,11.0,0.61,5.6,0.65,0.65,0.45,Matches
126,Bailey Peacock-Farrell\Bailey-Peacock-Farrell,nir NIR,GK,Burnley,eng Premier League,24-188,1996,3.0,3.33,0.00,0.00,0.33,0.00,2.63,0.42,-0.70,-0.69,9.67,23.0,42.0,19.7,0.67,81.4,57.0,7.67,91.3,68.3,8.33,0.00,0.0,1.00,1.00,5.00,Matches
127,Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,it Serie A,40-041,1981,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,+0.04,0.00,1.00,0.0,13.0,2.00,7.7,18.5,8.00,0.0,13.6,4.00,0.00,0.0,0.00,0.00,14.5,Matches
128,Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,fr Ligue 1,38-182,1982,1.0,2.00,0.00,0.00,0.00,0.00,2.40,0.47,0.40,+0.35,0.00,0.00,,22.0,7.00,0.0,20.5,3.00,0.0,14.7,8.00,1.00,12.5,1.00,1.00,13.0,Matches
129,Philipp Pentke\Philipp-Pentke,de GER,GK,Hoffenheim,de Bundesliga,36-004,1985,1.0,1.00,0.00,0.00,0.00,0.00,0.40,0.21,-0.60,-0.57,2.00,6.00,33.3,25.0,5.00,20.0,29.8,4.00,25.0,31.5,2.00,0.00,0.0,1.00,1.00,20.3,Matches
130,Juan Pérez\Juan-Perez,es ESP,GK,Osasuna,es La Liga,24-294,1996,1.0,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.10,+0.10,4.00,23.0,17.4,13.0,1.00,69.2,51.0,14.0,100.0,70.6,18.0,0.00,0.0,1.00,1.00,18.8,Matches
131,Mattia Perin\Mattia-Perin,it ITA,GK,Genoa,it Serie A,28-176,1992,30.0,1.40,0.23,0.00,0.20,0.07,1.44,0.27,0.11,+0.11,7.30,19.4,37.7,28.1,4.20,54.3,41.0,8.60,47.7,38.7,10.6,0.53,5.0,0.27,0.27,0.41,Matches
132,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,de Bundesliga,33-173,1987,1.0,1.00,0.00,0.00,1.00,0.00,2.70,0.39,1.70,+1.72,8.00,19.0,42.1,23.0,1.00,56.5,43.2,9.00,66.7,53.4,13.0,1.00,7.7,0.00,0.00,11.3,Matches
133,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,eng Premier League,27-059,1994,25.5,1.29,0.08,0.04,0.20,0.04,1.27,0.29,0.01,+0.01,8.86,21.5,41.2,31.9,4.51,52.7,43.2,6.75,69.2,55.5,8.94,0.78,8.8,0.59,0.59,0.57,Matches
134,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,eng Premier League,29-016,1992,31.0,1.19,0.10,0.00,0.23,0.03,1.30,0.26,0.14,+0.14,9.13,23.5,38.9,22.8,4.10,73.7,52.6,7.71,86.2,62.1,9.77,1.23,12.5,1.29,1.29,0.53,Matches
135,Ivan Provedel\Ivan-Provedel,it ITA,GK,Spezia,it Serie A,27-049,1994,27.0,1.81,0.22,0.04,0.15,0.00,1.69,0.36,-0.13,-0.13,9.96,21.6,46.1,43.6,4.48,43.2,38.5,5.15,53.2,45.2,6.59,0.56,8.4,0.96,0.96,0.61,Matches
136,Anthony Racioppi\Anthony-Racioppi,ch SUI,GK,Dijon,fr Ligue 1,22-125,1998,21.0,1.57,0.14,0.00,0.24,0.05,1.66,0.35,0.14,+0.14,5.38,15.4,34.9,22.8,4.71,42.5,37.1,8.48,68.0,49.7,9.48,0.62,6.5,0.48,0.48,0.69,Matches
137,Rafael\Rafael,br BRA,GK,Spezia,it Serie A,39-063,1982,1.3,2.31,0.00,0.00,0.00,0.00,1.23,0.18,-1.08,-1.04,8.46,19.2,44.0,35.4,5.38,50.0,37.8,8.46,18.2,26.5,17.7,0.77,4.3,0.00,0.00,6.38,Matches
138,Predrag Rajković\Predrag-Rajkovic,rs SRB,GK,Reims,fr Ligue 1,25-186,1995,33.5,1.25,0.09,0.00,0.18,0.03,1.22,0.27,-0.01,-0.01,6.66,20.1,33.2,30.1,4.18,46.2,41.1,9.43,65.2,50.8,9.91,0.57,5.7,0.60,0.60,0.42,Matches
139,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Sheffield Utd,eng Premier League,22-356,1998,34.0,1.76,0.09,0.00,0.24,0.09,1.65,0.30,-0.03,-0.03,7.44,22.4,33.2,22.4,3.03,71.0,52.9,7.15,91.4,69.2,8.94,0.82,9.2,0.62,0.62,0.46,Matches
140,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,eng Premier League,33-358,1987,2.0,1.00,0.00,0.00,1.00,0.00,0.70,0.29,-0.30,-0.28,4.50,12.5,36.0,15.0,1.00,66.7,47.8,5.50,45.5,36.7,8.00,0.00,0.0,0.50,0.50,6.65,Matches
141,Federico Ravaglia\Federico-Ravaglia,it ITA,GK,Bologna,it Serie A,21-175,1999,2.0,3.00,0.00,0.00,0.00,0.50,2.15,0.48,-0.35,-0.33,1.00,5.50,18.2,30.5,2.00,16.4,26.4,6.00,8.3,14.5,4.00,0.00,0.0,1.50,1.50,9.20,Matches
142,Pepe Reina\Pepe-Reina,es ESP,GK,Lazio,it Serie A,38-247,1982,27.0,1.37,0.30,0.00,0.22,0.07,1.26,0.27,-0.03,-0.03,6.70,13.6,49.2,34.6,4.19,35.3,34.3,4.74,29.7,29.5,7.59,0.37,4.9,0.44,0.44,0.57,Matches
143,Álex Remiro\Alex-Remiro,es ESP,GK,Real Sociedad,es La Liga,26-042,1995,34.0,1.03,0.09,0.00,0.12,0.03,0.86,0.30,-0.14,-0.14,6.32,15.2,41.7,26.1,3.29,43.9,38.7,5.53,67.0,53.2,7.62,0.47,6.2,0.68,0.68,0.46,Matches
144,Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Nîmes,fr Ligue 1,30-189,1990,35.0,1.83,0.17,0.03,0.17,0.00,1.63,0.29,-0.19,-0.19,7.97,21.6,37.0,33.2,3.66,48.2,41.4,7.97,69.9,51.2,9.57,0.54,5.7,0.74,0.74,0.42,Matches
145,Sergio Rico\Sergio-Rico,es ESP,GK,Paris S-G,fr Ligue 1,27-246,1993,9.0,1.00,0.00,0.00,0.00,0.11,1.10,0.28,0.21,+0.21,1.11,3.00,37.0,18.0,4.56,13.0,25.1,6.00,11.1,24.6,6.44,0.33,5.2,0.56,0.56,1.57,Matches
146,Roberto\Roberto,es ESP,GK,Valladolid,es La Liga,35-084,1986,12.0,1.25,0.17,0.00,0.17,0.00,1.21,0.33,-0.04,-0.04,7.00,22.8,30.8,23.3,3.08,67.0,52.1,8.75,81.9,63.9,10.1,0.83,8.3,0.58,0.58,1.13,Matches
147,Joel Robles\Joel-Robles,es ESP,GK,Betis,es La Liga,30-322,1990,18.0,1.39,0.22,0.06,0.28,0.11,1.19,0.31,-0.08,-0.08,5.50,16.7,32.9,24.9,4.44,52.6,43.0,6.44,56.0,45.3,8.06,0.56,6.9,0.78,0.78,0.91,Matches
148,Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,eng Premier League,24-143,1996,1.0,3.00,0.00,0.00,1.00,0.00,2.50,0.61,-0.50,-0.55,6.00,12.0,50.0,22.0,3.00,40.9,35.8,4.00,75.0,56.0,9.00,0.00,0.0,1.00,1.00,11.8,Matches
149,Rubén\Ruben,es ESP,GKMF,Osasuna,es La Liga,36-317,1984,2.1,2.38,0.00,0.00,0.00,0.00,2.33,0.55,-0.05,-0.04,15.7,25.7,61.1,21.9,0.95,84.8,55.7,7.14,100.0,65.7,9.05,0.48,5.3,1.43,1.44,6.95,Matches
150,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,eng Premier League,34-193,1986,0.0,0,0,0,0,0,0.0,,0.0,0.00,0,2,0.0,1,0,100.0,62.0,2,50.0,56.5,1,0,0.0,0,0.00,,Matches
151,Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Villarreal,es La Liga,28-350,1992,1.0,2.00,0.00,0.00,0.00,0.00,1.70,0.43,-0.30,-0.28,8.00,10.0,80.0,40.0,9.00,25.0,29.0,5.00,0.0,30.0,8.00,0.00,0.0,0.00,0.00,15.9,Matches
152,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,eng Premier League,29-027,1992,11.0,1.73,0.36,0.00,0.27,0.09,1.35,0.37,-0.29,-0.29,5.18,12.8,40.4,31.0,5.09,33.4,32.5,5.27,46.6,40.2,9.36,0.64,6.8,0.55,0.55,1.31,Matches
153,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,eng Premier League,29-027,1992,3.0,0.67,0.33,0.00,0.00,0.00,1.40,0.36,0.73,+0.73,2.00,3.67,54.5,19.3,6.33,13.8,26.3,3.00,33.3,33.0,6.67,1.33,20.0,0.33,0.33,4.47,Matches
154,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Schalke 04,de Bundesliga,28-274,1992,10.5,2.29,0.38,0.00,0.48,0.19,2.14,0.31,0.05,+0.05,4.86,13.6,35.7,27.5,6.10,33.6,32.7,8.95,48.9,39.7,6.76,0.29,4.2,0.57,0.57,1.35,Matches
155,Romain Salin\Romain-Salin,fr FRA,GK,Rennes,fr Ligue 1,36-280,1984,15.0,0.93,0.00,0.00,0.27,0.00,1.01,0.28,0.08,+0.08,6.60,15.1,43.6,28.1,5.07,35.9,34.0,8.20,61.8,47.5,7.53,0.60,8.0,1.93,1.93,1.20,Matches
156,Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,eng Premier League,23-168,1997,23.0,0.87,0.09,0.00,0.26,0.04,1.01,0.31,0.18,+0.18,6.70,18.0,37.3,32.8,4.00,43.0,39.4,6.57,58.3,47.2,7.57,0.43,5.7,0.57,0.57,0.66,Matches
157,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,eng Premier League,34-181,1986,34.0,1.15,0.09,0.00,0.18,0.03,1.21,0.33,0.10,+0.10,6.06,14.0,43.3,27.2,4.44,41.0,37.5,5.56,51.3,43.2,7.76,0.62,8.0,0.35,0.35,0.39,Matches
158,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Hertha BSC,de Bundesliga,28-337,1992,21.0,1.71,0.29,0.05,0.14,0.00,1.61,0.34,-0.10,-0.10,6.81,13.4,50.9,26.7,4.52,33.5,34.2,7.67,57.8,46.4,8.33,0.52,6.3,0.52,0.52,0.65,Matches
159,Simone Scuffet\Simone-Scuffet,it ITA,GK,Udinese,it Serie A,24-339,1996,1.0,2.00,1.00,0.00,0.00,0.00,1.60,0.23,-0.40,-0.43,13.0,21.0,61.9,20.0,4.00,70.0,46.3,8.00,87.5,54.4,10.0,0.00,0.0,0.00,0.00,10.0,Matches
160,Matz Sels\Matz-Sels,be BEL,GK,Strasbourg,fr Ligue 1,29-068,1992,5.0,2.00,0.40,0.20,0.40,0.00,1.66,0.30,-0.34,-0.34,8.40,21.0,40.0,21.0,3.20,63.8,47.2,9.20,82.6,59.3,9.40,1.20,12.8,0.20,0.20,2.40,Matches
161,Luigi Sepe\Luigi-Sepe,it ITA,GK,Parma,it Serie A,29-362,1991,32.0,2.00,0.03,0.00,0.28,0.09,1.59,0.34,-0.32,-0.31,9.78,17.7,55.3,32.3,4.94,44.4,38.1,7.59,44.0,38.5,11.9,0.75,6.3,0.34,0.34,0.42,Matches
162,Rui Silva\Rui-Silva,pt POR,GK,Granada,es La Liga,27-087,1994,31.0,1.65,0.16,0.06,0.10,0.03,1.57,0.35,-0.05,-0.05,8.58,23.3,36.8,25.1,2.13,66.3,49.2,8.23,80.8,58.7,9.94,0.42,4.2,0.87,0.87,0.52,Matches
